,acchr,dayofweek,size
0,0,1,23
1,0,2,15
2,0,3,11
3,0,4,16
4,0,5,13
5,0,6,15
6,0,7,29
7,1,1,25
8,1,2,13
9,1,3,9
10,1,4,11
11,1,5,9
12,1,6,12
13,1,7,19
14,2,1,19
15,2,2,14
16,2,3,4
17,2,4,10
18,2,5,7
19,2,6,11
20,2,7,16
21,3,1,14
22,3,2,3
23,3,3,6
24,3,4,12
25,3,5,11
26,3,6,15
27,3,7,13
28,4,1,9
29,4,2,11
30,4,3,16
31,4,4,11
32,4,5,9
33,4,6,24
34,4,7,17
35,5,1,16
36,5,2,20
37,5,3,22
38,5,4,21
39,5,5,17
40,5,6,25
41,5,7,17
42,6,1,15
43,6,2,42
44,6,3,38
45,6,4,27
46,6,5,40
47,6,6,36
48,6,7,19
49,7,1,21
50,7,2,35
51,7,3,41
52,7,4,39
53,7,5,40
54,7,6,38
55,7,7,29
56,8,1,22
57,8,2,48
58,8,3,30
59,8,4,35
60,8,5,36
61,8,6,40
62,8,7,24
63,9,1,30
64,9,2,31
65,9,3,31
66,9,4,31
67,9,5,30
68,9,6,41
69,9,7,28
70,10,1,29
71,10,2,34
72,10,3,35
73,10,4,29
74,10,5,35
75,10,6,43
76,10,7,34
77,11,1,31
78,11,2,45
79,11,3,50
80,11,4,55
81,11,5,31
82,11,6,37
83,11,7,36
84,12,1,50
85,12,2,49
86,12,3,35
87,12,4,38
88,12,5,52
89,12,6,33
90,12,7,41
91,13,1,47
92,13,2,40
93,13,3,40
94,13,4,45
95,13,5,42
96,13,6,54
97,13,7,55
98,14,1,32
99,14,2,59
100,14,3,62
101,14,4,50
102,14,5,45
103,14,6,68
104,14,7,47
105,15,1,47
106,15,2,43
107,15,3,51
108,15,4,53
109,15,5,31
110,15,6,52
111,15,7,56
112,16,1,41
113,16,2,52
114,16,3,58
115,16,4,52
116,16,5,53
117,16,6,40
118,16,7,42
119,17,1,44
120,17,2,36
121,17,3,41
122,17,4,40
123,17,5,48
124,17,6,59
125,17,7,45
126,18,1,24
127,18,2,33
128,18,3,38
129,18,4,41
130,18,5,45
131,18,6,31
132,18,7,50
133,19,1,32
134,19,2,30
135,19,3,19
136,19,4,16
137,19,5,30
138,19,6,32
139,19,7,27
140,20,1,24
141,20,2,26
142,20,3,25
143,20,4,20
144,20,5,27
145,20,6,28
146,20,7,25
147,21,1,17
148,21,2,29
149,21,3,20
150,21,4,19
151,21,5,25
152,21,6,30
153,21,7,22
154,22,1,17
155,22,2,21
156,22,3,16
157,22,4,19
158,22,5,20
159,22,6,29
160,22,7,25
161,23,1,9
162,23,2,18
163,23,3,13
164,23,4,14
165,23,5,15
166,23,6,21
167,23,7,21
168,99,1,4
169,99,2,1
170,99,3,3
171,99,4,4
172,99,6,8
173,99,7,3
