,acchr,dayofweek,size
0,0,1,76
1,0,2,23
2,0,3,29
3,0,4,31
4,0,5,38
5,0,6,39
6,0,7,84
7,1,1,100
8,1,2,33
9,1,3,15
10,1,4,28
11,1,5,26
12,1,6,57
13,1,7,110
14,2,1,120
15,2,2,32
16,2,3,23
17,2,4,20
18,2,5,38
19,2,6,60
20,2,7,146
21,3,1,74
22,3,2,15
23,3,3,11
24,3,4,9
25,3,5,27
26,3,6,30
27,3,7,74
28,4,1,49
29,4,2,8
30,4,3,11
31,4,4,8
32,4,5,8
33,4,6,23
34,4,7,50
35,5,1,32
36,5,2,8
37,5,3,7
38,5,4,7
39,5,5,12
40,5,6,12
41,5,7,38
42,6,1,23
43,6,2,5
44,6,3,2
45,6,4,3
46,6,5,3
47,6,6,12
48,6,7,31
49,7,1,12
50,7,2,2
51,7,3,4
52,7,4,4
53,7,5,7
54,7,6,7
55,7,7,10
56,8,1,4
57,8,2,6
58,8,3,6
59,8,4,2
60,8,5,4
61,8,6,6
62,8,7,8
63,9,1,4
64,9,2,2
65,9,3,4
66,9,4,5
67,9,5,5
68,9,6,3
69,9,7,2
70,10,1,3
71,10,2,1
72,10,3,3
73,10,4,3
74,10,5,2
75,10,6,4
76,10,7,7
77,11,1,4
78,11,2,4
79,11,3,7
80,11,4,4
81,11,5,2
82,11,6,7
83,11,7,5
84,12,1,9
85,12,2,8
86,12,3,4
87,12,4,5
88,12,5,10
89,12,6,10
90,12,7,6
91,13,1,11
92,13,2,5
93,13,3,8
94,13,4,7
95,13,5,10
96,13,6,12
97,13,7,13
98,14,1,12
99,14,2,11
100,14,3,14
101,14,4,10
102,14,5,5
103,14,6,17
104,14,7,17
105,15,1,22
106,15,2,10
107,15,3,10
108,15,4,10
109,15,5,9
110,15,6,13
111,15,7,24
112,16,1,27
113,16,2,13
114,16,3,8
115,16,4,13
116,16,5,11
117,16,6,19
118,16,7,26
119,17,1,26
120,17,2,20
121,17,3,10
122,17,4,20
123,17,5,17
124,17,6,22
125,17,7,38
126,18,1,30
127,18,2,24
128,18,3,16
129,18,4,23
130,18,5,27
131,18,6,38
132,18,7,35
133,19,1,45
134,19,2,28
135,19,3,34
136,19,4,29
137,19,5,35
138,19,6,32
139,19,7,64
140,20,1,47
141,20,2,27
142,20,3,32
143,20,4,37
144,20,5,33
145,20,6,41
146,20,7,72
147,21,1,34
148,21,2,35
149,21,3,31
150,21,4,43
151,21,5,32
152,21,6,43
153,21,7,67
154,22,1,32
155,22,2,33
156,22,3,39
157,22,4,37
158,22,5,41
159,22,6,60
160,22,7,72
161,23,1,37
162,23,2,31
163,23,3,31
164,23,4,27
165,23,5,48
166,23,6,79
167,23,7,80
168,99,1,13
169,99,2,5
170,99,3,3
171,99,4,4
172,99,5,4
173,99,6,6
174,99,7,9
