,acchr,dayofweek,size
0,0,1,95
1,0,2,28
2,0,3,37
3,0,4,31
4,0,5,45
5,0,6,49
6,0,7,82
7,1,1,114
8,1,2,43
9,1,3,16
10,1,4,35
11,1,5,33
12,1,6,61
13,1,7,127
14,2,1,128
15,2,2,36
16,2,3,19
17,2,4,28
18,2,5,46
19,2,6,55
20,2,7,159
21,3,1,82
22,3,2,17
23,3,3,13
24,3,4,13
25,3,5,25
26,3,6,33
27,3,7,85
28,4,1,67
29,4,2,13
30,4,3,11
31,4,4,9
32,4,5,13
33,4,6,24
34,4,7,55
35,5,1,41
36,5,2,12
37,5,3,13
38,5,4,12
39,5,5,10
40,5,6,17
41,5,7,42
42,6,1,28
43,6,2,8
44,6,3,4
45,6,4,7
46,6,5,4
47,6,6,15
48,6,7,39
49,7,1,17
50,7,2,3
51,7,3,6
52,7,4,6
53,7,5,7
54,7,6,10
55,7,7,12
56,8,1,6
57,8,2,6
58,8,3,6
59,8,4,4
60,8,5,6
61,8,6,5
62,8,7,10
63,9,1,3
64,9,2,5
65,9,3,5
66,9,4,7
67,9,5,4
68,9,6,3
69,9,7,2
70,10,1,4
71,10,2,2
72,10,3,3
73,10,4,2
74,10,5,4
75,10,6,4
76,10,7,10
77,11,1,4
78,11,2,3
79,11,3,10
80,11,4,6
81,11,5,2
82,11,6,6
83,11,7,8
84,12,1,12
85,12,2,10
86,12,3,5
87,12,4,6
88,12,5,10
89,12,6,11
90,12,7,8
91,13,1,11
92,13,2,4
93,13,3,10
94,13,4,7
95,13,5,9
96,13,6,12
97,13,7,12
98,14,1,12
99,14,2,13
100,14,3,15
101,14,4,12
102,14,5,7
103,14,6,18
104,14,7,18
105,15,1,28
106,15,2,13
107,15,3,13
108,15,4,11
109,15,5,10
110,15,6,20
111,15,7,27
112,16,1,30
113,16,2,17
114,16,3,12
115,16,4,19
116,16,5,12
117,16,6,19
118,16,7,31
119,17,1,25
120,17,2,21
121,17,3,18
122,17,4,20
123,17,5,20
124,17,6,31
125,17,7,36
126,18,1,34
127,18,2,28
128,18,3,18
129,18,4,27
130,18,5,31
131,18,6,40
132,18,7,44
133,19,1,57
134,19,2,34
135,19,3,33
136,19,4,35
137,19,5,41
138,19,6,38
139,19,7,69
140,20,1,55
141,20,2,40
142,20,3,33
143,20,4,42
144,20,5,47
145,20,6,54
146,20,7,80
147,21,1,43
148,21,2,39
149,21,3,34
150,21,4,49
151,21,5,46
152,21,6,51
153,21,7,75
154,22,1,38
155,22,2,40
156,22,3,41
157,22,4,46
158,22,5,41
159,22,6,62
160,22,7,81
161,23,1,42
162,23,2,35
163,23,3,42
164,23,4,32
165,23,5,55
166,23,6,91
167,23,7,80
168,99,1,16
169,99,2,9
170,99,3,4
171,99,4,4
172,99,5,7
173,99,6,11
174,99,7,11
