,acchr,dayofweek,size
0,0,1,15
1,0,2,11
2,0,3,4
3,0,4,11
4,0,5,9
5,0,6,11
6,0,7,20
7,1,1,10
8,1,2,2
9,1,3,5
10,1,4,5
11,1,5,4
12,1,6,6
13,1,7,14
14,2,1,20
15,2,2,11
16,2,3,5
17,2,4,6
18,2,5,2
19,2,6,15
20,2,7,9
21,3,1,10
22,3,2,1
23,3,3,6
24,3,4,7
25,3,5,7
26,3,6,10
27,3,7,8
28,4,1,13
29,4,2,5
30,4,3,6
31,4,4,2
32,4,5,5
33,4,6,9
34,4,7,9
35,5,1,9
36,5,2,10
37,5,3,18
38,5,4,15
39,5,5,11
40,5,6,13
41,5,7,11
42,6,1,7
43,6,2,22
44,6,3,26
45,6,4,14
46,6,5,27
47,6,6,24
48,6,7,9
49,7,1,10
50,7,2,26
51,7,3,23
52,7,4,29
53,7,5,35
54,7,6,26
55,7,7,8
56,8,1,10
57,8,2,24
58,8,3,22
59,8,4,29
60,8,5,22
61,8,6,25
62,8,7,23
63,9,1,17
64,9,2,17
65,9,3,20
66,9,4,25
67,9,5,15
68,9,6,22
69,9,7,22
70,10,1,27
71,10,2,26
72,10,3,24
73,10,4,22
74,10,5,22
75,10,6,31
76,10,7,24
77,11,1,22
78,11,2,28
79,11,3,36
80,11,4,37
81,11,5,21
82,11,6,33
83,11,7,29
84,12,1,36
85,12,2,32
86,12,3,30
87,12,4,26
88,12,5,41
89,12,6,27
90,12,7,35
91,13,1,28
92,13,2,35
93,13,3,22
94,13,4,33
95,13,5,35
96,13,6,38
97,13,7,35
98,14,1,35
99,14,2,37
100,14,3,46
101,14,4,39
102,14,5,28
103,14,6,53
104,14,7,33
105,15,1,33
106,15,2,35
107,15,3,43
108,15,4,37
109,15,5,29
110,15,6,40
111,15,7,33
112,16,1,33
113,16,2,35
114,16,3,36
115,16,4,40
116,16,5,41
117,16,6,32
118,16,7,31
119,17,1,31
120,17,2,30
121,17,3,28
122,17,4,30
123,17,5,34
124,17,6,52
125,17,7,24
126,18,1,10
127,18,2,21
128,18,3,27
129,18,4,26
130,18,5,35
131,18,6,27
132,18,7,40
133,19,1,20
134,19,2,19
135,19,3,15
136,19,4,13
137,19,5,17
138,19,6,25
139,19,7,22
140,20,1,17
141,20,2,18
142,20,3,17
143,20,4,17
144,20,5,16
145,20,6,21
146,20,7,15
147,21,1,17
148,21,2,13
149,21,3,11
150,21,4,12
151,21,5,23
152,21,6,27
153,21,7,12
154,22,1,9
155,22,2,14
156,22,3,5
157,22,4,6
158,22,5,9
159,22,6,21
160,22,7,17
161,23,1,2
162,23,2,9
163,23,3,9
164,23,4,14
165,23,5,9
166,23,6,14
167,23,7,15
168,99,6,1
169,99,7,1
