,acchr,dayofweek,size
0,0,1,23
1,0,2,12
2,0,3,17
3,0,4,14
4,0,5,15
5,0,6,22
6,0,7,30
7,1,1,28
8,1,2,9
9,1,3,12
10,1,4,6
11,1,5,11
12,1,6,17
13,1,7,30
14,2,1,24
15,2,2,6
16,2,3,5
17,2,4,8
18,2,5,9
19,2,6,13
20,2,7,21
21,3,1,10
22,3,2,3
23,3,3,6
24,3,4,10
25,3,5,13
26,3,6,5
27,3,7,15
28,4,1,10
29,4,2,10
30,4,3,8
31,4,4,7
32,4,5,10
33,4,6,18
34,4,7,8
35,5,1,12
36,5,2,16
37,5,3,19
38,5,4,15
39,5,5,17
40,5,6,22
41,5,7,13
42,6,1,11
43,6,2,28
44,6,3,31
45,6,4,20
46,6,5,34
47,6,6,28
48,6,7,20
49,7,1,19
50,7,2,37
51,7,3,34
52,7,4,32
53,7,5,26
54,7,6,25
55,7,7,16
56,8,1,18
57,8,2,36
58,8,3,32
59,8,4,27
60,8,5,34
61,8,6,41
62,8,7,23
63,9,1,20
64,9,2,34
65,9,3,40
66,9,4,23
67,9,5,24
68,9,6,30
69,9,7,28
70,10,1,24
71,10,2,32
72,10,3,36
73,10,4,28
74,10,5,36
75,10,6,38
76,10,7,29
77,11,1,34
78,11,2,35
79,11,3,48
80,11,4,47
81,11,5,39
82,11,6,38
83,11,7,32
84,12,1,57
85,12,2,43
86,12,3,31
87,12,4,43
88,12,5,48
89,12,6,47
90,12,7,44
91,13,1,44
92,13,2,42
93,13,3,46
94,13,4,39
95,13,5,52
96,13,6,66
97,13,7,56
98,14,1,35
99,14,2,53
100,14,3,55
101,14,4,54
102,14,5,45
103,14,6,60
104,14,7,37
105,15,1,48
106,15,2,49
107,15,3,54
108,15,4,52
109,15,5,31
110,15,6,56
111,15,7,55
112,16,1,45
113,16,2,60
114,16,3,49
115,16,4,53
116,16,5,50
117,16,6,46
118,16,7,42
119,17,1,44
120,17,2,42
121,17,3,37
122,17,4,52
123,17,5,47
124,17,6,65
125,17,7,61
126,18,1,33
127,18,2,33
128,18,3,41
129,18,4,34
130,18,5,46
131,18,6,37
132,18,7,63
133,19,1,39
134,19,2,23
135,19,3,20
136,19,4,20
137,19,5,38
138,19,6,32
139,19,7,53
140,20,1,27
141,20,2,32
142,20,3,24
143,20,4,30
144,20,5,30
145,20,6,29
146,20,7,44
147,21,1,26
148,21,2,27
149,21,3,25
150,21,4,23
151,21,5,24
152,21,6,33
153,21,7,37
154,22,1,18
155,22,2,21
156,22,3,20
157,22,4,25
158,22,5,18
159,22,6,35
160,22,7,35
161,23,1,13
162,23,2,16
163,23,3,15
164,23,4,17
165,23,5,19
166,23,6,36
167,23,7,25
168,99,1,5
169,99,2,7
170,99,3,1
171,99,4,6
172,99,5,5
173,99,6,10
174,99,7,7
