,acchr,dayofweek,size
0,0,1,17
1,0,2,12
2,0,3,9
3,0,4,14
4,0,5,11
5,0,6,10
6,0,7,26
7,1,1,20
8,1,2,8
9,1,3,7
10,1,4,9
11,1,5,8
12,1,6,8
13,1,7,13
14,2,1,15
15,2,2,11
16,2,3,2
17,2,4,9
18,2,5,6
19,2,6,10
20,2,7,14
21,3,1,9
22,3,2,3
23,3,3,6
24,3,4,10
25,3,5,10
26,3,6,14
27,3,7,13
28,4,1,7
29,4,2,7
30,4,3,14
31,4,4,8
32,4,5,9
33,4,6,20
34,4,7,13
35,5,1,11
36,5,2,19
37,5,3,19
38,5,4,17
39,5,5,17
40,5,6,20
41,5,7,15
42,6,1,9
43,6,2,35
44,6,3,34
45,6,4,22
46,6,5,32
47,6,6,28
48,6,7,14
49,7,1,17
50,7,2,24
51,7,3,31
52,7,4,27
53,7,5,25
54,7,6,26
55,7,7,25
56,8,1,16
57,8,2,35
58,8,3,21
59,8,4,27
60,8,5,26
61,8,6,26
62,8,7,18
63,9,1,18
64,9,2,23
65,9,3,24
66,9,4,14
67,9,5,23
68,9,6,37
69,9,7,20
70,10,1,21
71,10,2,25
72,10,3,26
73,10,4,20
74,10,5,22
75,10,6,25
76,10,7,27
77,11,1,21
78,11,2,36
79,11,3,32
80,11,4,32
81,11,5,21
82,11,6,24
83,11,7,29
84,12,1,41
85,12,2,33
86,12,3,27
87,12,4,29
88,12,5,35
89,12,6,15
90,12,7,34
91,13,1,40
92,13,2,21
93,13,3,25
94,13,4,32
95,13,5,26
96,13,6,35
97,13,7,38
98,14,1,25
99,14,2,40
100,14,3,48
101,14,4,34
102,14,5,35
103,14,6,49
104,14,7,32
105,15,1,36
106,15,2,29
107,15,3,31
108,15,4,37
109,15,5,27
110,15,6,31
111,15,7,42
112,16,1,31
113,16,2,33
114,16,3,39
115,16,4,45
116,16,5,37
117,16,6,22
118,16,7,29
119,17,1,34
120,17,2,23
121,17,3,26
122,17,4,33
123,17,5,35
124,17,6,35
125,17,7,38
126,18,1,19
127,18,2,28
128,18,3,27
129,18,4,29
130,18,5,34
131,18,6,24
132,18,7,34
133,19,1,25
134,19,2,21
135,19,3,14
136,19,4,13
137,19,5,19
138,19,6,25
139,19,7,21
140,20,1,19
141,20,2,19
142,20,3,20
143,20,4,15
144,20,5,20
145,20,6,19
146,20,7,16
147,21,1,16
148,21,2,24
149,21,3,17
150,21,4,12
151,21,5,20
152,21,6,23
153,21,7,15
154,22,1,14
155,22,2,15
156,22,3,14
157,22,4,17
158,22,5,15
159,22,6,22
160,22,7,21
161,23,1,7
162,23,2,16
163,23,3,11
164,23,4,13
165,23,5,13
166,23,6,14
167,23,7,17
168,99,1,3
169,99,2,1
170,99,3,3
171,99,4,4
172,99,6,8
173,99,7,1
