,acchr,dayofweek,size
0,0,1,53
1,0,2,16
2,0,3,25
3,0,4,20
4,0,5,28
5,0,6,29
6,0,7,55
7,1,1,56
8,1,2,26
9,1,3,13
10,1,4,23
11,1,5,20
12,1,6,33
13,1,7,70
14,2,1,82
15,2,2,22
16,2,3,14
17,2,4,15
18,2,5,28
19,2,6,36
20,2,7,91
21,3,1,43
22,3,2,8
23,3,3,6
24,3,4,8
25,3,5,20
26,3,6,20
27,3,7,48
28,4,1,32
29,4,2,6
30,4,3,6
31,4,4,7
32,4,5,4
33,4,6,14
34,4,7,36
35,5,1,18
36,5,2,4
37,5,3,4
38,5,4,4
39,5,5,9
40,5,6,7
41,5,7,25
42,6,1,16
43,6,2,2
44,6,3,1
45,6,4,1
46,6,5,2
47,6,6,7
48,6,7,24
49,7,1,10
50,7,2,1
51,7,3,3
52,7,4,3
53,7,5,7
54,7,6,7
55,7,7,8
56,8,1,3
57,8,2,3
58,8,3,5
59,8,4,1
60,8,5,2
61,8,6,5
62,8,7,6
63,9,1,2
64,9,2,1
65,9,3,4
66,9,4,4
67,9,5,1
68,9,6,1
69,9,7,2
70,10,1,3
71,10,2,1
72,10,3,1
73,10,4,3
74,10,5,1
75,10,6,4
76,10,7,6
77,11,1,3
78,11,2,1
79,11,3,6
80,11,4,4
81,11,5,2
82,11,6,3
83,11,7,3
84,12,1,5
85,12,2,4
86,12,3,3
87,12,4,4
88,12,5,8
89,12,6,8
90,12,7,5
91,13,1,10
92,13,2,5
93,13,3,7
94,13,4,6
95,13,5,10
96,13,6,9
97,13,7,12
98,14,1,8
99,14,2,9
100,14,3,9
101,14,4,9
102,14,5,5
103,14,6,12
104,14,7,12
105,15,1,15
106,15,2,9
107,15,3,7
108,15,4,9
109,15,5,7
110,15,6,11
111,15,7,17
112,16,1,21
113,16,2,9
114,16,3,7
115,16,4,10
116,16,5,9
117,16,6,15
118,16,7,23
119,17,1,19
120,17,2,13
121,17,3,7
122,17,4,13
123,17,5,13
124,17,6,19
125,17,7,29
126,18,1,20
127,18,2,18
128,18,3,10
129,18,4,7
130,18,5,18
131,18,6,25
132,18,7,28
133,19,1,34
134,19,2,16
135,19,3,22
136,19,4,20
137,19,5,16
138,19,6,19
139,19,7,51
140,20,1,25
141,20,2,15
142,20,3,18
143,20,4,26
144,20,5,19
145,20,6,29
146,20,7,46
147,21,1,25
148,21,2,21
149,21,3,21
150,21,4,27
151,21,5,20
152,21,6,30
153,21,7,40
154,22,1,21
155,22,2,15
156,22,3,22
157,22,4,24
158,22,5,21
159,22,6,35
160,22,7,39
161,23,1,20
162,23,2,21
163,23,3,21
164,23,4,13
165,23,5,36
166,23,6,46
167,23,7,54
168,99,1,9
169,99,2,5
170,99,3,3
171,99,4,4
172,99,5,3
173,99,6,6
174,99,7,6
