,acchr,dayofweek,size
0,0,1,55
1,0,2,23
2,0,3,19
3,0,4,16
4,0,5,24
5,0,6,30
6,0,7,65
7,1,1,89
8,1,2,29
9,1,3,15
10,1,4,27
11,1,5,21
12,1,6,35
13,1,7,70
14,2,1,107
15,2,2,30
16,2,3,22
17,2,4,23
18,2,5,29
19,2,6,52
20,2,7,117
21,3,1,73
22,3,2,13
23,3,3,15
24,3,4,10
25,3,5,22
26,3,6,24
27,3,7,57
28,4,1,56
29,4,2,12
30,4,3,13
31,4,4,14
32,4,5,12
33,4,6,22
34,4,7,56
35,5,1,25
36,5,2,15
37,5,3,14
38,5,4,11
39,5,5,11
40,5,6,8
41,5,7,38
42,6,1,24
43,6,2,18
44,6,3,16
45,6,4,10
46,6,5,14
47,6,6,16
48,6,7,26
49,7,1,16
50,7,2,10
51,7,3,13
52,7,4,10
53,7,5,10
54,7,6,15
55,7,7,20
56,8,1,12
57,8,2,10
58,8,3,14
59,8,4,8
60,8,5,6
61,8,6,7
62,8,7,12
63,9,1,5
64,9,2,8
65,9,3,7
66,9,4,5
67,9,5,9
68,9,6,6
69,9,7,14
70,10,1,13
71,10,2,7
72,10,3,6
73,10,4,8
74,10,5,6
75,10,6,7
76,10,7,11
77,11,1,13
78,11,2,14
79,11,3,7
80,11,4,6
81,11,5,3
82,11,6,7
83,11,7,11
84,12,1,14
85,12,2,10
86,12,3,8
87,12,4,10
88,12,5,11
89,12,6,7
90,12,7,13
91,13,1,15
92,13,2,9
93,13,3,4
94,13,4,12
95,13,5,9
96,13,6,9
97,13,7,14
98,14,1,11
99,14,2,18
100,14,3,16
101,14,4,5
102,14,5,12
103,14,6,15
104,14,7,16
105,15,1,28
106,15,2,16
107,15,3,8
108,15,4,16
109,15,5,10
110,15,6,19
111,15,7,16
112,16,1,21
113,16,2,11
114,16,3,17
115,16,4,15
116,16,5,16
117,16,6,13
118,16,7,25
119,17,1,22
120,17,2,23
121,17,3,13
122,17,4,14
123,17,5,9
124,17,6,15
125,17,7,27
126,18,1,14
127,18,2,19
128,18,3,11
129,18,4,16
130,18,5,24
131,18,6,19
132,18,7,23
133,19,1,17
134,19,2,21
135,19,3,27
136,19,4,16
137,19,5,20
138,19,6,18
139,19,7,28
140,20,1,26
141,20,2,18
142,20,3,29
143,20,4,18
144,20,5,26
145,20,6,23
146,20,7,28
147,21,1,18
148,21,2,20
149,21,3,23
150,21,4,13
151,21,5,23
152,21,6,32
153,21,7,41
154,22,1,31
155,22,2,24
156,22,3,24
157,22,4,21
158,22,5,24
159,22,6,35
160,22,7,32
161,23,1,27
162,23,2,18
163,23,3,20
164,23,4,17
165,23,5,24
166,23,6,40
167,23,7,53
168,99,1,6
169,99,2,4
170,99,3,4
171,99,4,2
172,99,5,4
173,99,6,3
174,99,7,10
