,acchr,dayofweek,size
0,0,1,54
1,0,2,19
2,0,3,23
3,0,4,19
4,0,5,31
5,0,6,24
6,0,7,52
7,1,1,65
8,1,2,26
9,1,3,10
10,1,4,21
11,1,5,18
12,1,6,39
13,1,7,79
14,2,1,83
15,2,2,19
16,2,3,13
17,2,4,16
18,2,5,27
19,2,6,37
20,2,7,91
21,3,1,48
22,3,2,8
23,3,3,7
24,3,4,8
25,3,5,15
26,3,6,24
27,3,7,48
28,4,1,38
29,4,2,6
30,4,3,10
31,4,4,5
32,4,5,7
33,4,6,16
34,4,7,35
35,5,1,24
36,5,2,4
37,5,3,5
38,5,4,4
39,5,5,7
40,5,6,6
41,5,7,30
42,6,1,13
43,6,2,4
44,6,3,2
45,6,4,3
46,6,5,3
47,6,6,9
48,6,7,24
49,7,1,11
50,7,2,2
51,7,3,3
52,7,4,3
53,7,5,6
54,7,6,5
55,7,7,6
56,8,1,3
57,8,2,5
58,8,3,4
59,8,4,1
60,8,5,4
61,8,6,5
62,8,7,6
63,9,1,2
64,9,3,4
65,9,4,5
66,9,5,2
67,9,6,3
68,9,7,1
69,10,1,2
70,10,2,1
71,10,3,2
72,10,4,2
73,10,6,3
74,10,7,5
75,11,1,2
76,11,2,2
77,11,3,4
78,11,4,4
79,11,5,2
80,11,6,4
81,11,7,3
82,12,1,7
83,12,2,4
84,12,3,2
85,12,4,5
86,12,5,5
87,12,6,8
88,12,7,5
89,13,1,8
90,13,2,3
91,13,3,6
92,13,4,4
93,13,5,6
94,13,6,9
95,13,7,9
96,14,1,7
97,14,2,8
98,14,3,12
99,14,4,8
100,14,5,2
101,14,6,12
102,14,7,13
103,15,1,19
104,15,2,8
105,15,3,7
106,15,4,6
107,15,5,8
108,15,6,9
109,15,7,16
110,16,1,21
111,16,2,11
112,16,3,6
113,16,4,10
114,16,5,8
115,16,6,14
116,16,7,22
117,17,1,16
118,17,2,15
119,17,3,8
120,17,4,15
121,17,5,11
122,17,6,20
123,17,7,31
124,18,1,19
125,18,2,19
126,18,3,15
127,18,4,15
128,18,5,23
129,18,6,28
130,18,7,29
131,19,1,41
132,19,2,21
133,19,3,24
134,19,4,23
135,19,5,27
136,19,6,28
137,19,7,48
138,20,1,34
139,20,2,22
140,20,3,24
141,20,4,26
142,20,5,31
143,20,6,32
144,20,7,50
145,21,1,30
146,21,2,29
147,21,3,24
148,21,4,30
149,21,5,28
150,21,6,28
151,21,7,49
152,22,1,27
153,22,2,28
154,22,3,29
155,22,4,30
156,22,5,30
157,22,6,38
158,22,7,57
159,23,1,24
160,23,2,20
161,23,3,25
162,23,4,20
163,23,5,35
164,23,6,60
165,23,7,48
166,99,1,8
167,99,2,4
168,99,3,2
169,99,4,3
170,99,5,4
171,99,6,6
172,99,7,5
