,acchr,dayofweek,size
0,0,1,10
1,0,2,6
2,0,3,11
3,0,4,4
4,0,5,12
5,0,6,10
6,0,7,14
7,1,1,9
8,1,2,10
9,1,3,6
10,1,4,11
11,1,5,8
12,1,6,10
13,1,7,13
14,2,1,17
15,2,2,3
16,2,3,5
17,2,4,4
18,2,5,4
19,2,6,8
20,2,7,17
21,3,1,13
22,3,2,4
23,3,3,6
24,3,4,6
25,3,5,6
26,3,6,9
27,3,7,11
28,4,1,13
29,4,2,12
30,4,3,6
31,4,4,3
32,4,5,11
33,4,6,8
34,4,7,15
35,5,1,7
36,5,2,26
37,5,3,23
38,5,4,19
39,5,5,23
40,5,6,17
41,5,7,17
42,6,1,7
43,6,2,37
44,6,3,38
45,6,4,38
46,6,5,41
47,6,6,29
48,6,7,15
49,7,1,17
50,7,2,47
51,7,3,32
52,7,4,39
53,7,5,43
54,7,6,35
55,7,7,20
56,8,1,24
57,8,2,30
58,8,3,23
59,8,4,24
60,8,5,35
61,8,6,36
62,8,7,24
63,9,1,25
64,9,2,27
65,9,3,33
66,9,4,18
67,9,5,25
68,9,6,25
69,9,7,28
70,10,1,34
71,10,2,29
72,10,3,25
73,10,4,35
74,10,5,32
75,10,6,36
76,10,7,39
77,11,1,21
78,11,2,37
79,11,3,37
80,11,4,50
81,11,5,35
82,11,6,33
83,11,7,41
84,12,1,43
85,12,2,40
86,12,3,38
87,12,4,23
88,12,5,39
89,12,6,36
90,12,7,49
91,13,1,45
92,13,2,37
93,13,3,43
94,13,4,42
95,13,5,49
96,13,6,45
97,13,7,35
98,14,1,33
99,14,2,44
100,14,3,40
101,14,4,36
102,14,5,44
103,14,6,32
104,14,7,56
105,15,1,32
106,15,2,50
107,15,3,50
108,15,4,38
109,15,5,41
110,15,6,45
111,15,7,39
112,16,1,45
113,16,2,41
114,16,3,34
115,16,4,70
116,16,5,54
117,16,6,44
118,16,7,45
119,17,1,38
120,17,2,43
121,17,3,63
122,17,4,50
123,17,5,42
124,17,6,48
125,17,7,39
126,18,1,33
127,18,2,35
128,18,3,43
129,18,4,33
130,18,5,31
131,18,6,42
132,18,7,38
133,19,1,23
134,19,2,43
135,19,3,32
136,19,4,17
137,19,5,28
138,19,6,42
139,19,7,41
140,20,1,40
141,20,2,34
142,20,3,35
143,20,4,30
144,20,5,28
145,20,6,32
146,20,7,31
147,21,1,21
148,21,2,31
149,21,3,22
150,21,4,24
151,21,5,30
152,21,6,28
153,21,7,20
154,22,1,12
155,22,2,13
156,22,3,13
157,22,4,14
158,22,5,26
159,22,6,33
160,22,7,33
161,23,1,10
162,23,2,14
163,23,3,9
164,23,4,11
165,23,5,13
166,23,6,18
167,23,7,26
168,99,1,2
169,99,2,2
170,99,3,6
171,99,4,3
172,99,7,2
