,acchr,dayofweek,size
0,0,1,8
1,0,2,3
2,0,3,9
3,0,4,3
4,0,5,7
5,0,6,7
6,0,7,10
7,1,1,8
8,1,2,10
9,1,3,5
10,1,4,10
11,1,5,6
12,1,6,6
13,1,7,7
14,2,1,13
15,2,2,3
16,2,3,3
17,2,4,2
18,2,5,3
19,2,6,8
20,2,7,14
21,3,1,11
22,3,2,2
23,3,3,5
24,3,4,5
25,3,5,6
26,3,6,7
27,3,7,9
28,4,1,10
29,4,2,12
30,4,3,5
31,4,4,3
32,4,5,9
33,4,6,5
34,4,7,10
35,5,1,4
36,5,2,19
37,5,3,18
38,5,4,16
39,5,5,16
40,5,6,14
41,5,7,15
42,6,1,5
43,6,2,31
44,6,3,31
45,6,4,31
46,6,5,30
47,6,6,25
48,6,7,13
49,7,1,14
50,7,2,35
51,7,3,27
52,7,4,34
53,7,5,35
54,7,6,30
55,7,7,15
56,8,1,20
57,8,2,26
58,8,3,19
59,8,4,18
60,8,5,29
61,8,6,33
62,8,7,21
63,9,1,19
64,9,2,22
65,9,3,27
66,9,4,16
67,9,5,22
68,9,6,22
69,9,7,23
70,10,1,30
71,10,2,26
72,10,3,23
73,10,4,28
74,10,5,28
75,10,6,34
76,10,7,34
77,11,1,20
78,11,2,36
79,11,3,31
80,11,4,38
81,11,5,28
82,11,6,31
83,11,7,35
84,12,1,39
85,12,2,32
86,12,3,37
87,12,4,18
88,12,5,32
89,12,6,33
90,12,7,42
91,13,1,38
92,13,2,31
93,13,3,35
94,13,4,37
95,13,5,44
96,13,6,42
97,13,7,29
98,14,1,30
99,14,2,40
100,14,3,35
101,14,4,33
102,14,5,41
103,14,6,28
104,14,7,47
105,15,1,29
106,15,2,46
107,15,3,44
108,15,4,36
109,15,5,37
110,15,6,41
111,15,7,33
112,16,1,41
113,16,2,32
114,16,3,31
115,16,4,60
116,16,5,47
117,16,6,38
118,16,7,38
119,17,1,30
120,17,2,36
121,17,3,50
122,17,4,42
123,17,5,32
124,17,6,37
125,17,7,35
126,18,1,26
127,18,2,28
128,18,3,32
129,18,4,24
130,18,5,21
131,18,6,35
132,18,7,34
133,19,1,14
134,19,2,31
135,19,3,22
136,19,4,11
137,19,5,15
138,19,6,28
139,19,7,24
140,20,1,28
141,20,2,19
142,20,3,25
143,20,4,21
144,20,5,13
145,20,6,24
146,20,7,22
147,21,1,14
148,21,2,20
149,21,3,15
150,21,4,17
151,21,5,22
152,21,6,18
153,21,7,12
154,22,1,8
155,22,2,10
156,22,3,9
157,22,4,12
158,22,5,22
159,22,6,25
160,22,7,21
161,23,1,7
162,23,2,9
163,23,3,7
164,23,4,8
165,23,5,9
166,23,6,11
167,23,7,19
168,99,1,2
169,99,2,2
170,99,3,3
171,99,4,3
172,99,7,1
