,acchr,dayofweek,size
0,0,1,37
1,0,2,16
2,0,3,14
3,0,4,11
4,0,5,16
5,0,6,15
6,0,7,31
7,1,1,38
8,1,2,15
9,1,3,13
10,1,4,10
11,1,5,10
12,1,6,24
13,1,7,43
14,2,1,52
15,2,2,8
16,2,3,8
17,2,4,11
18,2,5,12
19,2,6,20
20,2,7,62
21,3,1,37
22,3,2,6
23,3,3,9
24,3,4,7
25,3,5,9
26,3,6,7
27,3,7,26
28,4,1,28
29,4,2,8
30,4,3,5
31,4,4,6
32,4,5,12
33,4,6,18
34,4,7,12
35,5,1,18
36,5,2,11
37,5,3,9
38,5,4,2
39,5,5,11
40,5,6,12
41,5,7,7
42,6,1,20
43,6,2,14
44,6,3,13
45,6,4,9
46,6,5,13
47,6,6,17
48,6,7,19
49,7,1,27
50,7,2,19
51,7,3,11
52,7,4,14
53,7,5,11
54,7,6,16
55,7,7,20
56,8,1,9
57,8,2,10
58,8,3,14
59,8,4,11
60,8,5,23
61,8,6,15
62,8,7,18
63,9,1,12
64,9,2,14
65,9,3,14
66,9,4,7
67,9,5,9
68,9,6,9
69,9,7,17
70,10,1,14
71,10,2,8
72,10,3,12
73,10,4,15
74,10,5,12
75,10,6,12
76,10,7,20
77,11,1,18
78,11,2,20
79,11,3,16
80,11,4,16
81,11,5,9
82,11,6,9
83,11,7,20
84,12,1,25
85,12,2,19
86,12,3,14
87,12,4,9
88,12,5,13
89,12,6,21
90,12,7,28
91,13,1,26
92,13,2,9
93,13,3,16
94,13,4,23
95,13,5,27
96,13,6,17
97,13,7,40
98,14,1,25
99,14,2,31
100,14,3,20
101,14,4,19
102,14,5,17
103,14,6,27
104,14,7,31
105,15,1,21
106,15,2,20
107,15,3,23
108,15,4,20
109,15,5,18
110,15,6,24
111,15,7,26
112,16,1,26
113,16,2,19
114,16,3,15
115,16,4,21
116,16,5,22
117,16,6,26
118,16,7,34
119,17,1,30
120,17,2,14
121,17,3,25
122,17,4,26
123,17,5,19
124,17,6,20
125,17,7,37
126,18,1,28
127,18,2,18
128,18,3,13
129,18,4,17
130,18,5,16
131,18,6,17
132,18,7,41
133,19,1,28
134,19,2,18
135,19,3,23
136,19,4,9
137,19,5,19
138,19,6,16
139,19,7,32
140,20,1,31
141,20,2,27
142,20,3,22
143,20,4,23
144,20,5,26
145,20,6,21
146,20,7,31
147,21,1,14
148,21,2,22
149,21,3,12
150,21,4,20
151,21,5,26
152,21,6,20
153,21,7,28
154,22,1,23
155,22,2,11
156,22,3,9
157,22,4,11
158,22,5,15
159,22,6,27
160,22,7,39
161,23,1,16
162,23,2,12
163,23,3,12
164,23,4,12
165,23,5,18
166,23,6,34
167,23,7,34
168,99,1,7
169,99,2,9
170,99,3,4
171,99,4,6
172,99,5,4
173,99,6,8
174,99,7,11
