,acchr,dayofweek,size
0,0,1,9
1,0,2,3
2,0,3,3
3,0,4,4
4,0,5,7
5,0,6,5
6,0,7,6
7,1,1,5
8,1,3,4
9,1,4,2
10,1,5,2
11,1,6,6
12,1,7,4
13,2,1,6
14,2,2,3
15,2,3,4
16,2,4,5
17,2,5,1
18,2,6,3
19,2,7,6
20,3,1,6
21,3,2,2
22,3,3,5
23,3,4,2
24,3,5,5
25,3,6,5
26,3,7,4
27,4,1,6
28,4,2,4
29,4,3,2
30,4,4,1
31,4,5,5
32,4,6,3
33,4,7,3
34,5,1,5
35,5,2,8
36,5,3,12
37,5,4,7
38,5,5,12
39,5,6,13
40,5,7,6
41,6,1,3
42,6,2,24
43,6,3,20
44,6,4,22
45,6,5,24
46,6,6,21
47,6,7,11
48,7,1,12
49,7,2,18
50,7,3,20
51,7,4,23
52,7,5,24
53,7,6,20
54,7,7,9
55,8,1,14
56,8,2,23
57,8,3,15
58,8,4,16
59,8,5,23
60,8,6,28
61,8,7,18
62,9,1,21
63,9,2,24
64,9,3,22
65,9,4,22
66,9,5,17
67,9,6,25
68,9,7,22
69,10,1,28
70,10,2,28
71,10,3,25
72,10,4,29
73,10,5,27
74,10,6,31
75,10,7,24
76,11,1,18
77,11,2,43
78,11,3,37
79,11,4,45
80,11,5,31
81,11,6,44
82,11,7,31
83,12,1,40
84,12,2,35
85,12,3,35
86,12,4,23
87,12,5,42
88,12,6,33
89,12,7,42
90,13,1,34
91,13,2,32
92,13,3,33
93,13,4,38
94,13,5,44
95,13,6,59
96,13,7,28
97,14,1,27
98,14,2,37
99,14,3,37
100,14,4,39
101,14,5,33
102,14,6,43
103,14,7,33
104,15,1,27
105,15,2,34
106,15,3,42
107,15,4,33
108,15,5,39
109,15,6,36
110,15,7,31
111,16,1,30
112,16,2,29
113,16,3,32
114,16,4,42
115,16,5,45
116,16,6,36
117,16,7,33
118,17,1,19
119,17,2,29
120,17,3,38
121,17,4,31
122,17,5,33
123,17,6,39
124,17,7,23
125,18,1,18
126,18,2,15
127,18,3,25
128,18,4,22
129,18,5,23
130,18,6,26
131,18,7,34
132,19,1,14
133,19,2,22
134,19,3,19
135,19,4,5
136,19,5,12
137,19,6,23
138,19,7,16
139,20,1,16
140,20,2,13
141,20,3,12
142,20,4,14
143,20,5,12
144,20,6,20
145,20,7,16
146,21,1,14
147,21,2,10
148,21,3,10
149,21,4,13
150,21,5,19
151,21,6,18
152,21,7,10
153,22,1,4
154,22,2,14
155,22,3,3
156,22,4,7
157,22,5,7
158,22,6,17
159,22,7,13
160,23,1,1
161,23,2,1
162,23,3,6
163,23,4,8
164,23,5,6
165,23,6,6
166,23,7,7
167,99,6,1
