,acchr,dayofweek,size
0,0,1,24
1,0,2,14
2,0,3,11
3,0,4,13
4,0,5,14
5,0,6,13
6,0,7,28
7,1,1,13
8,1,2,6
9,1,3,9
10,1,4,11
11,1,5,6
12,1,6,12
13,1,7,18
14,2,1,30
15,2,2,13
16,2,3,7
17,2,4,8
18,2,5,4
19,2,6,21
20,2,7,17
21,3,1,18
22,3,2,4
23,3,3,7
24,3,4,9
25,3,5,11
26,3,6,17
27,3,7,14
28,4,1,18
29,4,2,8
30,4,3,8
31,4,4,4
32,4,5,10
33,4,6,14
34,4,7,15
35,5,1,13
36,5,2,19
37,5,3,31
38,5,4,23
39,5,5,22
40,5,6,21
41,5,7,18
42,6,1,9
43,6,2,42
44,6,3,49
45,6,4,39
46,6,5,44
47,6,6,40
48,6,7,14
49,7,1,16
50,7,2,45
51,7,3,47
52,7,4,51
53,7,5,58
54,7,6,47
55,7,7,17
56,8,1,24
57,8,2,40
58,8,3,33
59,8,4,41
60,8,5,37
61,8,6,47
62,8,7,35
63,9,1,31
64,9,2,34
65,9,3,40
66,9,4,37
67,9,5,32
68,9,6,39
69,9,7,39
70,10,1,49
71,10,2,48
72,10,3,40
73,10,4,44
74,10,5,42
75,10,6,53
76,10,7,42
77,11,1,32
78,11,2,60
79,11,3,61
80,11,4,64
81,11,5,39
82,11,6,60
83,11,7,56
84,12,1,64
85,12,2,55
86,12,3,60
87,12,4,35
88,12,5,66
89,12,6,54
90,12,7,68
91,13,1,55
92,13,2,55
93,13,3,52
94,13,4,58
95,13,5,72
96,13,6,71
97,13,7,52
98,14,1,51
99,14,2,62
100,14,3,67
101,14,4,64
102,14,5,56
103,14,6,77
104,14,7,58
105,15,1,51
106,15,2,62
107,15,3,75
108,15,4,63
109,15,5,59
110,15,6,71
111,15,7,57
112,16,1,60
113,16,2,56
114,16,3,57
115,16,4,80
116,16,5,77
117,16,6,58
118,16,7,60
119,17,1,52
120,17,2,60
121,17,3,68
122,17,4,55
123,17,5,64
124,17,6,79
125,17,7,43
126,18,1,24
127,18,2,47
128,18,3,56
129,18,4,46
130,18,5,50
131,18,6,55
132,18,7,63
133,19,1,30
134,19,2,38
135,19,3,28
136,19,4,19
137,19,5,27
138,19,6,46
139,19,7,37
140,20,1,33
141,20,2,33
142,20,3,35
143,20,4,35
144,20,5,25
145,20,6,44
146,20,7,35
147,21,1,29
148,21,2,27
149,21,3,19
150,21,4,25
151,21,5,38
152,21,6,40
153,21,7,22
154,22,1,15
155,22,2,24
156,22,3,9
157,22,4,18
158,22,5,24
159,22,6,39
160,22,7,32
161,23,1,4
162,23,2,14
163,23,3,15
164,23,4,18
165,23,5,16
166,23,6,22
167,23,7,29
168,99,3,1
169,99,6,1
170,99,7,2
