,acchr,dayofweek,size
0,0,1,23
1,0,2,11
2,0,3,10
3,0,4,7
4,0,5,10
5,0,6,11
6,0,7,19
7,1,1,11
8,1,2,3
9,1,3,8
10,1,4,9
11,1,5,5
12,1,6,10
13,1,7,14
14,2,1,16
15,2,2,10
16,2,3,6
17,2,4,7
18,2,5,2
19,2,6,13
20,2,7,13
21,3,1,10
22,3,2,3
23,3,3,4
24,3,4,5
25,3,5,7
26,3,6,17
27,3,7,9
28,4,1,9
29,4,2,7
30,4,3,6
31,4,4,2
32,4,5,8
33,4,6,12
34,4,7,10
35,5,1,9
36,5,2,17
37,5,3,26
38,5,4,21
39,5,5,15
40,5,6,21
41,5,7,15
42,6,1,7
43,6,2,39
44,6,3,39
45,6,4,35
46,6,5,42
47,6,6,39
48,6,7,8
49,7,1,11
50,7,2,38
51,7,3,43
52,7,4,47
53,7,5,48
54,7,6,42
55,7,7,17
56,8,1,21
57,8,2,33
58,8,3,25
59,8,4,32
60,8,5,36
61,8,6,34
62,8,7,24
63,9,1,26
64,9,2,28
65,9,3,38
66,9,4,34
67,9,5,27
68,9,6,34
69,9,7,36
70,10,1,35
71,10,2,41
72,10,3,35
73,10,4,37
74,10,5,33
75,10,6,48
76,10,7,36
77,11,1,22
78,11,2,49
79,11,3,46
80,11,4,46
81,11,5,32
82,11,6,49
83,11,7,47
84,12,1,49
85,12,2,47
86,12,3,51
87,12,4,30
88,12,5,51
89,12,6,44
90,12,7,56
91,13,1,49
92,13,2,41
93,13,3,42
94,13,4,49
95,13,5,53
96,13,6,57
97,13,7,41
98,14,1,37
99,14,2,54
100,14,3,53
101,14,4,57
102,14,5,47
103,14,6,57
104,14,7,44
105,15,1,40
106,15,2,47
107,15,3,58
108,15,4,54
109,15,5,55
110,15,6,57
111,15,7,47
112,16,1,46
113,16,2,53
114,16,3,47
115,16,4,62
116,16,5,59
117,16,6,52
118,16,7,47
119,17,1,38
120,17,2,51
121,17,3,58
122,17,4,47
123,17,5,52
124,17,6,61
125,17,7,38
126,18,1,21
127,18,2,40
128,18,3,45
129,18,4,39
130,18,5,44
131,18,6,33
132,18,7,43
133,19,1,21
134,19,2,30
135,19,3,24
136,19,4,19
137,19,5,20
138,19,6,41
139,19,7,24
140,20,1,26
141,20,2,28
142,20,3,26
143,20,4,27
144,20,5,21
145,20,6,32
146,20,7,30
147,21,1,23
148,21,2,21
149,21,3,12
150,21,4,21
151,21,5,27
152,21,6,27
153,21,7,18
154,22,1,14
155,22,2,15
156,22,3,7
157,22,4,15
158,22,5,14
159,22,6,27
160,22,7,20
161,23,1,3
162,23,2,12
163,23,3,12
164,23,4,10
165,23,5,13
166,23,6,17
167,23,7,23
168,99,3,1
169,99,6,1
170,99,7,1
