,acchr,dayofweek,size
0,0,1,117
1,0,2,38
2,0,3,42
3,0,4,37
4,0,5,56
5,0,6,65
6,0,7,107
7,1,1,127
8,1,2,45
9,1,3,28
10,1,4,36
11,1,5,38
12,1,6,71
13,1,7,151
14,2,1,175
15,2,2,38
16,2,3,31
17,2,4,31
18,2,5,60
19,2,6,72
20,2,7,188
21,3,1,105
22,3,2,26
23,3,3,15
24,3,4,18
25,3,5,32
26,3,6,40
27,3,7,101
28,4,1,79
29,4,2,16
30,4,3,14
31,4,4,12
32,4,5,15
33,4,6,27
34,4,7,66
35,5,1,52
36,5,2,8
37,5,3,9
38,5,4,13
39,5,5,13
40,5,6,18
41,5,7,49
42,6,1,25
43,6,2,9
44,6,3,10
45,6,4,7
46,6,5,6
47,6,6,18
48,6,7,48
49,7,1,18
50,7,2,4
51,7,3,7
52,7,4,9
53,7,5,8
54,7,6,14
55,7,7,17
56,8,1,8
57,8,2,7
58,8,3,6
59,8,4,3
60,8,5,8
61,8,6,6
62,8,7,12
63,9,1,9
64,9,2,6
65,9,3,6
66,9,4,8
67,9,5,6
68,9,6,10
69,9,7,7
70,10,1,4
71,10,2,2
72,10,3,6
73,10,4,7
74,10,5,3
75,10,6,6
76,10,7,14
77,11,1,4
78,11,2,6
79,11,3,11
80,11,4,6
81,11,5,2
82,11,6,6
83,11,7,7
84,12,1,16
85,12,2,11
86,12,3,6
87,12,4,5
88,12,5,10
89,12,6,10
90,12,7,9
91,13,1,16
92,13,2,4
93,13,3,9
94,13,4,9
95,13,5,13
96,13,6,16
97,13,7,19
98,14,1,21
99,14,2,15
100,14,3,19
101,14,4,17
102,14,5,15
103,14,6,21
104,14,7,27
105,15,1,32
106,15,2,19
107,15,3,20
108,15,4,14
109,15,5,12
110,15,6,16
111,15,7,36
112,16,1,36
113,16,2,21
114,16,3,16
115,16,4,22
116,16,5,10
117,16,6,27
118,16,7,39
119,17,1,34
120,17,2,30
121,17,3,24
122,17,4,25
123,17,5,34
124,17,6,29
125,17,7,56
126,18,1,46
127,18,2,34
128,18,3,29
129,18,4,33
130,18,5,38
131,18,6,48
132,18,7,67
133,19,1,71
134,19,2,43
135,19,3,45
136,19,4,44
137,19,5,48
138,19,6,49
139,19,7,90
140,20,1,62
141,20,2,41
142,20,3,47
143,20,4,55
144,20,5,57
145,20,6,77
146,20,7,91
147,21,1,64
148,21,2,60
149,21,3,40
150,21,4,63
151,21,5,49
152,21,6,85
153,21,7,107
154,22,1,55
155,22,2,49
156,22,3,57
157,22,4,48
158,22,5,59
159,22,6,83
160,22,7,104
161,23,1,45
162,23,2,44
163,23,3,51
164,23,4,31
165,23,5,61
166,23,6,107
167,23,7,110
168,99,1,13
169,99,2,6
170,99,3,4
171,99,4,5
172,99,5,5
173,99,6,9
174,99,7,12
