,acchr,dayofweek,size
0,0,1,26
1,0,2,18
2,0,3,12
3,0,4,18
4,0,5,13
5,0,6,19
6,0,7,26
7,1,1,30
8,1,2,14
9,1,3,4
10,1,4,7
11,1,5,11
12,1,6,10
13,1,7,24
14,2,1,19
15,2,2,14
16,2,3,9
17,2,4,8
18,2,5,9
19,2,6,15
20,2,7,15
21,3,1,14
22,3,2,4
23,3,3,3
24,3,4,8
25,3,5,6
26,3,6,18
27,3,7,18
28,4,1,12
29,4,2,12
30,4,3,13
31,4,4,10
32,4,5,10
33,4,6,21
34,4,7,16
35,5,1,12
36,5,2,24
37,5,3,22
38,5,4,19
39,5,5,20
40,5,6,25
41,5,7,16
42,6,1,18
43,6,2,36
44,6,3,27
45,6,4,28
46,6,5,38
47,6,6,37
48,6,7,18
49,7,1,19
50,7,2,26
51,7,3,28
52,7,4,33
53,7,5,37
54,7,6,38
55,7,7,24
56,8,1,20
57,8,2,39
58,8,3,27
59,8,4,27
60,8,5,24
61,8,6,39
62,8,7,25
63,9,1,32
64,9,2,26
65,9,3,28
66,9,4,28
67,9,5,27
68,9,6,38
69,9,7,32
70,10,1,24
71,10,2,21
72,10,3,30
73,10,4,23
74,10,5,31
75,10,6,41
76,10,7,32
77,11,1,29
78,11,2,46
79,11,3,43
80,11,4,47
81,11,5,29
82,11,6,40
83,11,7,36
84,12,1,45
85,12,2,47
86,12,3,31
87,12,4,40
88,12,5,46
89,12,6,29
90,12,7,50
91,13,1,42
92,13,2,33
93,13,3,26
94,13,4,31
95,13,5,40
96,13,6,38
97,13,7,49
98,14,1,33
99,14,2,55
100,14,3,49
101,14,4,41
102,14,5,37
103,14,6,56
104,14,7,44
105,15,1,42
106,15,2,38
107,15,3,49
108,15,4,47
109,15,5,33
110,15,6,45
111,15,7,44
112,16,1,41
113,16,2,50
114,16,3,46
115,16,4,53
116,16,5,49
117,16,6,36
118,16,7,38
119,17,1,35
120,17,2,43
121,17,3,33
122,17,4,42
123,17,5,50
124,17,6,42
125,17,7,39
126,18,1,34
127,18,2,40
128,18,3,41
129,18,4,53
130,18,5,60
131,18,6,43
132,18,7,51
133,19,1,34
134,19,2,37
135,19,3,32
136,19,4,22
137,19,5,29
138,19,6,34
139,19,7,39
140,20,1,28
141,20,2,38
142,20,3,31
143,20,4,29
144,20,5,34
145,20,6,35
146,20,7,38
147,21,1,24
148,21,2,35
149,21,3,18
150,21,4,23
151,21,5,35
152,21,6,43
153,21,7,34
154,22,1,23
155,22,2,16
156,22,3,18
157,22,4,18
158,22,5,24
159,22,6,39
160,22,7,37
161,23,1,11
162,23,2,18
163,23,3,24
164,23,4,18
165,23,5,17
166,23,6,26
167,23,7,23
168,99,1,1
169,99,2,1
170,99,4,4
171,99,6,4
172,99,7,3
