,acchr,dayofweek,size
0,0,1,20
1,0,2,8
2,0,3,8
3,0,4,11
4,0,5,9
5,0,6,10
6,0,7,17
7,1,1,17
8,1,2,8
9,1,3,4
10,1,4,4
11,1,5,7
12,1,6,7
13,1,7,14
14,2,1,11
15,2,2,9
16,2,3,3
17,2,4,7
18,2,5,6
19,2,6,7
20,2,7,9
21,3,1,8
22,3,2,2
23,3,3,2
24,3,4,5
25,3,5,5
26,3,6,14
27,3,7,6
28,4,1,5
29,4,2,8
30,4,3,11
31,4,4,5
32,4,5,8
33,4,6,17
34,4,7,11
35,5,1,8
36,5,2,14
37,5,3,11
38,5,4,13
39,5,5,12
40,5,6,15
41,5,7,11
42,6,1,11
43,6,2,28
44,6,3,19
45,6,4,17
46,6,5,26
47,6,6,26
48,6,7,12
49,7,1,16
50,7,2,22
51,7,3,25
52,7,4,19
53,7,5,26
54,7,6,25
55,7,7,20
56,8,1,15
57,8,2,31
58,8,3,19
59,8,4,18
60,8,5,21
61,8,6,31
62,8,7,13
63,9,1,25
64,9,2,18
65,9,3,21
66,9,4,18
67,9,5,20
68,9,6,27
69,9,7,19
70,10,1,19
71,10,2,18
72,10,3,27
73,10,4,14
74,10,5,25
75,10,6,36
76,10,7,24
77,11,1,21
78,11,2,33
79,11,3,31
80,11,4,37
81,11,5,19
82,11,6,28
83,11,7,24
84,12,1,39
85,12,2,38
86,12,3,24
87,12,4,29
88,12,5,36
89,12,6,22
90,12,7,35
91,13,1,37
92,13,2,15
93,13,3,20
94,13,4,25
95,13,5,28
96,13,6,32
97,13,7,39
98,14,1,21
99,14,2,45
100,14,3,42
101,14,4,29
102,14,5,27
103,14,6,43
104,14,7,36
105,15,1,30
106,15,2,26
107,15,3,35
108,15,4,35
109,15,5,20
110,15,6,32
111,15,7,36
112,16,1,27
113,16,2,38
114,16,3,35
115,16,4,38
116,16,5,38
117,16,6,26
118,16,7,30
119,17,1,27
120,17,2,22
121,17,3,29
122,17,4,30
123,17,5,31
124,17,6,33
125,17,7,28
126,18,1,19
127,18,2,20
128,18,3,23
129,18,4,29
130,18,5,36
131,18,6,23
132,18,7,35
133,19,1,20
134,19,2,21
135,19,3,14
136,19,4,11
137,19,5,19
138,19,6,17
139,19,7,19
140,20,1,11
141,20,2,21
142,20,3,18
143,20,4,14
144,20,5,20
145,20,6,21
146,20,7,16
147,21,1,10
148,21,2,22
149,21,3,9
150,21,4,7
151,21,5,20
152,21,6,18
153,21,7,16
154,22,1,14
155,22,2,11
156,22,3,9
157,22,4,14
158,22,5,15
159,22,6,20
160,22,7,19
161,23,1,6
162,23,2,13
163,23,3,13
164,23,4,8
165,23,5,11
166,23,6,15
167,23,7,12
168,99,1,1
169,99,2,1
170,99,4,4
171,99,6,4
172,99,7,3
