,acchr,dayofweek,size
0,0,1,18
1,0,2,9
2,0,3,9
3,0,4,10
4,0,5,12
5,0,6,14
6,0,7,22
7,1,1,18
8,1,2,7
9,1,3,7
10,1,4,4
11,1,5,6
12,1,6,11
13,1,7,26
14,2,1,17
15,2,2,4
16,2,3,4
17,2,4,6
18,2,5,7
19,2,6,7
20,2,7,12
21,3,1,8
22,3,2,3
23,3,3,3
24,3,4,6
25,3,5,8
26,3,6,5
27,3,7,8
28,4,1,7
29,4,2,9
30,4,3,5
31,4,4,2
32,4,5,8
33,4,6,12
34,4,7,8
35,5,1,7
36,5,2,10
37,5,3,12
38,5,4,8
39,5,5,10
40,5,6,13
41,5,7,6
42,6,1,5
43,6,2,17
44,6,3,16
45,6,4,12
46,6,5,18
47,6,6,22
48,6,7,14
49,7,1,15
50,7,2,18
51,7,3,23
52,7,4,18
53,7,5,20
54,7,6,17
55,7,7,8
56,8,1,15
57,8,2,25
58,8,3,25
59,8,4,11
60,8,5,21
61,8,6,30
62,8,7,16
63,9,1,15
64,9,2,22
65,9,3,29
66,9,4,11
67,9,5,20
68,9,6,20
69,9,7,22
70,10,1,17
71,10,2,22
72,10,3,28
73,10,4,14
74,10,5,27
75,10,6,34
76,10,7,18
77,11,1,23
78,11,2,26
79,11,3,31
80,11,4,33
81,11,5,24
82,11,6,33
83,11,7,18
84,12,1,38
85,12,2,33
86,12,3,23
87,12,4,30
88,12,5,31
89,12,6,31
90,12,7,39
91,13,1,33
92,13,2,20
93,13,3,26
94,13,4,27
95,13,5,31
96,13,6,41
97,13,7,41
98,14,1,23
99,14,2,39
100,14,3,32
101,14,4,37
102,14,5,28
103,14,6,43
104,14,7,25
105,15,1,32
106,15,2,33
107,15,3,33
108,15,4,36
109,15,5,21
110,15,6,39
111,15,7,37
112,16,1,36
113,16,2,45
114,16,3,28
115,16,4,37
116,16,5,33
117,16,6,40
118,16,7,32
119,17,1,27
120,17,2,26
121,17,3,27
122,17,4,40
123,17,5,35
124,17,6,38
125,17,7,44
126,18,1,24
127,18,2,23
128,18,3,30
129,18,4,20
130,18,5,34
131,18,6,30
132,18,7,43
133,19,1,28
134,19,2,18
135,19,3,15
136,19,4,15
137,19,5,24
138,19,6,20
139,19,7,40
140,20,1,16
141,20,2,18
142,20,3,13
143,20,4,23
144,20,5,17
145,20,6,22
146,20,7,35
147,21,1,14
148,21,2,21
149,21,3,14
150,21,4,15
151,21,5,16
152,21,6,22
153,21,7,29
154,22,1,15
155,22,2,14
156,22,3,13
157,22,4,23
158,22,5,13
159,22,6,23
160,22,7,24
161,23,1,9
162,23,2,15
163,23,3,13
164,23,4,11
165,23,5,13
166,23,6,27
167,23,7,14
168,99,1,1
169,99,2,5
170,99,4,4
171,99,5,3
172,99,6,4
173,99,7,4
