,acchr,dayofweek,size
0,0,1,81
1,0,2,28
2,0,3,36
3,0,4,36
4,0,5,42
5,0,6,44
6,0,7,80
7,1,1,79
8,1,2,41
9,1,3,21
10,1,4,36
11,1,5,30
12,1,6,42
13,1,7,96
14,2,1,97
15,2,2,34
16,2,3,20
17,2,4,25
18,2,5,39
19,2,6,59
20,2,7,107
21,3,1,62
22,3,2,17
23,3,3,16
24,3,4,18
25,3,5,25
26,3,6,39
27,3,7,62
28,4,1,47
29,4,2,21
30,4,3,23
31,4,4,14
32,4,5,18
33,4,6,37
34,4,7,50
35,5,1,33
36,5,2,22
37,5,3,20
38,5,4,21
39,5,5,22
40,5,6,27
41,5,7,41
42,6,1,30
43,6,2,36
44,6,3,37
45,6,4,25
46,6,5,34
47,6,6,44
48,6,7,43
49,7,1,33
50,7,2,34
51,7,3,38
52,7,4,37
53,7,5,51
54,7,6,44
55,7,7,34
56,8,1,24
57,8,2,45
58,8,3,43
59,8,4,26
60,8,5,35
61,8,6,50
62,8,7,28
63,9,1,34
64,9,2,32
65,9,3,43
66,9,4,26
67,9,5,30
68,9,6,36
69,9,7,38
70,10,1,32
71,10,2,28
72,10,3,39
73,10,4,22
74,10,5,40
75,10,6,51
76,10,7,40
77,11,1,38
78,11,2,40
79,11,3,48
80,11,4,50
81,11,5,34
82,11,6,45
83,11,7,38
84,12,1,62
85,12,2,57
86,12,3,41
87,12,4,45
88,12,5,55
89,12,6,51
90,12,7,62
91,13,1,63
92,13,2,32
93,13,3,38
94,13,4,44
95,13,5,51
96,13,6,54
97,13,7,73
98,14,1,40
99,14,2,70
100,14,3,69
101,14,4,58
102,14,5,49
103,14,6,73
104,14,7,60
105,15,1,60
106,15,2,50
107,15,3,61
108,15,4,66
109,15,5,38
110,15,6,68
111,15,7,62
112,16,1,65
113,16,2,63
114,16,3,61
115,16,4,67
116,16,5,66
117,16,6,63
118,16,7,69
119,17,1,55
120,17,2,52
121,17,3,53
122,17,4,63
123,17,5,63
124,17,6,70
125,17,7,76
126,18,1,59
127,18,2,53
128,18,3,47
129,18,4,45
130,18,5,71
131,18,6,62
132,18,7,80
133,19,1,63
134,19,2,46
135,19,3,47
136,19,4,39
137,19,5,46
138,19,6,46
139,19,7,89
140,20,1,45
141,20,2,45
142,20,3,43
143,20,4,46
144,20,5,55
145,20,6,61
146,20,7,74
147,21,1,41
148,21,2,53
149,21,3,40
150,21,4,42
151,21,5,55
152,21,6,54
153,21,7,70
154,22,1,49
155,22,2,35
156,22,3,36
157,22,4,46
158,22,5,44
159,22,6,63
160,22,7,65
161,23,1,34
162,23,2,38
163,23,3,41
164,23,4,27
165,23,5,51
166,23,6,70
167,23,7,72
168,99,1,9
169,99,2,7
170,99,3,6
171,99,4,9
172,99,5,4
173,99,6,11
174,99,7,12
