,acchr,dayofweek,size
0,0,1,48
1,0,2,21
2,0,3,16
3,0,4,13
4,0,5,22
5,0,6,23
6,0,7,53
7,1,1,47
8,1,2,29
9,1,3,16
10,1,4,22
11,1,5,18
12,1,6,27
13,1,7,65
14,2,1,89
15,2,2,23
16,2,3,19
17,2,4,20
18,2,5,22
19,2,6,43
20,2,7,96
21,3,1,56
22,3,2,7
23,3,3,9
24,3,4,16
25,3,5,14
26,3,6,29
27,3,7,58
28,4,1,39
29,4,2,12
30,4,3,16
31,4,4,7
32,4,5,11
33,4,6,16
34,4,7,38
35,5,1,27
36,5,2,16
37,5,3,9
38,5,4,9
39,5,5,8
40,5,6,6
41,5,7,31
42,6,1,18
43,6,2,13
44,6,3,15
45,6,4,5
46,6,5,19
47,6,6,14
48,6,7,22
49,7,1,15
50,7,2,13
51,7,3,18
52,7,4,12
53,7,5,12
54,7,6,20
55,7,7,23
56,8,1,6
57,8,2,13
58,8,3,12
59,8,4,9
60,8,5,13
61,8,6,17
62,8,7,9
63,9,1,11
64,9,2,6
65,9,3,14
66,9,4,9
67,9,5,8
68,9,6,9
69,9,7,11
70,10,1,12
71,10,2,7
72,10,3,6
73,10,4,6
74,10,5,8
75,10,6,13
76,10,7,14
77,11,1,12
78,11,2,7
79,11,3,8
80,11,4,14
81,11,5,9
82,11,6,12
83,11,7,15
84,12,1,22
85,12,2,16
86,12,3,12
87,12,4,9
88,12,5,12
89,12,6,15
90,12,7,15
91,13,1,14
92,13,2,11
93,13,3,10
94,13,4,13
95,13,5,12
96,13,6,13
97,13,7,16
98,14,1,11
99,14,2,21
100,14,3,20
101,14,4,6
102,14,5,16
103,14,6,12
104,14,7,24
105,15,1,20
106,15,2,15
107,15,3,10
108,15,4,13
109,15,5,9
110,15,6,23
111,15,7,20
112,16,1,13
113,16,2,16
114,16,3,21
115,16,4,25
116,16,5,16
117,16,6,15
118,16,7,25
119,17,1,22
120,17,2,18
121,17,3,24
122,17,4,27
123,17,5,13
124,17,6,19
125,17,7,19
126,18,1,21
127,18,2,18
128,18,3,17
129,18,4,18
130,18,5,15
131,18,6,20
132,18,7,27
133,19,1,22
134,19,2,17
135,19,3,20
136,19,4,13
137,19,5,15
138,19,6,20
139,19,7,27
140,20,1,20
141,20,2,17
142,20,3,28
143,20,4,15
144,20,5,30
145,20,6,19
146,20,7,26
147,21,1,20
148,21,2,24
149,21,3,17
150,21,4,15
151,21,5,24
152,21,6,24
153,21,7,24
154,22,1,31
155,22,2,18
156,22,3,20
157,22,4,15
158,22,5,21
159,22,6,32
160,22,7,31
161,23,1,17
162,23,2,19
163,23,3,15
164,23,4,12
165,23,5,27
166,23,6,36
167,23,7,49
168,99,1,4
169,99,2,2
170,99,3,3
171,99,4,2
172,99,5,2
173,99,6,3
174,99,7,5
