,acchr,dayofweek,size
0,0,1,14
1,0,2,6
2,0,3,7
3,0,4,6
4,0,5,8
5,0,6,8
6,0,7,10
7,1,1,6
8,1,2,2
9,1,3,6
10,1,4,4
11,1,5,4
12,1,6,8
13,1,7,11
14,2,1,10
15,2,2,4
16,2,3,3
17,2,4,3
18,2,5,1
19,2,6,6
20,2,7,8
21,3,1,10
22,3,2,2
23,3,3,1
24,3,4,3
25,3,5,5
26,3,6,16
27,3,7,6
28,4,1,5
29,4,2,5
30,4,3,6
31,4,4,2
32,4,5,5
33,4,6,12
34,4,7,8
35,5,1,7
36,5,2,9
37,5,3,13
38,5,4,13
39,5,5,8
40,5,6,13
41,5,7,8
42,6,1,4
43,6,2,30
44,6,3,26
45,6,4,18
46,6,5,26
47,6,6,22
48,6,7,4
49,7,1,8
50,7,2,21
51,7,3,25
52,7,4,29
53,7,5,32
54,7,6,28
55,7,7,9
56,8,1,15
57,8,2,21
58,8,3,20
59,8,4,19
60,8,5,23
61,8,6,27
62,8,7,16
63,9,1,15
64,9,2,16
65,9,3,21
66,9,4,24
67,9,5,15
68,9,6,24
69,9,7,21
70,10,1,26
71,10,2,21
72,10,3,26
73,10,4,17
74,10,5,21
75,10,6,38
76,10,7,26
77,11,1,15
78,11,2,36
79,11,3,32
80,11,4,29
81,11,5,21
82,11,6,36
83,11,7,30
84,12,1,39
85,12,2,34
86,12,3,35
87,12,4,20
88,12,5,33
89,12,6,29
90,12,7,40
91,13,1,36
92,13,2,20
93,13,3,30
94,13,4,31
95,13,5,38
96,13,6,42
97,13,7,28
98,14,1,17
99,14,2,38
100,14,3,36
101,14,4,31
102,14,5,33
103,14,6,41
104,14,7,32
105,15,1,24
106,15,2,29
107,15,3,40
108,15,4,39
109,15,5,37
110,15,6,36
111,15,7,34
112,16,1,25
113,16,2,37
114,16,3,29
115,16,4,46
116,16,5,39
117,16,6,32
118,16,7,35
119,17,1,24
120,17,2,32
121,17,3,39
122,17,4,32
123,17,5,31
124,17,6,44
125,17,7,26
126,18,1,19
127,18,2,29
128,18,3,30
129,18,4,29
130,18,5,34
131,18,6,25
132,18,7,37
133,19,1,8
134,19,2,25
135,19,3,18
136,19,4,12
137,19,5,13
138,19,6,24
139,19,7,12
140,20,1,14
141,20,2,20
142,20,3,19
143,20,4,19
144,20,5,16
145,20,6,23
146,20,7,18
147,21,1,14
148,21,2,18
149,21,3,8
150,21,4,9
151,21,5,21
152,21,6,21
153,21,7,12
154,22,1,10
155,22,2,11
156,22,3,4
157,22,4,12
158,22,5,7
159,22,6,17
160,22,7,15
161,23,1,2
162,23,2,9
163,23,3,9
164,23,4,5
165,23,5,9
166,23,6,12
167,23,7,15
168,99,3,1
169,99,6,1
170,99,7,1
