,acchr,dayofweek,size
0,0,1,134
1,0,2,51
2,0,3,57
3,0,4,51
4,0,5,68
5,0,6,77
6,0,7,138
7,1,1,126
8,1,2,65
9,1,3,42
10,1,4,53
11,1,5,51
12,1,6,68
13,1,7,159
14,2,1,176
15,2,2,49
16,2,3,38
17,2,4,38
18,2,5,66
19,2,6,96
20,2,7,190
21,3,1,112
22,3,2,30
23,3,3,28
24,3,4,30
25,3,5,37
26,3,6,63
27,3,7,111
28,4,1,87
29,4,2,38
30,4,3,37
31,4,4,20
32,4,5,33
33,4,6,55
34,4,7,78
35,5,1,60
36,5,2,44
37,5,3,30
38,5,4,48
39,5,5,38
40,5,6,45
41,5,7,66
42,6,1,44
43,6,2,67
44,6,3,77
45,6,4,60
46,6,5,63
47,6,6,72
48,6,7,75
49,7,1,51
50,7,2,65
51,7,3,73
52,7,4,76
53,7,5,82
54,7,6,76
55,7,7,55
56,8,1,46
57,8,2,72
58,8,3,71
59,8,4,50
60,8,5,75
61,8,6,83
62,8,7,54
63,9,1,63
64,9,2,63
65,9,3,70
66,9,4,48
67,9,5,59
68,9,6,69
69,9,7,66
70,10,1,68
71,10,2,56
72,10,3,63
73,10,4,56
74,10,5,73
75,10,6,96
76,10,7,79
77,11,1,65
78,11,2,82
79,11,3,88
80,11,4,84
81,11,5,62
82,11,6,86
83,11,7,85
84,12,1,119
85,12,2,100
86,12,3,83
87,12,4,72
88,12,5,92
89,12,6,94
90,12,7,119
91,13,1,118
92,13,2,69
93,13,3,80
94,13,4,93
95,13,5,108
96,13,6,105
97,13,7,117
98,14,1,89
99,14,2,121
100,14,3,109
101,14,4,99
102,14,5,111
103,14,6,110
104,14,7,121
105,15,1,105
106,15,2,106
107,15,3,107
108,15,4,112
109,15,5,88
110,15,6,125
111,15,7,117
112,16,1,122
113,16,2,108
114,16,3,100
115,16,4,129
116,16,5,116
117,16,6,116
118,16,7,123
119,17,1,99
120,17,2,104
121,17,3,112
122,17,4,124
123,17,5,115
124,17,6,119
125,17,7,134
126,18,1,110
127,18,2,91
128,18,3,96
129,18,4,84
130,18,5,103
131,18,6,109
132,18,7,154
133,19,1,103
134,19,2,81
135,19,3,86
136,19,4,74
137,19,5,77
138,19,6,90
139,19,7,140
140,20,1,85
141,20,2,79
142,20,3,82
143,20,4,93
144,20,5,92
145,20,6,109
146,20,7,115
147,21,1,91
148,21,2,95
149,21,3,65
150,21,4,75
151,21,5,95
152,21,6,116
153,21,7,130
154,22,1,83
155,22,2,59
156,22,3,58
157,22,4,75
158,22,5,74
159,22,6,111
160,22,7,113
161,23,1,56
162,23,2,62
163,23,3,68
164,23,4,39
165,23,5,77
166,23,6,119
167,23,7,132
168,99,1,16
169,99,2,13
170,99,3,11
171,99,4,13
172,99,5,6
173,99,6,15
174,99,7,19
