,acchr,dayofweek,size
0,0,1,42
1,0,2,14
2,0,3,25
3,0,4,20
4,0,5,27
5,0,6,19
6,0,7,38
7,1,1,49
8,1,2,22
9,1,3,8
10,1,4,12
11,1,5,13
12,1,6,22
13,1,7,49
14,2,1,58
15,2,2,18
16,2,3,9
17,2,4,12
18,2,5,26
19,2,6,39
20,2,7,63
21,3,1,36
22,3,2,11
23,3,3,7
24,3,4,6
25,3,5,6
26,3,6,21
27,3,7,38
28,4,1,24
29,4,2,10
30,4,3,11
31,4,4,7
32,4,5,7
33,4,6,18
34,4,7,27
35,5,1,19
36,5,2,12
37,5,3,3
38,5,4,14
39,5,5,10
40,5,6,18
41,5,7,13
42,6,1,8
43,6,2,14
44,6,3,20
45,6,4,18
46,6,5,15
47,6,6,14
48,6,7,22
49,7,1,8
50,7,2,16
51,7,3,9
52,7,4,11
53,7,5,16
54,7,6,17
55,7,7,10
56,8,1,7
57,8,2,12
58,8,3,13
59,8,4,14
60,8,5,11
61,8,6,13
62,8,7,15
63,9,1,12
64,9,2,11
65,9,3,9
66,9,4,9
67,9,5,12
68,9,6,13
69,9,7,10
70,10,1,9
71,10,2,9
72,10,3,6
73,10,4,6
74,10,5,10
75,10,6,13
76,10,7,17
77,11,1,7
78,11,2,14
79,11,3,14
80,11,4,16
81,11,5,10
82,11,6,10
83,11,7,13
84,12,1,19
85,12,2,13
86,12,3,11
87,12,4,13
88,12,5,17
89,12,6,13
90,12,7,16
91,13,1,23
92,13,2,14
93,13,3,14
94,13,4,16
95,13,5,16
96,13,6,12
97,13,7,22
98,14,1,17
99,14,2,22
100,14,3,20
101,14,4,18
102,14,5,13
103,14,6,19
104,14,7,29
105,15,1,17
106,15,2,9
107,15,3,23
108,15,4,19
109,15,5,17
110,15,6,19
111,15,7,22
112,16,1,34
113,16,2,11
114,16,3,18
115,16,4,19
116,16,5,17
117,16,6,18
118,16,7,26
119,17,1,21
120,17,2,25
121,17,3,16
122,17,4,18
123,17,5,30
124,17,6,30
125,17,7,32
126,18,1,32
127,18,2,26
128,18,3,21
129,18,4,21
130,18,5,31
131,18,6,28
132,18,7,35
133,19,1,29
134,19,2,18
135,19,3,22
136,19,4,25
137,19,5,19
138,19,6,18
139,19,7,44
140,20,1,27
141,20,2,29
142,20,3,22
143,20,4,32
144,20,5,25
145,20,6,42
146,20,7,35
147,21,1,35
148,21,2,33
149,21,3,23
150,21,4,34
151,21,5,32
152,21,6,36
153,21,7,50
154,22,1,23
155,22,2,24
156,22,3,18
157,22,4,18
158,22,5,24
159,22,6,36
160,22,7,40
161,23,1,24
162,23,2,16
163,23,3,21
164,23,4,13
165,23,5,31
166,23,6,39
167,23,7,45
168,99,1,6
169,99,2,1
170,99,3,6
171,99,4,4
172,99,6,6
173,99,7,5
