,acchr,dayofweek,size
0,0,1,76
1,0,2,24
2,0,3,27
3,0,4,23
4,0,5,36
5,0,6,33
6,0,7,68
7,1,1,78
8,1,2,29
9,1,3,21
10,1,4,24
11,1,5,26
12,1,6,41
13,1,7,96
14,2,1,117
15,2,2,20
16,2,3,18
17,2,4,24
18,2,5,39
19,2,6,52
20,2,7,130
21,3,1,60
22,3,2,13
23,3,3,7
24,3,4,14
25,3,5,18
26,3,6,25
27,3,7,65
28,4,1,52
29,4,2,10
30,4,3,8
31,4,4,7
32,4,5,9
33,4,6,16
34,4,7,39
35,5,1,28
36,5,2,5
37,5,3,4
38,5,4,7
39,5,5,8
40,5,6,7
41,5,7,33
42,6,1,16
43,6,2,4
44,6,3,9
45,6,4,3
46,6,5,5
47,6,6,10
48,6,7,34
49,7,1,14
50,7,2,1
51,7,3,4
52,7,4,6
53,7,5,8
54,7,6,10
55,7,7,10
56,8,1,8
57,8,2,3
58,8,3,3
59,8,4,2
60,8,5,5
61,8,6,5
62,8,7,9
63,9,1,7
64,9,2,4
65,9,3,5
66,9,4,6
67,9,5,1
68,9,6,5
69,9,7,5
70,10,1,3
71,10,2,2
72,10,3,2
73,10,4,5
74,10,6,5
75,10,7,9
76,11,1,3
77,11,2,3
78,11,3,6
79,11,4,5
80,11,5,2
81,11,6,4
82,11,7,4
83,12,1,12
84,12,2,7
85,12,3,2
86,12,4,4
87,12,5,7
88,12,6,7
89,12,7,9
90,13,1,15
91,13,2,4
92,13,3,6
93,13,4,7
94,13,5,11
95,13,6,13
96,13,7,13
97,14,1,11
98,14,2,13
99,14,3,11
100,14,4,14
101,14,5,8
102,14,6,12
103,14,7,20
104,15,1,24
105,15,2,14
106,15,3,10
107,15,4,11
108,15,5,7
109,15,6,11
110,15,7,22
111,16,1,29
112,16,2,15
113,16,3,11
114,16,4,16
115,16,5,8
116,16,6,18
117,16,7,34
118,17,1,21
119,17,2,19
120,17,3,16
121,17,4,14
122,17,5,21
123,17,6,25
124,17,7,43
125,18,1,33
126,18,2,19
127,18,3,19
128,18,4,15
129,18,5,24
130,18,6,32
131,18,7,49
132,19,1,50
133,19,2,18
134,19,3,29
135,19,4,30
136,19,5,25
137,19,6,31
138,19,7,64
139,20,1,34
140,20,2,22
141,20,3,24
142,20,4,31
143,20,5,34
144,20,6,44
145,20,7,44
146,21,1,47
147,21,2,32
148,21,3,21
149,21,4,40
150,21,5,28
151,21,6,55
152,21,7,65
153,22,1,39
154,22,2,26
155,22,3,28
156,22,4,32
157,22,5,27
158,22,6,46
159,22,7,53
160,23,1,22
161,23,2,25
162,23,3,31
163,23,4,13
164,23,5,40
165,23,6,63
166,23,7,63
167,99,1,10
168,99,2,5
169,99,3,2
170,99,4,4
171,99,5,4
172,99,6,9
173,99,7,7
