,acchr,dayofweek,size
0,0,1,67
1,0,2,24
2,0,3,30
3,0,4,29
4,0,5,37
5,0,6,32
6,0,7,71
7,1,1,74
8,1,2,33
9,1,3,17
10,1,4,31
11,1,5,25
12,1,6,38
13,1,7,84
14,2,1,87
15,2,2,26
16,2,3,15
17,2,4,23
18,2,5,30
19,2,6,57
20,2,7,91
21,3,1,55
22,3,2,13
23,3,3,13
24,3,4,17
25,3,5,19
26,3,6,34
27,3,7,50
28,4,1,43
29,4,2,15
30,4,3,18
31,4,4,12
32,4,5,17
33,4,6,33
34,4,7,41
35,5,1,27
36,5,2,19
37,5,3,16
38,5,4,17
39,5,5,20
40,5,6,21
41,5,7,37
42,6,1,20
43,6,2,31
44,6,3,32
45,6,4,22
46,6,5,29
47,6,6,35
48,6,7,35
49,7,1,26
50,7,2,27
51,7,3,26
52,7,4,27
53,7,5,37
54,7,6,31
55,7,7,25
56,8,1,18
57,8,2,35
58,8,3,30
59,8,4,24
60,8,5,25
61,8,6,31
62,8,7,16
63,9,1,22
64,9,2,23
65,9,3,32
66,9,4,15
67,9,5,24
68,9,6,29
69,9,7,30
70,10,1,23
71,10,2,21
72,10,3,28
73,10,4,16
74,10,5,26
75,10,6,33
76,10,7,30
77,11,1,25
78,11,2,32
79,11,3,32
80,11,4,37
81,11,5,23
82,11,6,26
83,11,7,29
84,12,1,49
85,12,2,39
86,12,3,25
87,12,4,36
88,12,5,37
89,12,6,33
90,12,7,51
91,13,1,50
92,13,2,21
93,13,3,23
94,13,4,36
95,13,5,36
96,13,6,41
97,13,7,55
98,14,1,30
99,14,2,50
100,14,3,55
101,14,4,40
102,14,5,39
103,14,6,55
104,14,7,48
105,15,1,47
106,15,2,37
107,15,3,43
108,15,4,49
109,15,5,28
110,15,6,50
111,15,7,48
112,16,1,53
113,16,2,47
114,16,3,48
115,16,4,57
116,16,5,48
117,16,6,41
118,16,7,53
119,17,1,38
120,17,2,34
121,17,3,36
122,17,4,54
123,17,5,46
124,17,6,54
125,17,7,62
126,18,1,50
127,18,2,43
128,18,3,40
129,18,4,38
130,18,5,64
131,18,6,49
132,18,7,69
133,19,1,56
134,19,2,34
135,19,3,38
136,19,4,30
137,19,5,37
138,19,6,39
139,19,7,75
140,20,1,38
141,20,2,36
142,20,3,37
143,20,4,34
144,20,5,44
145,20,6,48
146,20,7,59
147,21,1,40
148,21,2,43
149,21,3,35
150,21,4,36
151,21,5,48
152,21,6,46
153,21,7,60
154,22,1,43
155,22,2,32
156,22,3,32
157,22,4,42
158,22,5,38
159,22,6,48
160,22,7,58
161,23,1,31
162,23,2,28
163,23,3,36
164,23,4,26
165,23,5,40
166,23,6,59
167,23,7,54
168,99,1,8
169,99,2,5
170,99,3,5
171,99,4,8
172,99,5,4
173,99,6,11
174,99,7,8
