,acchr,dayofweek,size
0,0,1,107
1,0,2,43
2,0,3,45
3,0,4,43
4,0,5,58
5,0,6,53
6,0,7,119
7,1,1,119
8,1,2,54
9,1,3,38
10,1,4,44
11,1,5,42
12,1,6,59
13,1,7,136
14,2,1,156
15,2,2,36
16,2,3,30
17,2,4,35
18,2,5,53
19,2,6,87
20,2,7,167
21,3,1,96
22,3,2,25
23,3,3,23
24,3,4,25
25,3,5,30
26,3,6,53
27,3,7,93
28,4,1,74
29,4,2,29
30,4,3,31
31,4,4,17
32,4,5,29
33,4,6,46
34,4,7,65
35,5,1,46
36,5,2,39
37,5,3,25
38,5,4,40
39,5,5,34
40,5,6,35
41,5,7,56
42,6,1,31
43,6,2,58
44,6,3,68
45,6,4,50
46,6,5,50
47,6,6,56
48,6,7,62
49,7,1,41
50,7,2,48
51,7,3,52
52,7,4,55
53,7,5,59
54,7,6,53
55,7,7,41
56,8,1,33
57,8,2,55
58,8,3,48
59,8,4,39
60,8,5,49
61,8,6,50
62,8,7,35
63,9,1,39
64,9,2,47
65,9,3,50
66,9,4,31
67,9,5,45
68,9,6,47
69,9,7,54
70,10,1,41
71,10,2,37
72,10,3,43
73,10,4,41
74,10,5,52
75,10,6,64
76,10,7,58
77,11,1,46
78,11,2,61
79,11,3,57
80,11,4,66
81,11,5,45
82,11,6,55
83,11,7,58
84,12,1,96
85,12,2,68
86,12,3,50
87,12,4,51
88,12,5,68
89,12,6,64
90,12,7,95
91,13,1,92
92,13,2,47
93,13,3,53
94,13,4,72
95,13,5,72
96,13,6,74
97,13,7,91
98,14,1,66
99,14,2,86
100,14,3,88
101,14,4,71
102,14,5,80
103,14,6,81
104,14,7,101
105,15,1,85
106,15,2,70
107,15,3,74
108,15,4,83
109,15,5,63
110,15,6,93
111,15,7,88
112,16,1,92
113,16,2,80
114,16,3,79
115,16,4,96
116,16,5,79
117,16,6,80
118,16,7,99
119,17,1,75
120,17,2,77
121,17,3,80
122,17,4,99
123,17,5,85
124,17,6,93
125,17,7,110
126,18,1,90
127,18,2,73
128,18,3,80
129,18,4,70
130,18,5,85
131,18,6,86
132,18,7,131
133,19,1,92
134,19,2,60
135,19,3,67
136,19,4,58
137,19,5,63
138,19,6,72
139,19,7,114
140,20,1,71
141,20,2,62
142,20,3,68
143,20,4,72
144,20,5,73
145,20,6,88
146,20,7,94
147,21,1,84
148,21,2,75
149,21,3,57
150,21,4,65
151,21,5,79
152,21,6,98
153,21,7,113
154,22,1,73
155,22,2,53
156,22,3,49
157,22,4,66
158,22,5,62
159,22,6,90
160,22,7,95
161,23,1,51
162,23,2,49
163,23,3,58
164,23,4,35
165,23,5,61
166,23,6,102
167,23,7,100
168,99,1,13
169,99,2,11
170,99,3,9
171,99,4,11
172,99,5,6
173,99,6,15
174,99,7,13
