,acchr,dayofweek,size
0,0,1,15
1,0,2,1
2,0,3,9
3,0,4,3
4,0,5,3
5,0,6,15
6,0,7,9
7,1,1,8
8,1,2,4
9,1,4,3
10,1,5,2
11,1,6,4
12,1,7,12
13,2,1,8
14,2,2,3
15,2,3,4
16,2,4,1
17,2,5,3
18,2,6,4
19,2,7,8
20,3,1,9
21,3,2,2
22,3,3,1
23,3,4,7
24,3,5,4
25,3,6,3
26,3,7,7
27,4,1,6
28,4,2,2
29,4,3,2
30,4,4,6
31,4,5,4
32,4,6,3
33,4,7,4
34,5,1,9
35,5,2,8
36,5,3,10
37,5,4,8
38,5,5,9
39,5,6,15
40,5,7,4
41,6,1,10
42,6,2,22
43,6,3,22
44,6,4,22
45,6,5,26
46,6,6,23
47,6,7,11
48,7,1,10
49,7,2,20
50,7,3,25
51,7,4,19
52,7,5,22
53,7,6,21
54,7,7,12
55,8,1,18
56,8,2,27
57,8,3,19
58,8,4,23
59,8,5,29
60,8,6,32
61,8,7,26
62,9,1,21
63,9,2,31
64,9,3,27
65,9,4,20
66,9,5,27
67,9,6,32
68,9,7,19
69,10,1,26
70,10,2,29
71,10,3,35
72,10,4,37
73,10,5,32
74,10,6,28
75,10,7,40
76,11,1,20
77,11,2,33
78,11,3,43
79,11,4,27
80,11,5,28
81,11,6,35
82,11,7,44
83,12,1,44
84,12,2,35
85,12,3,37
86,12,4,36
87,12,5,32
88,12,6,47
89,12,7,40
90,13,1,34
91,13,2,33
92,13,3,39
93,13,4,34
94,13,5,42
95,13,6,49
96,13,7,33
97,14,1,36
98,14,2,42
99,14,3,22
100,14,4,32
101,14,5,34
102,14,6,37
103,14,7,42
104,15,1,20
105,15,2,41
106,15,3,49
107,15,4,34
108,15,5,33
109,15,6,35
110,15,7,34
111,16,1,36
112,16,2,34
113,16,3,31
114,16,4,34
115,16,5,34
116,16,6,44
117,16,7,36
118,17,1,31
119,17,2,39
120,17,3,41
121,17,4,36
122,17,5,50
123,17,6,41
124,17,7,38
125,18,1,24
126,18,2,29
127,18,3,26
128,18,4,26
129,18,5,34
130,18,6,43
131,18,7,38
132,19,1,16
133,19,2,22
134,19,3,27
135,19,4,16
136,19,5,31
137,19,6,26
138,19,7,33
139,20,1,26
140,20,2,19
141,20,3,18
142,20,4,22
143,20,5,26
144,20,6,29
145,20,7,41
146,21,1,15
147,21,2,27
148,21,3,12
149,21,4,15
150,21,5,17
151,21,6,22
152,21,7,25
153,22,1,9
154,22,2,14
155,22,3,7
156,22,4,12
157,22,5,10
158,22,6,14
159,22,7,20
160,23,1,8
161,23,2,9
162,23,3,7
163,23,4,6
164,23,5,7
165,23,6,15
166,23,7,20
167,99,1,5
168,99,2,2
169,99,3,2
170,99,5,1
171,99,6,1
172,99,7,3
