,acchr,dayofweek,size
0,0,1,64
1,0,2,30
2,0,3,31
3,0,4,30
4,0,5,31
5,0,6,57
6,0,7,61
7,1,1,68
8,1,2,19
9,1,3,16
10,1,4,15
11,1,5,23
12,1,6,32
13,1,7,68
14,2,1,44
15,2,2,16
16,2,3,17
17,2,4,15
18,2,5,20
19,2,6,29
20,2,7,48
21,3,1,36
22,3,2,14
23,3,3,15
24,3,4,20
25,3,5,21
26,3,6,21
27,3,7,33
28,4,1,33
29,4,2,19
30,4,3,19
31,4,4,20
32,4,5,28
33,4,6,30
34,4,7,22
35,5,1,29
36,5,2,34
37,5,3,50
38,5,4,42
39,5,5,47
40,5,6,45
41,5,7,35
42,6,1,32
43,6,2,76
44,6,3,90
45,6,4,79
46,6,5,76
47,6,6,83
48,6,7,43
49,7,1,37
50,7,2,79
51,7,3,73
52,7,4,85
53,7,5,68
54,7,6,67
55,7,7,45
56,8,1,47
57,8,2,74
58,8,3,65
59,8,4,61
60,8,5,87
61,8,6,79
62,8,7,58
63,9,1,54
64,9,2,83
65,9,3,78
66,9,4,61
67,9,5,73
68,9,6,84
69,9,7,72
70,10,1,63
71,10,2,74
72,10,3,84
73,10,4,99
74,10,5,87
75,10,6,82
76,10,7,85
77,11,1,60
78,11,2,97
79,11,3,105
80,11,4,92
81,11,5,81
82,11,6,98
83,11,7,102
84,12,1,122
85,12,2,103
86,12,3,93
87,12,4,89
88,12,5,102
89,12,6,103
90,12,7,121
91,13,1,104
92,13,2,95
93,13,3,106
94,13,4,98
95,13,5,116
96,13,6,132
97,13,7,112
98,14,1,96
99,14,2,108
100,14,3,102
101,14,4,113
102,14,5,119
103,14,6,117
104,14,7,115
105,15,1,97
106,15,2,111
107,15,3,128
108,15,4,109
109,15,5,96
110,15,6,127
111,15,7,104
112,16,1,94
113,16,2,122
114,16,3,102
115,16,4,129
116,16,5,110
117,16,6,121
118,16,7,113
119,17,1,94
120,17,2,112
121,17,3,119
122,17,4,132
123,17,5,135
124,17,6,120
125,17,7,138
126,18,1,97
127,18,2,93
128,18,3,115
129,18,4,97
130,18,5,106
131,18,6,123
132,18,7,153
133,19,1,94
134,19,2,101
135,19,3,85
136,19,4,73
137,19,5,114
138,19,6,103
139,19,7,137
140,20,1,94
141,20,2,89
142,20,3,79
143,20,4,90
144,20,5,93
145,20,6,111
146,20,7,147
147,21,1,81
148,21,2,83
149,21,3,61
150,21,4,85
151,21,5,95
152,21,6,105
153,21,7,125
154,22,1,51
155,22,2,57
156,22,3,56
157,22,4,61
158,22,5,72
159,22,6,88
160,22,7,110
161,23,1,32
162,23,2,40
163,23,3,51
164,23,4,40
165,23,5,44
166,23,6,91
167,23,7,72
168,99,1,10
169,99,2,11
170,99,3,5
171,99,4,10
172,99,5,11
173,99,6,14
174,99,7,11
