,acchr,dayofweek,size
0,0,1,35
1,0,2,26
2,0,3,19
3,0,4,23
4,0,5,20
5,0,6,26
6,0,7,40
7,1,1,37
8,1,2,24
9,1,3,12
10,1,4,14
11,1,5,16
12,1,6,19
13,1,7,40
14,2,1,32
15,2,2,17
16,2,3,14
17,2,4,12
18,2,5,14
19,2,6,22
20,2,7,29
21,3,1,27
22,3,2,8
23,3,3,9
24,3,4,11
25,3,5,10
26,3,6,30
27,3,7,29
28,4,1,22
29,4,2,19
30,4,3,20
31,4,4,14
32,4,5,18
33,4,6,28
34,4,7,25
35,5,1,18
36,5,2,42
37,5,3,33
38,5,4,37
39,5,5,37
40,5,6,36
41,5,7,26
42,6,1,23
43,6,2,65
44,6,3,52
45,6,4,54
46,6,5,65
47,6,6,55
48,6,7,27
49,7,1,27
50,7,2,55
51,7,3,53
52,7,4,61
53,7,5,65
54,7,6,59
55,7,7,40
56,8,1,35
57,8,2,58
58,8,3,45
59,8,4,46
60,8,5,55
61,8,6,64
62,8,7,42
63,9,1,50
64,9,2,48
65,9,3,52
66,9,4,47
67,9,5,44
68,9,6,58
69,9,7,52
70,10,1,53
71,10,2,42
72,10,3,45
73,10,4,46
74,10,5,51
75,10,6,71
76,10,7,60
77,11,1,45
78,11,2,77
79,11,3,70
80,11,4,81
81,11,5,55
82,11,6,64
83,11,7,67
84,12,1,82
85,12,2,76
86,12,3,59
87,12,4,59
88,12,5,73
89,12,6,57
90,12,7,92
91,13,1,78
92,13,2,56
93,13,3,67
94,13,4,66
95,13,5,75
96,13,6,74
97,13,7,78
98,14,1,60
99,14,2,94
100,14,3,78
101,14,4,65
102,14,5,74
103,14,6,81
104,14,7,84
105,15,1,65
106,15,2,76
107,15,3,77
108,15,4,75
109,15,5,67
110,15,6,80
111,15,7,72
112,16,1,73
113,16,2,85
114,16,3,67
115,16,4,101
116,16,5,84
117,16,6,69
118,16,7,76
119,17,1,56
120,17,2,78
121,17,3,73
122,17,4,78
123,17,5,79
124,17,6,78
125,17,7,71
126,18,1,68
127,18,2,72
128,18,3,79
129,18,4,85
130,18,5,85
131,18,6,75
132,18,7,86
133,19,1,52
134,19,2,70
135,19,3,58
136,19,4,38
137,19,5,52
138,19,6,66
139,19,7,66
140,20,1,56
141,20,2,69
142,20,3,59
143,20,4,51
144,20,5,57
145,20,6,58
146,20,7,61
147,21,1,48
148,21,2,64
149,21,3,33
150,21,4,43
151,21,5,57
152,21,6,68
153,21,7,56
154,22,1,34
155,22,2,28
156,22,3,30
157,22,4,32
158,22,5,36
159,22,6,63
160,22,7,63
161,23,1,20
162,23,2,32
163,23,3,34
164,23,4,24
165,23,5,25
166,23,6,41
167,23,7,48
168,99,1,2
169,99,2,3
170,99,3,6
171,99,4,6
172,99,5,1
173,99,6,5
174,99,7,5
