,acchr,dayofweek,size
0,0,1,33
1,0,2,22
2,0,3,15
3,0,4,20
4,0,5,16
5,0,6,24
6,0,7,35
7,1,1,37
8,1,2,20
9,1,3,9
10,1,4,13
11,1,5,13
12,1,6,14
13,1,7,29
14,2,1,23
15,2,2,19
16,2,3,10
17,2,4,11
18,2,5,12
19,2,6,21
20,2,7,24
21,3,1,19
22,3,2,7
23,3,3,8
24,3,4,12
25,3,5,9
26,3,6,22
27,3,7,26
28,4,1,17
29,4,2,16
30,4,3,18
31,4,4,16
32,4,5,13
33,4,6,26
34,4,7,23
35,5,1,16
36,5,2,31
37,5,3,33
38,5,4,28
39,5,5,26
40,5,6,40
41,5,7,26
42,6,1,25
43,6,2,53
44,6,3,52
45,6,4,46
46,6,5,52
47,6,6,54
48,6,7,24
49,7,1,27
50,7,2,41
51,7,3,43
52,7,4,51
53,7,5,51
54,7,6,50
55,7,7,34
56,8,1,26
57,8,2,57
58,8,3,36
59,8,4,43
60,8,5,45
61,8,6,45
62,8,7,32
63,9,1,37
64,9,2,39
65,9,3,42
66,9,4,39
67,9,5,38
68,9,6,52
69,9,7,43
70,10,1,32
71,10,2,37
72,10,3,44
73,10,4,37
74,10,5,40
75,10,6,49
76,10,7,39
77,11,1,35
78,11,2,59
79,11,3,58
80,11,4,61
81,11,5,40
82,11,6,49
83,11,7,45
84,12,1,53
85,12,2,55
86,12,3,40
87,12,4,53
88,12,5,59
89,12,6,38
90,12,7,55
91,13,1,53
92,13,2,52
93,13,3,41
94,13,4,53
95,13,5,49
96,13,6,57
97,13,7,65
98,14,1,44
99,14,2,67
100,14,3,66
101,14,4,61
102,14,5,50
103,14,6,72
104,14,7,52
105,15,1,52
106,15,2,52
107,15,3,61
108,15,4,67
109,15,5,44
110,15,6,64
111,15,7,56
112,16,1,56
113,16,2,65
114,16,3,66
115,16,4,69
116,16,5,62
117,16,6,55
118,16,7,52
119,17,1,49
120,17,2,57
121,17,3,48
122,17,4,52
123,17,5,70
124,17,6,63
125,17,7,57
126,18,1,39
127,18,2,55
128,18,3,56
129,18,4,72
130,18,5,67
131,18,6,56
132,18,7,59
133,19,1,48
134,19,2,48
135,19,3,40
136,19,4,33
137,19,5,39
138,19,6,50
139,19,7,49
140,20,1,40
141,20,2,47
142,20,3,39
143,20,4,38
144,20,5,41
145,20,6,45
146,20,7,54
147,21,1,30
148,21,2,41
149,21,3,33
150,21,4,35
151,21,5,44
152,21,6,54
153,21,7,51
154,22,1,28
155,22,2,24
156,22,3,25
157,22,4,25
158,22,5,34
159,22,6,46
160,22,7,43
161,23,1,13
162,23,2,22
163,23,3,27
164,23,4,21
165,23,5,23
166,23,6,33
167,23,7,30
168,99,1,4
169,99,2,1
170,99,3,3
171,99,4,5
172,99,6,8
173,99,7,3
