,acchr,dayofweek,size
0,0,1,23
1,0,2,12
2,0,3,16
3,0,4,11
4,0,5,15
5,0,6,20
6,0,7,25
7,1,1,27
8,1,2,8
9,1,3,10
10,1,4,6
11,1,5,9
12,1,6,14
13,1,7,29
14,2,1,22
15,2,2,6
16,2,3,5
17,2,4,8
18,2,5,9
19,2,6,10
20,2,7,19
21,3,1,9
22,3,2,3
23,3,3,4
24,3,4,10
25,3,5,12
26,3,6,5
27,3,7,11
28,4,1,9
29,4,2,10
30,4,3,8
31,4,4,7
32,4,5,9
33,4,6,17
34,4,7,8
35,5,1,10
36,5,2,16
37,5,3,18
38,5,4,13
39,5,5,14
40,5,6,22
41,5,7,13
42,6,1,11
43,6,2,27
44,6,3,29
45,6,4,20
46,6,5,30
47,6,6,27
48,6,7,17
49,7,1,16
50,7,2,33
51,7,3,29
52,7,4,27
53,7,5,24
54,7,6,23
55,7,7,15
56,8,1,18
57,8,2,34
58,8,3,30
59,8,4,24
60,8,5,33
61,8,6,36
62,8,7,21
63,9,1,18
64,9,2,32
65,9,3,39
66,9,4,20
67,9,5,24
68,9,6,27
69,9,7,28
70,10,1,23
71,10,2,29
72,10,3,35
73,10,4,23
74,10,5,34
75,10,6,37
76,10,7,26
77,11,1,28
78,11,2,33
79,11,3,42
80,11,4,42
81,11,5,36
82,11,6,37
83,11,7,26
84,12,1,52
85,12,2,41
86,12,3,27
87,12,4,39
88,12,5,41
89,12,6,41
90,12,7,41
91,13,1,42
92,13,2,35
93,13,3,41
94,13,4,37
95,13,5,42
96,13,6,58
97,13,7,53
98,14,1,27
99,14,2,47
100,14,3,45
101,14,4,52
102,14,5,41
103,14,6,55
104,14,7,33
105,15,1,42
106,15,2,44
107,15,3,45
108,15,4,48
109,15,5,29
110,15,6,50
111,15,7,49
112,16,1,40
113,16,2,59
114,16,3,42
115,16,4,49
116,16,5,43
117,16,6,44
118,16,7,39
119,17,1,35
120,17,2,39
121,17,3,35
122,17,4,47
123,17,5,43
124,17,6,59
125,17,7,57
126,18,1,31
127,18,2,31
128,18,3,41
129,18,4,30
130,18,5,43
131,18,6,34
132,18,7,59
133,19,1,37
134,19,2,22
135,19,3,18
136,19,4,18
137,19,5,34
138,19,6,31
139,19,7,51
140,20,1,23
141,20,2,29
142,20,3,19
143,20,4,28
144,20,5,28
145,20,6,28
146,20,7,41
147,21,1,20
148,21,2,26
149,21,3,22
150,21,4,21
151,21,5,21
152,21,6,28
153,21,7,34
154,22,1,18
155,22,2,19
156,22,3,20
157,22,4,25
158,22,5,17
159,22,6,30
160,22,7,32
161,23,1,12
162,23,2,15
163,23,3,14
164,23,4,15
165,23,5,18
166,23,6,34
167,23,7,22
168,99,1,4
169,99,2,6
170,99,3,1
171,99,4,6
172,99,5,5
173,99,6,10
174,99,7,6
