,acchr,dayofweek,size
0,0,1,61
1,0,2,18
2,0,3,31
3,0,4,19
4,0,5,33
5,0,6,37
6,0,7,62
7,1,1,75
8,1,2,34
9,1,3,15
10,1,4,28
11,1,5,26
12,1,6,40
13,1,7,87
14,2,1,88
15,2,2,29
16,2,3,13
17,2,4,20
18,2,5,33
19,2,6,40
20,2,7,110
21,3,1,53
22,3,2,11
23,3,3,9
24,3,4,11
25,3,5,20
26,3,6,23
27,3,7,58
28,4,1,46
29,4,2,11
30,4,3,6
31,4,4,7
32,4,5,8
33,4,6,15
34,4,7,39
35,5,1,27
36,5,2,7
37,5,3,7
38,5,4,6
39,5,5,8
40,5,6,12
41,5,7,29
42,6,1,22
43,6,2,5
44,6,3,3
45,6,4,5
46,6,5,3
47,6,6,7
48,6,7,30
49,7,1,14
50,7,2,2
51,7,3,5
52,7,4,5
53,7,5,7
54,7,6,10
55,7,7,10
56,8,1,5
57,8,2,3
58,8,3,5
59,8,4,3
60,8,5,4
61,8,6,4
62,8,7,9
63,9,1,2
64,9,2,4
65,9,3,5
66,9,4,5
67,9,6,1
68,9,7,2
69,10,1,3
70,10,2,2
71,10,3,1
72,10,4,2
73,10,5,3
74,10,6,4
75,10,7,7
76,11,1,4
77,11,2,1
78,11,3,8
79,11,4,6
80,11,5,2
81,11,6,4
82,11,7,4
83,12,1,8
84,12,2,7
85,12,3,4
86,12,4,5
87,12,5,9
88,12,6,9
89,12,7,8
90,13,1,10
91,13,2,4
92,13,3,9
93,13,4,6
94,13,5,9
95,13,6,10
96,13,7,11
97,14,1,8
98,14,2,12
99,14,3,10
100,14,4,9
101,14,5,5
102,14,6,13
103,14,7,14
104,15,1,20
105,15,2,12
106,15,3,11
107,15,4,11
108,15,5,8
109,15,6,18
110,15,7,21
111,16,1,25
112,16,2,11
113,16,3,11
114,16,4,16
115,16,5,10
116,16,6,13
117,16,7,27
118,17,1,19
119,17,2,15
120,17,3,13
121,17,4,12
122,17,5,15
123,17,6,27
124,17,7,30
125,18,1,23
126,18,2,21
127,18,3,12
128,18,4,10
129,18,5,21
130,18,6,27
131,18,7,35
132,19,1,41
133,19,2,18
134,19,3,24
135,19,4,21
136,19,5,22
137,19,6,23
138,19,7,54
139,20,1,26
140,20,2,24
141,20,3,16
142,20,4,30
143,20,5,28
144,20,6,36
145,20,7,46
146,21,1,28
147,21,2,23
148,21,3,22
149,21,4,30
150,21,5,28
151,21,6,31
152,21,7,46
153,22,1,27
154,22,2,20
155,22,3,22
156,22,4,33
157,22,5,20
158,22,6,39
159,22,7,43
160,23,1,22
161,23,2,22
162,23,3,27
163,23,4,15
164,23,5,43
165,23,6,54
166,23,7,57
167,99,1,12
168,99,2,8
169,99,3,4
170,99,4,4
171,99,5,6
172,99,6,10
173,99,7,8
