,acchr,dayofweek,size
0,0,1,53
1,0,2,15
2,0,3,25
3,0,4,15
4,0,5,28
5,0,6,28
6,0,7,53
7,1,1,69
8,1,2,29
9,1,3,11
10,1,4,22
11,1,5,19
12,1,6,35
13,1,7,79
14,2,1,80
15,2,2,24
16,2,3,11
17,2,4,19
18,2,5,23
19,2,6,36
20,2,7,96
21,3,1,48
22,3,2,8
23,3,3,7
24,3,4,10
25,3,5,14
26,3,6,20
27,3,7,48
28,4,1,42
29,4,2,9
30,4,3,5
31,4,4,6
32,4,5,7
33,4,6,13
34,4,7,34
35,5,1,24
36,5,2,5
37,5,3,4
38,5,4,4
39,5,5,6
40,5,6,8
41,5,7,27
42,6,1,16
43,6,2,3
44,6,3,3
45,6,4,4
46,6,5,2
47,6,6,7
48,6,7,25
49,7,1,11
50,7,2,2
51,7,3,4
52,7,4,3
53,7,5,7
54,7,6,7
55,7,7,6
56,8,1,4
57,8,2,2
58,8,3,4
59,8,4,2
60,8,5,4
61,8,6,4
62,8,7,8
63,9,1,2
64,9,2,2
65,9,3,4
66,9,4,5
67,9,6,1
68,9,7,1
69,10,1,2
70,10,2,2
71,10,3,1
72,10,4,2
73,10,5,1
74,10,6,3
75,10,7,5
76,11,1,3
77,11,2,1
78,11,3,4
79,11,4,6
80,11,5,2
81,11,6,4
82,11,7,4
83,12,1,8
84,12,2,6
85,12,3,3
86,12,4,5
87,12,5,7
88,12,6,8
89,12,7,8
90,13,1,9
91,13,2,3
92,13,3,7
93,13,4,5
94,13,5,6
95,13,6,9
96,13,7,8
97,14,1,6
98,14,2,10
99,14,3,9
100,14,4,7
101,14,5,3
102,14,6,10
103,14,7,12
104,15,1,19
105,15,2,10
106,15,3,7
107,15,4,8
108,15,5,7
109,15,6,14
110,15,7,19
111,16,1,23
112,16,2,11
113,16,3,8
114,16,4,13
115,16,5,7
116,16,6,11
117,16,7,24
118,17,1,14
119,17,2,12
120,17,3,10
121,17,4,11
122,17,5,11
123,17,6,23
124,17,7,27
125,18,1,20
126,18,2,15
127,18,3,12
128,18,4,10
129,18,5,19
130,18,6,24
131,18,7,34
132,19,1,35
133,19,2,14
134,19,3,20
135,19,4,17
136,19,5,19
137,19,6,21
138,19,7,49
139,20,1,23
140,20,2,20
141,20,3,14
142,20,4,22
143,20,5,27
144,20,6,29
145,20,7,37
146,21,1,28
147,21,2,19
148,21,3,18
149,21,4,27
150,21,5,26
151,21,6,28
152,21,7,41
153,22,1,22
154,22,2,18
155,22,3,19
156,22,4,30
157,22,5,17
158,22,6,31
159,22,7,39
160,23,1,20
161,23,2,15
162,23,3,22
163,23,4,13
164,23,5,34
165,23,6,45
166,23,7,44
167,99,1,11
168,99,2,7
169,99,3,3
170,99,4,3
171,99,5,6
172,99,6,9
173,99,7,7
