,acchr,dayofweek,size
0,0,1,98
1,0,2,38
2,0,3,50
3,0,4,43
4,0,5,56
5,0,6,64
6,0,7,105
7,1,1,115
8,1,2,59
9,1,3,27
10,1,4,48
11,1,5,41
12,1,6,60
13,1,7,123
14,2,1,127
15,2,2,51
16,2,3,25
17,2,4,34
18,2,5,51
19,2,6,74
20,2,7,146
21,3,1,84
22,3,2,22
23,3,3,21
24,3,4,24
25,3,5,36
26,3,6,46
27,3,7,82
28,4,1,67
29,4,2,30
30,4,3,27
31,4,4,21
32,4,5,24
33,4,6,45
34,4,7,67
35,5,1,51
36,5,2,34
37,5,3,34
38,5,4,32
39,5,5,28
40,5,6,44
41,5,7,55
42,6,1,46
43,6,2,59
44,6,3,61
45,6,4,43
46,6,5,54
47,6,6,55
48,6,7,60
49,7,1,40
50,7,2,56
51,7,3,57
52,7,4,60
53,7,5,65
54,7,6,60
55,7,7,46
56,8,1,34
57,8,2,65
58,8,3,56
59,8,4,47
60,8,5,59
61,8,6,59
62,8,7,40
63,9,1,41
64,9,2,48
65,9,3,56
66,9,4,38
67,9,5,41
68,9,6,51
69,9,7,50
70,10,1,43
71,10,2,43
72,10,3,51
73,10,4,37
74,10,5,52
75,10,6,58
76,10,7,49
77,11,1,49
78,11,2,49
79,11,3,67
80,11,4,65
81,11,5,49
82,11,6,51
83,11,7,51
84,12,1,79
85,12,2,68
86,12,3,51
87,12,4,56
88,12,5,69
89,12,6,62
90,12,7,72
91,13,1,77
92,13,2,54
93,13,3,57
94,13,4,64
95,13,5,65
96,13,6,76
97,13,7,89
98,14,1,50
99,14,2,87
100,14,3,89
101,14,4,87
102,14,5,67
103,14,6,93
104,14,7,73
105,15,1,81
106,15,2,67
107,15,3,76
108,15,4,86
109,15,5,51
110,15,6,90
111,15,7,85
112,16,1,82
113,16,2,89
114,16,3,86
115,16,4,88
116,16,5,83
117,16,6,79
118,16,7,85
119,17,1,71
120,17,2,77
121,17,3,70
122,17,4,74
123,17,5,81
124,17,6,103
125,17,7,97
126,18,1,70
127,18,2,70
128,18,3,66
129,18,4,64
130,18,5,87
131,18,6,73
132,18,7,105
133,19,1,81
134,19,2,56
135,19,3,55
136,19,4,53
137,19,5,62
138,19,6,65
139,19,7,105
140,20,1,60
141,20,2,63
142,20,3,52
143,20,4,57
144,20,5,71
145,20,6,74
146,20,7,90
147,21,1,53
148,21,2,62
149,21,3,58
150,21,4,58
151,21,5,67
152,21,6,69
153,21,7,86
154,22,1,62
155,22,2,49
156,22,3,49
157,22,4,64
158,22,5,53
159,22,6,82
160,22,7,78
161,23,1,43
162,23,2,44
163,23,3,49
164,23,4,34
165,23,5,65
166,23,6,88
167,23,7,88
168,99,1,19
169,99,2,11
170,99,3,10
171,99,4,11
172,99,5,8
173,99,6,19
174,99,7,17
