,acchr,dayofweek,size
0,0,1,8
1,0,2,5
2,0,3,9
3,0,4,3
4,0,5,10
5,0,6,8
6,0,7,11
7,1,1,9
8,1,2,9
9,1,3,6
10,1,4,11
11,1,5,7
12,1,6,9
13,1,7,13
14,2,1,13
15,2,2,3
16,2,3,4
17,2,4,4
18,2,5,4
19,2,6,7
20,2,7,15
21,3,1,11
22,3,2,3
23,3,3,6
24,3,4,6
25,3,5,4
26,3,6,9
27,3,7,9
28,4,1,12
29,4,2,11
30,4,3,6
31,4,4,3
32,4,5,9
33,4,6,7
34,4,7,11
35,5,1,6
36,5,2,21
37,5,3,22
38,5,4,17
39,5,5,20
40,5,6,15
41,5,7,14
42,6,1,7
43,6,2,36
44,6,3,34
45,6,4,35
46,6,5,38
47,6,6,29
48,6,7,14
49,7,1,14
50,7,2,43
51,7,3,31
52,7,4,38
53,7,5,38
54,7,6,32
55,7,7,20
56,8,1,20
57,8,2,25
58,8,3,22
59,8,4,22
60,8,5,35
61,8,6,30
62,8,7,21
63,9,1,20
64,9,2,25
65,9,3,31
66,9,4,18
67,9,5,22
68,9,6,22
69,9,7,24
70,10,1,31
71,10,2,29
72,10,3,20
73,10,4,33
74,10,5,27
75,10,6,33
76,10,7,35
77,11,1,18
78,11,2,32
79,11,3,33
80,11,4,37
81,11,5,31
82,11,6,29
83,11,7,39
84,12,1,38
85,12,2,37
86,12,3,35
87,12,4,21
88,12,5,32
89,12,6,31
90,12,7,46
91,13,1,41
92,13,2,28
93,13,3,38
94,13,4,35
95,13,5,38
96,13,6,39
97,13,7,29
98,14,1,29
99,14,2,37
100,14,3,36
101,14,4,31
102,14,5,40
103,14,6,29
104,14,7,46
105,15,1,28
106,15,2,48
107,15,3,44
108,15,4,33
109,15,5,36
110,15,6,38
111,15,7,36
112,16,1,35
113,16,2,41
114,16,3,28
115,16,4,58
116,16,5,39
117,16,6,40
118,16,7,38
119,17,1,32
120,17,2,41
121,17,3,57
122,17,4,46
123,17,5,35
124,17,6,43
125,17,7,33
126,18,1,30
127,18,2,31
128,18,3,38
129,18,4,28
130,18,5,29
131,18,6,30
132,18,7,33
133,19,1,17
134,19,2,35
135,19,3,32
136,19,4,17
137,19,5,26
138,19,6,38
139,19,7,33
140,20,1,36
141,20,2,33
142,20,3,29
143,20,4,25
144,20,5,24
145,20,6,27
146,20,7,26
147,21,1,20
148,21,2,28
149,21,3,20
150,21,4,21
151,21,5,25
152,21,6,25
153,21,7,20
154,22,1,11
155,22,2,10
156,22,3,12
157,22,4,14
158,22,5,18
159,22,6,28
160,22,7,27
161,23,1,10
162,23,2,11
163,23,3,8
164,23,4,9
165,23,5,10
166,23,6,15
167,23,7,25
168,99,1,2
169,99,2,2
170,99,3,6
171,99,4,3
172,99,7,1
