,acchr,dayofweek,size
0,0,1,13
1,0,2,4
2,0,3,4
3,0,4,7
4,0,5,9
5,0,6,7
6,0,7,7
7,1,1,10
8,1,2,4
9,1,3,7
10,1,4,6
11,1,5,6
12,1,6,6
13,1,7,7
14,2,1,10
15,2,2,4
16,2,3,3
17,2,4,5
18,2,5,1
19,2,6,7
20,2,7,8
21,3,1,9
22,3,2,3
23,3,3,4
24,3,4,7
25,3,5,7
26,3,6,9
27,3,7,6
28,4,1,8
29,4,2,10
30,4,3,7
31,4,4,7
32,4,5,10
33,4,6,10
34,4,7,6
35,5,1,5
36,5,2,18
37,5,3,21
38,5,4,13
39,5,5,15
40,5,6,21
41,5,7,13
42,6,1,7
43,6,2,39
44,6,3,36
45,6,4,33
46,6,5,33
47,6,6,33
48,6,7,18
49,7,1,12
50,7,2,32
51,7,3,33
52,7,4,35
53,7,5,25
54,7,6,31
55,7,7,21
56,8,1,19
57,8,2,34
58,8,3,22
59,8,4,23
60,8,5,41
61,8,6,34
62,8,7,24
63,9,1,24
64,9,2,37
65,9,3,32
66,9,4,30
67,9,5,31
68,9,6,38
69,9,7,30
70,10,1,33
71,10,2,34
72,10,3,38
73,10,4,37
74,10,5,33
75,10,6,43
76,10,7,40
77,11,1,24
78,11,2,55
79,11,3,49
80,11,4,54
81,11,5,38
82,11,6,43
83,11,7,38
84,12,1,56
85,12,2,51
86,12,3,39
87,12,4,32
88,12,5,47
89,12,6,39
90,12,7,54
91,13,1,43
92,13,2,37
93,13,3,46
94,13,4,46
95,13,5,45
96,13,6,63
97,13,7,44
98,14,1,34
99,14,2,49
100,14,3,39
101,14,4,53
102,14,5,49
103,14,6,53
104,14,7,44
105,15,1,31
106,15,2,45
107,15,3,52
108,15,4,46
109,15,5,41
110,15,6,47
111,15,7,47
112,16,1,32
113,16,2,51
114,16,3,45
115,16,4,55
116,16,5,51
117,16,6,42
118,16,7,41
119,17,1,24
120,17,2,33
121,17,3,44
122,17,4,42
123,17,5,42
124,17,6,43
125,17,7,40
126,18,1,28
127,18,2,21
128,18,3,38
129,18,4,21
130,18,5,29
131,18,6,29
132,18,7,45
133,19,1,16
134,19,2,31
135,19,3,20
136,19,4,9
137,19,5,19
138,19,6,25
139,19,7,22
140,20,1,22
141,20,2,21
142,20,3,15
143,20,4,20
144,20,5,12
145,20,6,20
146,20,7,24
147,21,1,14
148,21,2,19
149,21,3,19
150,21,4,15
151,21,5,18
152,21,6,18
153,21,7,19
154,22,1,5
155,22,2,11
156,22,3,6
157,22,4,11
158,22,5,10
159,22,6,18
160,22,7,18
161,23,1,5
162,23,2,7
163,23,3,12
164,23,4,7
165,23,5,7
166,23,6,9
167,23,7,10
168,99,1,2
169,99,3,3
170,99,4,3
171,99,5,1
172,99,6,5
