,acchr,dayofweek,size
0,0,1,43
1,0,2,17
2,0,3,22
3,0,4,17
4,0,5,23
5,0,6,32
6,0,7,46
7,1,1,45
8,1,2,14
9,1,3,14
10,1,4,12
11,1,5,15
12,1,6,20
13,1,7,39
14,2,1,34
15,2,2,10
16,2,3,11
17,2,4,9
18,2,5,15
19,2,6,15
20,2,7,30
21,3,1,21
22,3,2,11
23,3,3,11
24,3,4,13
25,3,5,16
26,3,6,13
27,3,7,21
28,4,1,18
29,4,2,15
30,4,3,12
31,4,4,11
32,4,5,18
33,4,6,22
34,4,7,12
35,5,1,16
36,5,2,23
37,5,3,31
38,5,4,29
39,5,5,28
40,5,6,29
41,5,7,22
42,6,1,20
43,6,2,51
44,6,3,60
45,6,4,52
46,6,5,47
47,6,6,52
48,6,7,30
49,7,1,26
50,7,2,56
51,7,3,52
52,7,4,61
53,7,5,46
54,7,6,50
55,7,7,33
56,8,1,36
57,8,2,53
58,8,3,49
59,8,4,45
60,8,5,63
61,8,6,62
62,8,7,41
63,9,1,38
64,9,2,61
65,9,3,58
66,9,4,39
67,9,5,51
68,9,6,62
69,9,7,50
70,10,1,52
71,10,2,51
72,10,3,61
73,10,4,65
74,10,5,64
75,10,6,70
76,10,7,59
77,11,1,47
78,11,2,76
79,11,3,79
80,11,4,70
81,11,5,59
82,11,6,71
83,11,7,70
84,12,1,94
85,12,2,78
86,12,3,66
87,12,4,59
88,12,5,77
89,12,6,79
90,12,7,91
91,13,1,86
92,13,2,68
93,13,3,76
94,13,4,79
95,13,5,87
96,13,6,103
97,13,7,88
98,14,1,67
99,14,2,85
100,14,3,77
101,14,4,89
102,14,5,95
103,14,6,92
104,14,7,86
105,15,1,71
106,15,2,87
107,15,3,89
108,15,4,89
109,15,5,73
110,15,6,96
111,15,7,85
112,16,1,72
113,16,2,92
114,16,3,83
115,16,4,98
116,16,5,87
117,16,6,90
118,16,7,83
119,17,1,62
120,17,2,77
121,17,3,79
122,17,4,88
123,17,5,86
124,17,6,85
125,17,7,96
126,18,1,59
127,18,2,50
128,18,3,76
129,18,4,45
130,18,5,66
131,18,6,71
132,18,7,108
133,19,1,60
134,19,2,51
135,19,3,50
136,19,4,42
137,19,5,61
138,19,6,56
139,19,7,75
140,20,1,54
141,20,2,48
142,20,3,40
143,20,4,56
144,20,5,45
145,20,6,56
146,20,7,71
147,21,1,50
148,21,2,44
149,21,3,40
150,21,4,42
151,21,5,46
152,21,6,62
153,21,7,63
154,22,1,29
155,22,2,29
156,22,3,29
157,22,4,39
158,22,5,35
159,22,6,52
160,22,7,59
161,23,1,17
162,23,2,24
163,23,3,31
164,23,4,22
165,23,5,25
166,23,6,55
167,23,7,41
168,99,1,8
169,99,2,9
170,99,3,3
171,99,4,7
172,99,5,8
173,99,6,12
174,99,7,11
