,acchr,dayofweek,size
0,0,1,17
1,0,2,10
2,0,3,8
3,0,4,10
4,0,5,9
5,0,6,8
6,0,7,21
7,1,1,19
8,1,2,7
9,1,3,6
10,1,4,8
11,1,5,7
12,1,6,7
13,1,7,13
14,2,1,12
15,2,2,10
16,2,3,2
17,2,4,8
18,2,5,6
19,2,6,7
20,2,7,13
21,3,1,5
22,3,2,3
23,3,3,4
24,3,4,7
25,3,5,7
26,3,6,14
27,3,7,10
28,4,1,6
29,4,2,7
30,4,3,13
31,4,4,7
32,4,5,9
33,4,6,19
34,4,7,11
35,5,1,8
36,5,2,18
37,5,3,15
38,5,4,16
39,5,5,15
40,5,6,20
41,5,7,15
42,6,1,9
43,6,2,34
44,6,3,30
45,6,4,21
46,6,5,28
47,6,6,26
48,6,7,11
49,7,1,15
50,7,2,23
51,7,3,27
52,7,4,24
53,7,5,24
54,7,6,26
55,7,7,23
56,8,1,15
57,8,2,32
58,8,3,19
59,8,4,24
60,8,5,26
61,8,6,21
62,8,7,14
63,9,1,17
64,9,2,21
65,9,3,24
66,9,4,13
67,9,5,22
68,9,6,34
69,9,7,20
70,10,1,20
71,10,2,21
72,10,3,25
73,10,4,17
74,10,5,19
75,10,6,24
76,10,7,24
77,11,1,16
78,11,2,33
79,11,3,30
80,11,4,29
81,11,5,21
82,11,6,20
83,11,7,25
84,12,1,37
85,12,2,30
86,12,3,24
87,12,4,27
88,12,5,30
89,12,6,13
90,12,7,32
91,13,1,37
92,13,2,18
93,13,3,21
94,13,4,29
95,13,5,21
96,13,6,30
97,13,7,34
98,14,1,19
99,14,2,38
100,14,3,45
101,14,4,32
102,14,5,32
103,14,6,43
104,14,7,30
105,15,1,30
106,15,2,24
107,15,3,29
108,15,4,35
109,15,5,26
110,15,6,28
111,15,7,33
112,16,1,28
113,16,2,32
114,16,3,38
115,16,4,41
116,16,5,34
117,16,6,22
118,16,7,27
119,17,1,26
120,17,2,17
121,17,3,25
122,17,4,29
123,17,5,32
124,17,6,31
125,17,7,34
126,18,1,17
127,18,2,26
128,18,3,24
129,18,4,27
130,18,5,33
131,18,6,22
132,18,7,30
133,19,1,23
134,19,2,19
135,19,3,11
136,19,4,12
137,19,5,17
138,19,6,23
139,19,7,18
140,20,1,16
141,20,2,19
142,20,3,18
143,20,4,15
144,20,5,18
145,20,6,18
146,20,7,15
147,21,1,13
148,21,2,20
149,21,3,15
150,21,4,10
151,21,5,19
152,21,6,16
153,21,7,14
154,22,1,14
155,22,2,12
156,22,3,13
157,22,4,17
158,22,5,15
159,22,6,19
160,22,7,18
161,23,1,6
162,23,2,14
163,23,3,11
164,23,4,9
165,23,5,13
166,23,6,11
167,23,7,15
168,99,1,3
169,99,2,1
170,99,3,3
171,99,4,4
172,99,6,8
173,99,7,1
