,acchr,dayofweek,size
0,0,1,6
1,0,2,2
2,0,3,7
3,0,4,2
4,0,5,7
5,0,6,6
6,0,7,8
7,1,1,8
8,1,2,9
9,1,3,5
10,1,4,10
11,1,5,6
12,1,6,5
13,1,7,7
14,2,1,10
15,2,2,3
16,2,3,3
17,2,4,2
18,2,5,3
19,2,6,7
20,2,7,12
21,3,1,9
22,3,2,1
23,3,3,5
24,3,4,5
25,3,5,4
26,3,6,7
27,3,7,7
28,4,1,9
29,4,2,11
30,4,3,5
31,4,4,3
32,4,5,7
33,4,6,5
34,4,7,8
35,5,1,3
36,5,2,18
37,5,3,17
38,5,4,14
39,5,5,13
40,5,6,12
41,5,7,12
42,6,1,5
43,6,2,30
44,6,3,28
45,6,4,28
46,6,5,29
47,6,6,25
48,6,7,12
49,7,1,12
50,7,2,32
51,7,3,26
52,7,4,33
53,7,5,30
54,7,6,27
55,7,7,15
56,8,1,17
57,8,2,23
58,8,3,18
59,8,4,16
60,8,5,29
61,8,6,27
62,8,7,18
63,9,1,16
64,9,2,20
65,9,3,25
66,9,4,16
67,9,5,19
68,9,6,19
69,9,7,21
70,10,1,28
71,10,2,26
72,10,3,20
73,10,4,26
74,10,5,23
75,10,6,31
76,10,7,31
77,11,1,17
78,11,2,31
79,11,3,28
80,11,4,31
81,11,5,24
82,11,6,27
83,11,7,33
84,12,1,35
85,12,2,30
86,12,3,34
87,12,4,16
88,12,5,29
89,12,6,30
90,12,7,39
91,13,1,35
92,13,2,25
93,13,3,30
94,13,4,31
95,13,5,34
96,13,6,36
97,13,7,24
98,14,1,27
99,14,2,35
100,14,3,31
101,14,4,28
102,14,5,39
103,14,6,26
104,14,7,40
105,15,1,25
106,15,2,44
107,15,3,39
108,15,4,31
109,15,5,32
110,15,6,35
111,15,7,33
112,16,1,32
113,16,2,32
114,16,3,25
115,16,4,51
116,16,5,37
117,16,6,34
118,16,7,32
119,17,1,24
120,17,2,34
121,17,3,45
122,17,4,39
123,17,5,29
124,17,6,32
125,17,7,30
126,18,1,23
127,18,2,25
128,18,3,27
129,18,4,19
130,18,5,19
131,18,6,25
132,18,7,30
133,19,1,10
134,19,2,23
135,19,3,22
136,19,4,11
137,19,5,13
138,19,6,25
139,19,7,18
140,20,1,24
141,20,2,18
142,20,3,20
143,20,4,18
144,20,5,12
145,20,6,22
146,20,7,19
147,21,1,13
148,21,2,17
149,21,3,14
150,21,4,15
151,21,5,17
152,21,6,15
153,21,7,12
154,22,1,7
155,22,2,8
156,22,3,8
157,22,4,12
158,22,5,14
159,22,6,20
160,22,7,15
161,23,1,7
162,23,2,9
163,23,3,6
164,23,4,7
165,23,5,6
166,23,6,10
167,23,7,19
168,99,1,2
169,99,2,2
170,99,3,3
171,99,4,3
