,acchr,dayofweek,size
0,0,1,21
1,0,2,9
2,0,3,9
3,0,4,7
4,0,5,9
5,0,6,10
6,0,7,14
7,1,1,9
8,1,2,3
9,1,3,7
10,1,4,8
11,1,5,5
12,1,6,9
13,1,7,11
14,2,1,13
15,2,2,7
16,2,3,4
17,2,4,5
18,2,5,1
19,2,6,6
20,2,7,13
21,3,1,10
22,3,2,3
23,3,3,3
24,3,4,5
25,3,5,7
26,3,6,17
27,3,7,8
28,4,1,6
29,4,2,6
30,4,3,6
31,4,4,2
32,4,5,5
33,4,6,12
34,4,7,8
35,5,1,9
36,5,2,13
37,5,3,25
38,5,4,18
39,5,5,13
40,5,6,19
41,5,7,12
42,6,1,5
43,6,2,38
44,6,3,39
45,6,4,32
46,6,5,40
47,6,6,37
48,6,7,7
49,7,1,9
50,7,2,35
51,7,3,41
52,7,4,43
53,7,5,46
54,7,6,39
55,7,7,16
56,8,1,19
57,8,2,33
58,8,3,24
59,8,4,29
60,8,5,32
61,8,6,33
62,8,7,23
63,9,1,22
64,9,2,25
65,9,3,36
66,9,4,33
67,9,5,24
68,9,6,33
69,9,7,30
70,10,1,33
71,10,2,36
72,10,3,33
73,10,4,30
74,10,5,29
75,10,6,44
76,10,7,33
77,11,1,20
78,11,2,45
79,11,3,44
80,11,4,40
81,11,5,29
82,11,6,43
83,11,7,41
84,12,1,45
85,12,2,41
86,12,3,47
87,12,4,23
88,12,5,45
89,12,6,40
90,12,7,51
91,13,1,44
92,13,2,33
93,13,3,39
94,13,4,45
95,13,5,50
96,13,6,53
97,13,7,35
98,14,1,25
99,14,2,50
100,14,3,48
101,14,4,48
102,14,5,45
103,14,6,54
104,14,7,36
105,15,1,35
106,15,2,45
107,15,3,53
108,15,4,48
109,15,5,50
110,15,6,50
111,15,7,42
112,16,1,34
113,16,2,46
114,16,3,45
115,16,4,55
116,16,5,51
117,16,6,45
118,16,7,41
119,17,1,33
120,17,2,42
121,17,3,54
122,17,4,44
123,17,5,49
124,17,6,58
125,17,7,36
126,18,1,21
127,18,2,37
128,18,3,42
129,18,4,36
130,18,5,41
131,18,6,29
132,18,7,39
133,19,1,16
134,19,2,30
135,19,3,19
136,19,4,15
137,19,5,18
138,19,6,35
139,19,7,17
140,20,1,19
141,20,2,23
142,20,3,24
143,20,4,25
144,20,5,18
145,20,6,29
146,20,7,25
147,21,1,18
148,21,2,19
149,21,3,12
150,21,4,17
151,21,5,24
152,21,6,24
153,21,7,14
154,22,1,12
155,22,2,13
156,22,3,6
157,22,4,14
158,22,5,12
159,22,6,22
160,22,7,18
161,23,1,2
162,23,2,10
163,23,3,9
164,23,4,7
165,23,5,12
166,23,6,15
167,23,7,20
168,99,3,1
169,99,6,1
170,99,7,1
