,acchr,dayofweek,size
0,0,1,43
1,0,2,21
2,0,3,8
3,0,4,21
4,0,5,18
5,0,6,35
6,0,7,32
7,1,1,45
8,1,2,19
9,1,3,5
10,1,4,11
11,1,5,10
12,1,6,14
13,1,7,54
14,2,1,39
15,2,2,16
16,2,3,10
17,2,4,9
18,2,5,14
19,2,6,28
20,2,7,44
21,3,1,39
22,3,2,13
23,3,3,7
24,3,4,10
25,3,5,6
26,3,6,18
27,3,7,33
28,4,1,25
29,4,2,5
30,4,3,11
31,4,4,12
32,4,5,12
33,4,6,17
34,4,7,26
35,5,1,25
36,5,2,17
37,5,3,20
38,5,4,18
39,5,5,25
40,5,6,20
41,5,7,21
42,6,1,12
43,6,2,24
44,6,3,36
45,6,4,32
46,6,5,30
47,6,6,34
48,6,7,16
49,7,1,8
50,7,2,22
51,7,3,13
52,7,4,19
53,7,5,20
54,7,6,15
55,7,7,10
56,8,1,4
57,8,2,17
58,8,3,10
59,8,4,16
60,8,5,17
61,8,6,13
62,8,7,7
63,9,1,7
64,9,2,10
65,9,3,11
66,9,4,12
67,9,5,16
68,9,6,13
69,9,7,9
70,10,1,5
71,10,2,6
72,10,3,8
73,10,4,14
74,10,5,16
75,10,6,5
76,10,7,9
77,11,1,6
78,11,2,16
79,11,3,15
80,11,4,7
81,11,5,11
82,11,6,10
83,11,7,15
84,12,1,6
85,12,2,6
86,12,3,8
87,12,4,13
88,12,5,5
89,12,6,3
90,12,7,11
91,13,1,6
92,13,2,10
93,13,3,13
94,13,4,7
95,13,5,17
96,13,6,10
97,13,7,8
98,14,1,7
99,14,2,9
100,14,3,12
101,14,4,11
102,14,5,15
103,14,6,8
104,14,7,8
105,15,1,4
106,15,2,12
107,15,3,20
108,15,4,10
109,15,5,13
110,15,6,6
111,15,7,6
112,16,1,8
113,16,2,15
114,16,3,14
115,16,4,30
116,16,5,13
117,16,6,20
118,16,7,13
119,17,1,21
120,17,2,26
121,17,3,34
122,17,4,30
123,17,5,42
124,17,6,29
125,17,7,24
126,18,1,42
127,18,2,40
128,18,3,46
129,18,4,61
130,18,5,51
131,18,6,47
132,18,7,32
133,19,1,36
134,19,2,60
135,19,3,46
136,19,4,44
137,19,5,59
138,19,6,42
139,19,7,58
140,20,1,54
141,20,2,61
142,20,3,47
143,20,4,43
144,20,5,61
145,20,6,61
146,20,7,69
147,21,1,42
148,21,2,56
149,21,3,35
150,21,4,50
151,21,5,57
152,21,6,63
153,21,7,85
154,22,1,29
155,22,2,37
156,22,3,42
157,22,4,28
158,22,5,42
159,22,6,48
160,22,7,73
161,23,1,24
162,23,2,25
163,23,3,27
164,23,4,27
165,23,5,26
166,23,6,64
167,23,7,55
168,99,1,3
169,99,2,5
170,99,3,5
171,99,4,2
172,99,5,3
173,99,6,2
174,99,7,2
