,acchr,dayofweek,size
0,0,1,14
1,0,2,9
2,0,3,2
3,0,4,9
4,0,5,9
5,0,6,10
6,0,7,8
7,1,1,13
8,1,2,3
9,1,3,7
10,1,4,5
11,1,5,7
12,1,6,7
13,1,7,10
14,2,1,9
15,2,2,4
16,2,3,5
17,2,4,6
18,2,5,2
19,2,6,7
20,2,7,9
21,3,1,8
22,3,2,4
23,3,3,7
24,3,4,6
25,3,5,7
26,3,6,9
27,3,7,10
28,4,1,10
29,4,2,11
30,4,3,9
31,4,4,9
32,4,5,13
33,4,6,11
34,4,7,8
35,5,1,5
36,5,2,22
37,5,3,27
38,5,4,14
39,5,5,24
40,5,6,20
41,5,7,19
42,6,1,11
43,6,2,38
44,6,3,41
45,6,4,34
46,6,5,32
47,6,6,33
48,6,7,18
49,7,1,15
50,7,2,35
51,7,3,33
52,7,4,37
53,7,5,27
54,7,6,31
55,7,7,21
56,8,1,13
57,8,2,25
58,8,3,20
59,8,4,19
60,8,5,37
61,8,6,25
62,8,7,21
63,9,1,20
64,9,2,33
65,9,3,30
66,9,4,28
67,9,5,25
68,9,6,34
69,9,7,31
70,10,1,23
71,10,2,28
72,10,3,29
73,10,4,35
74,10,5,30
75,10,6,27
76,10,7,32
77,11,1,22
78,11,2,43
79,11,3,37
80,11,4,48
81,11,5,38
82,11,6,36
83,11,7,34
84,12,1,45
85,12,2,42
86,12,3,30
87,12,4,29
88,12,5,36
89,12,6,24
90,12,7,50
91,13,1,38
92,13,2,34
93,13,3,34
94,13,4,35
95,13,5,35
96,13,6,40
97,13,7,36
98,14,1,30
99,14,2,37
100,14,3,41
101,14,4,46
102,14,5,42
103,14,6,45
104,14,7,37
105,15,1,30
106,15,2,31
107,15,3,38
108,15,4,39
109,15,5,31
110,15,6,43
111,15,7,35
112,16,1,24
113,16,2,43
114,16,3,36
115,16,4,52
116,16,5,37
117,16,6,32
118,16,7,37
119,17,1,24
120,17,2,30
121,17,3,41
122,17,4,40
123,17,5,35
124,17,6,36
125,17,7,35
126,18,1,32
127,18,2,28
128,18,3,41
129,18,4,33
130,18,5,33
131,18,6,34
132,18,7,40
133,19,1,18
134,19,2,38
135,19,3,21
136,19,4,13
137,19,5,18
138,19,6,31
139,19,7,30
140,20,1,23
141,20,2,26
142,20,3,21
143,20,4,27
144,20,5,15
145,20,6,25
146,20,7,28
147,21,1,19
148,21,2,18
149,21,3,19
150,21,4,24
151,21,5,24
152,21,6,25
153,21,7,24
154,22,1,8
155,22,2,11
156,22,3,10
157,22,4,12
158,22,5,16
159,22,6,25
160,22,7,24
161,23,1,6
162,23,2,7
163,23,3,17
164,23,4,11
165,23,5,9
166,23,6,10
167,23,7,12
168,99,1,1
169,99,2,1
170,99,3,3
171,99,4,4
172,99,5,1
173,99,6,5
