,acchr,dayofweek,size
0,0,1,93
1,0,2,32
2,0,3,33
3,0,4,31
4,0,5,48
5,0,6,46
6,0,7,88
7,1,1,111
8,1,2,37
9,1,3,23
10,1,4,28
11,1,5,30
12,1,6,57
13,1,7,123
14,2,1,151
15,2,2,26
16,2,3,25
17,2,4,29
18,2,5,48
19,2,6,62
20,2,7,161
21,3,1,87
22,3,2,18
23,3,3,10
24,3,4,15
25,3,5,25
26,3,6,35
27,3,7,81
28,4,1,66
29,4,2,12
30,4,3,13
31,4,4,8
32,4,5,12
33,4,6,22
34,4,7,58
35,5,1,40
36,5,2,7
37,5,3,7
38,5,4,8
39,5,5,10
40,5,6,11
41,5,7,41
42,6,1,18
43,6,2,7
44,6,3,10
45,6,4,5
46,6,5,6
47,6,6,15
48,6,7,39
49,7,1,16
50,7,2,2
51,7,3,5
52,7,4,8
53,7,5,8
54,7,6,10
55,7,7,12
56,8,1,8
57,8,2,6
58,8,3,4
59,8,4,2
60,8,5,7
61,8,6,6
62,8,7,11
63,9,1,8
64,9,2,4
65,9,3,6
66,9,4,8
67,9,5,4
68,9,6,8
69,9,7,5
70,10,1,3
71,10,2,2
72,10,3,3
73,10,4,6
74,10,6,5
75,10,7,11
76,11,1,3
77,11,2,4
78,11,3,6
79,11,4,5
80,11,5,2
81,11,6,5
82,11,7,5
83,12,1,14
84,12,2,8
85,12,3,2
86,12,4,5
87,12,5,7
88,12,6,8
89,12,7,9
90,13,1,15
91,13,2,4
92,13,3,7
93,13,4,7
94,13,5,11
95,13,6,16
96,13,7,15
97,14,1,16
98,14,2,14
99,14,3,15
100,14,4,15
101,14,5,9
102,14,6,15
103,14,7,23
104,15,1,30
105,15,2,15
106,15,3,16
107,15,4,11
108,15,5,10
109,15,6,13
110,15,7,27
111,16,1,32
112,16,2,17
113,16,3,11
114,16,4,18
115,16,5,10
116,16,6,21
117,16,7,36
118,17,1,28
119,17,2,26
120,17,3,20
121,17,4,20
122,17,5,26
123,17,6,28
124,17,7,51
125,18,1,39
126,18,2,25
127,18,3,28
128,18,4,26
129,18,5,32
130,18,6,39
131,18,7,62
132,19,1,64
133,19,2,32
134,19,3,38
135,19,4,39
136,19,5,42
137,19,6,46
138,19,7,75
139,20,1,50
140,20,2,36
141,20,3,40
142,20,4,42
143,20,5,49
144,20,6,61
145,20,7,74
146,21,1,58
147,21,2,47
148,21,3,34
149,21,4,53
150,21,5,42
151,21,6,68
152,21,7,89
153,22,1,50
154,22,2,43
155,22,3,48
156,22,4,45
157,22,5,45
158,22,6,70
159,22,7,91
160,23,1,37
161,23,2,35
162,23,3,42
163,23,4,24
164,23,5,49
165,23,6,89
166,23,7,84
167,99,1,11
168,99,2,5
169,99,3,2
170,99,4,4
171,99,5,5
172,99,6,9
173,99,7,8
