,acchr,dayofweek,size
0,0,1,125
1,0,2,39
2,0,3,43
3,0,4,38
4,0,5,56
5,0,6,72
6,0,7,115
7,1,1,157
8,1,2,53
9,1,3,26
10,1,4,38
11,1,5,43
12,1,6,79
13,1,7,170
14,2,1,193
15,2,2,37
16,2,3,30
17,2,4,45
18,2,5,59
19,2,6,83
20,2,7,214
21,3,1,119
22,3,2,23
23,3,3,15
24,3,4,21
25,3,5,33
26,3,6,43
27,3,7,104
28,4,1,99
29,4,2,18
30,4,3,13
31,4,4,11
32,4,5,17
33,4,6,29
34,4,7,78
35,5,1,54
36,5,2,14
37,5,3,13
38,5,4,11
39,5,5,11
40,5,6,19
41,5,7,49
42,6,1,30
43,6,2,12
44,6,3,14
45,6,4,10
46,6,5,7
47,6,6,24
48,6,7,48
49,7,1,20
50,7,2,5
51,7,3,8
52,7,4,9
53,7,5,9
54,7,6,12
55,7,7,21
56,8,1,12
57,8,2,6
58,8,3,7
59,8,4,4
60,8,5,10
61,8,6,6
62,8,7,16
63,9,1,10
64,9,2,6
65,9,3,6
66,9,4,11
67,9,5,5
68,9,6,11
69,9,7,7
70,10,1,4
71,10,2,3
72,10,3,4
73,10,4,6
74,10,5,2
75,10,6,6
76,10,7,14
77,11,1,4
78,11,2,4
79,11,3,8
80,11,4,8
81,11,5,2
82,11,6,7
83,11,7,10
84,12,1,17
85,12,2,11
86,12,3,5
87,12,4,6
88,12,5,10
89,12,6,11
90,12,7,14
91,13,1,16
92,13,2,4
93,13,3,10
94,13,4,10
95,13,5,11
96,13,6,18
97,13,7,17
98,14,1,18
99,14,2,18
100,14,3,19
101,14,4,17
102,14,5,13
103,14,6,16
104,14,7,27
105,15,1,40
106,15,2,19
107,15,3,20
108,15,4,15
109,15,5,14
110,15,6,21
111,15,7,35
112,16,1,43
113,16,2,22
114,16,3,14
115,16,4,25
116,16,5,12
117,16,6,27
118,16,7,44
119,17,1,33
120,17,2,35
121,17,3,26
122,17,4,25
123,17,5,32
124,17,6,38
125,17,7,58
126,18,1,48
127,18,2,31
128,18,3,34
129,18,4,33
130,18,5,40
131,18,6,49
132,18,7,77
133,19,1,80
134,19,2,43
135,19,3,48
136,19,4,52
137,19,5,58
138,19,6,52
139,19,7,87
140,20,1,70
141,20,2,52
142,20,3,47
143,20,4,54
144,20,5,68
145,20,6,83
146,20,7,91
147,21,1,76
148,21,2,60
149,21,3,45
150,21,4,67
151,21,5,59
152,21,6,85
153,21,7,107
154,22,1,56
155,22,2,53
156,22,3,56
157,22,4,57
158,22,5,55
159,22,6,87
160,22,7,113
161,23,1,51
162,23,2,46
163,23,3,57
164,23,4,31
165,23,5,67
166,23,6,109
167,23,7,102
168,99,1,19
169,99,2,10
170,99,3,4
171,99,4,6
172,99,5,9
173,99,6,14
174,99,7,13
