,acchr,dayofweek,size
0,0,1,92
1,0,2,28
2,0,3,34
3,0,4,27
4,0,5,42
5,0,6,51
6,0,7,90
7,1,1,114
8,1,2,43
9,1,3,24
10,1,4,33
11,1,5,34
12,1,6,62
13,1,7,129
14,2,1,149
15,2,2,30
16,2,3,22
17,2,4,37
18,2,5,44
19,2,6,66
20,2,7,168
21,3,1,86
22,3,2,17
23,3,3,12
24,3,4,19
25,3,5,24
26,3,6,31
27,3,7,81
28,4,1,72
29,4,2,16
30,4,3,8
31,4,4,9
32,4,5,13
33,4,6,21
34,4,7,54
35,5,1,40
36,5,2,10
37,5,3,6
38,5,4,8
39,5,5,8
40,5,6,15
41,5,7,39
42,6,1,27
43,6,2,8
44,6,3,12
45,6,4,8
46,6,5,6
47,6,6,15
48,6,7,42
49,7,1,17
50,7,2,4
51,7,3,7
52,7,4,7
53,7,5,9
54,7,6,12
55,7,7,19
56,8,1,12
57,8,2,3
58,8,3,6
59,8,4,3
60,8,5,8
61,8,6,5
62,8,7,14
63,9,1,9
64,9,2,6
65,9,3,5
66,9,4,8
67,9,5,2
68,9,6,7
69,9,7,7
70,10,1,4
71,10,2,3
72,10,3,3
73,10,4,5
74,10,5,1
75,10,6,6
76,10,7,11
77,11,1,4
78,11,2,3
79,11,3,7
80,11,4,8
81,11,5,2
82,11,6,5
83,11,7,6
84,12,1,15
85,12,2,10
86,12,3,5
87,12,4,5
88,12,5,10
89,12,6,8
90,12,7,14
91,13,1,16
92,13,2,4
93,13,3,9
94,13,4,10
95,13,5,11
96,13,6,15
97,13,7,15
98,14,1,13
99,14,2,17
100,14,3,15
101,14,4,15
102,14,5,10
103,14,6,13
104,14,7,24
105,15,1,33
106,15,2,18
107,15,3,13
108,15,4,15
109,15,5,11
110,15,6,19
111,15,7,30
112,16,1,38
113,16,2,18
114,16,3,14
115,16,4,22
116,16,5,9
117,16,6,21
118,16,7,41
119,17,1,25
120,17,2,25
121,17,3,20
122,17,4,17
123,17,5,26
124,17,6,31
125,17,7,48
126,18,1,38
127,18,2,23
128,18,3,25
129,18,4,19
130,18,5,28
131,18,6,37
132,18,7,62
133,19,1,63
134,19,2,25
135,19,3,37
136,19,4,35
137,19,5,34
138,19,6,35
139,19,7,72
140,20,1,43
141,20,2,34
142,20,3,29
143,20,4,41
144,20,5,47
145,20,6,57
146,20,7,52
147,21,1,58
148,21,2,40
149,21,3,29
150,21,4,49
151,21,5,39
152,21,6,64
153,21,7,72
154,22,1,44
155,22,2,33
156,22,3,34
157,22,4,42
158,22,5,35
159,22,6,60
160,22,7,66
161,23,1,32
162,23,2,30
163,23,3,40
164,23,4,15
165,23,5,55
166,23,6,77
167,23,7,77
168,99,1,16
169,99,2,8
170,99,3,3
171,99,4,5
172,99,5,8
173,99,6,13
174,99,7,11
