,acchr,dayofweek,size
0,0,1,21
1,0,2,15
2,0,3,7
3,0,4,15
4,0,5,10
5,0,6,15
6,0,7,23
7,1,1,24
8,1,2,8
9,1,3,4
10,1,4,5
11,1,5,10
12,1,6,8
13,1,7,14
14,2,1,14
15,2,2,10
16,2,3,7
17,2,4,7
18,2,5,7
19,2,6,13
20,2,7,14
21,3,1,8
22,3,2,3
23,3,3,2
24,3,4,6
25,3,5,5
26,3,6,17
27,3,7,15
28,4,1,10
29,4,2,8
30,4,3,11
31,4,4,8
32,4,5,9
33,4,6,18
34,4,7,13
35,5,1,10
36,5,2,19
37,5,3,17
38,5,4,17
39,5,5,18
40,5,6,21
41,5,7,13
42,6,1,10
43,6,2,28
44,6,3,20
45,6,4,23
46,6,5,26
47,6,6,28
48,6,7,12
49,7,1,15
50,7,2,20
51,7,3,21
52,7,4,22
53,7,5,24
54,7,6,27
55,7,7,20
56,8,1,12
57,8,2,27
58,8,3,20
59,8,4,20
60,8,5,18
61,8,6,26
62,8,7,18
63,9,1,18
64,9,2,21
65,9,3,20
66,9,4,18
67,9,5,22
68,9,6,28
69,9,7,25
70,10,1,17
71,10,2,16
72,10,3,23
73,10,4,12
74,10,5,21
75,10,6,23
76,10,7,22
77,11,1,17
78,11,2,34
79,11,3,29
80,11,4,35
81,11,5,21
82,11,6,22
83,11,7,23
84,12,1,34
85,12,2,31
86,12,3,21
87,12,4,27
88,12,5,28
89,12,6,16
90,12,7,37
91,13,1,34
92,13,2,20
93,13,3,15
94,13,4,22
95,13,5,25
96,13,6,24
97,13,7,32
98,14,1,19
99,14,2,35
100,14,3,40
101,14,4,28
102,14,5,27
103,14,6,39
104,14,7,29
105,15,1,28
106,15,2,27
107,15,3,30
108,15,4,32
109,15,5,27
110,15,6,29
111,15,7,30
112,16,1,24
113,16,2,26
114,16,3,35
115,16,4,42
116,16,5,31
117,16,6,21
118,16,7,24
119,17,1,28
120,17,2,29
121,17,3,23
122,17,4,33
123,17,5,33
124,17,6,26
125,17,7,29
126,18,1,25
127,18,2,25
128,18,3,27
129,18,4,37
130,18,5,44
131,18,6,33
132,18,7,35
133,19,1,26
134,19,2,29
135,19,3,19
136,19,4,16
137,19,5,17
138,19,6,24
139,19,7,28
140,20,1,18
141,20,2,24
142,20,3,24
143,20,4,23
144,20,5,17
145,20,6,26
146,20,7,24
147,21,1,17
148,21,2,24
149,21,3,14
150,21,4,15
151,21,5,27
152,21,6,31
153,21,7,23
154,22,1,18
155,22,2,12
156,22,3,16
157,22,4,16
158,22,5,18
159,22,6,23
160,22,7,25
161,23,1,11
162,23,2,13
163,23,3,19
164,23,4,16
165,23,5,12
166,23,6,16
167,23,7,19
168,99,2,1
169,99,4,4
170,99,6,4
171,99,7,1
