,acchr,dayofweek,size
0,0,1,81
1,0,2,34
2,0,3,41
3,0,4,35
4,0,5,48
5,0,6,47
6,0,7,91
7,1,1,106
8,1,2,49
9,1,3,22
10,1,4,41
11,1,5,31
12,1,6,52
13,1,7,109
14,2,1,115
15,2,2,40
16,2,3,19
17,2,4,31
18,2,5,39
19,2,6,68
20,2,7,126
21,3,1,75
22,3,2,17
23,3,3,18
24,3,4,21
25,3,5,29
26,3,6,41
27,3,7,68
28,4,1,61
29,4,2,24
30,4,3,22
31,4,4,17
32,4,5,21
33,4,6,41
34,4,7,56
35,5,1,40
36,5,2,30
37,5,3,26
38,5,4,25
39,5,5,25
40,5,6,34
41,5,7,51
42,6,1,34
43,6,2,48
44,6,3,53
45,6,4,34
46,6,5,42
47,6,6,44
48,6,7,47
49,7,1,30
50,7,2,40
51,7,3,38
52,7,4,46
53,7,5,44
54,7,6,43
55,7,7,34
56,8,1,25
57,8,2,51
58,8,3,38
59,8,4,36
60,8,5,43
61,8,6,36
62,8,7,25
63,9,1,28
64,9,2,35
65,9,3,39
66,9,4,21
67,9,5,28
68,9,6,43
69,9,7,36
70,10,1,31
71,10,2,31
72,10,3,37
73,10,4,27
74,10,5,32
75,10,6,38
76,10,7,35
77,11,1,33
78,11,2,40
79,11,3,43
80,11,4,44
81,11,5,34
82,11,6,31
83,11,7,37
84,12,1,62
85,12,2,48
86,12,3,33
87,12,4,45
88,12,5,47
89,12,6,37
90,12,7,58
91,13,1,60
92,13,2,33
93,13,3,36
94,13,4,49
95,13,5,45
96,13,6,54
97,13,7,65
98,14,1,37
99,14,2,63
100,14,3,70
101,14,4,59
102,14,5,54
103,14,6,68
104,14,7,57
105,15,1,65
106,15,2,48
107,15,3,52
108,15,4,63
109,15,5,37
110,15,6,64
111,15,7,65
112,16,1,65
113,16,2,64
114,16,3,63
115,16,4,76
116,16,5,62
117,16,6,51
118,16,7,66
119,17,1,51
120,17,2,48
121,17,3,47
122,17,4,62
123,17,5,62
124,17,6,72
125,17,7,79
126,18,1,57
127,18,2,55
128,18,3,53
129,18,4,50
130,18,5,73
131,18,6,57
132,18,7,89
133,19,1,69
134,19,2,40
135,19,3,45
136,19,4,42
137,19,5,48
138,19,6,55
139,19,7,88
140,20,1,52
141,20,2,50
142,20,3,45
143,20,4,44
144,20,5,59
145,20,6,58
146,20,7,70
147,21,1,51
148,21,2,48
149,21,3,51
150,21,4,50
151,21,5,59
152,21,6,58
153,21,7,71
154,22,1,52
155,22,2,42
156,22,3,41
157,22,4,57
158,22,5,45
159,22,6,64
160,22,7,70
161,23,1,38
162,23,2,33
163,23,3,42
164,23,4,32
165,23,5,52
166,23,6,69
167,23,7,69
168,99,1,15
169,99,2,9
170,99,3,9
171,99,4,10
172,99,5,8
173,99,6,18
174,99,7,12
