,acchr,dayofweek,size
0,0,1,15
1,0,2,10
2,0,3,6
3,0,4,5
4,0,5,7
5,0,6,9
6,0,7,14
7,1,1,9
8,1,2,1
9,1,3,6
10,1,4,8
11,1,5,4
12,1,6,8
13,1,7,7
14,2,1,13
15,2,2,7
16,2,3,4
17,2,4,7
18,2,5,2
19,2,6,9
20,2,7,10
21,3,1,6
22,3,2,3
23,3,3,4
24,3,4,4
25,3,5,6
26,3,6,15
27,3,7,8
28,4,1,7
29,4,2,4
30,4,3,3
31,4,4,2
32,4,5,6
33,4,6,9
34,4,7,6
35,5,1,5
36,5,2,12
37,5,3,19
38,5,4,21
39,5,5,14
40,5,6,14
41,5,7,13
42,6,1,4
43,6,2,36
44,6,3,37
45,6,4,29
46,6,5,31
47,6,6,29
48,6,7,5
49,7,1,7
50,7,2,24
51,7,3,30
52,7,4,33
53,7,5,31
54,7,6,26
55,7,7,15
56,8,1,11
57,8,2,18
58,8,3,15
59,8,4,20
60,8,5,22
61,8,6,13
62,8,7,15
63,9,1,15
64,9,2,20
65,9,3,26
66,9,4,17
67,9,5,16
68,9,6,28
69,9,7,24
70,10,1,17
71,10,2,24
72,10,3,25
73,10,4,21
74,10,5,20
75,10,6,28
76,10,7,22
77,11,1,14
78,11,2,37
79,11,3,26
80,11,4,31
81,11,5,23
82,11,6,29
83,11,7,28
84,12,1,35
85,12,2,30
86,12,3,35
87,12,4,21
88,12,5,30
89,12,6,26
90,12,7,41
91,13,1,39
92,13,2,22
93,13,3,25
94,13,4,34
95,13,5,34
96,13,6,36
97,13,7,26
98,14,1,25
99,14,2,32
100,14,3,45
101,14,4,40
102,14,5,34
103,14,6,42
104,14,7,31
105,15,1,31
106,15,2,24
107,15,3,35
108,15,4,35
109,15,5,37
110,15,6,34
111,15,7,33
112,16,1,24
113,16,2,28
114,16,3,32
115,16,4,41
116,16,5,35
117,16,6,29
118,16,7,33
119,17,1,26
120,17,2,33
121,17,3,41
122,17,4,33
123,17,5,31
124,17,6,44
125,17,7,30
126,18,1,16
127,18,2,31
128,18,3,30
129,18,4,25
130,18,5,27
131,18,6,21
132,18,7,32
133,19,1,15
134,19,2,20
135,19,3,16
136,19,4,12
137,19,5,10
138,19,6,24
139,19,7,14
140,20,1,15
141,20,2,18
142,20,3,17
143,20,4,19
144,20,5,12
145,20,6,20
146,20,7,18
147,21,1,20
148,21,2,16
149,21,3,10
150,21,4,13
151,21,5,24
152,21,6,21
153,21,7,15
154,22,1,12
155,22,2,11
156,22,3,6
157,22,4,13
158,22,5,11
159,22,6,21
160,22,7,15
161,23,1,2
162,23,2,11
163,23,3,10
164,23,4,10
165,23,5,10
166,23,6,10
167,23,7,18
168,99,3,1
169,99,6,1
