,acchr,dayofweek,size
0,0,1,44
1,0,2,19
2,0,3,14
3,0,4,15
4,0,5,23
5,0,6,24
6,0,7,56
7,1,1,73
8,1,2,30
9,1,3,16
10,1,4,27
11,1,5,21
12,1,6,35
13,1,7,73
14,2,1,102
15,2,2,25
16,2,3,19
17,2,4,24
18,2,5,22
19,2,6,48
20,2,7,105
21,3,1,63
22,3,2,7
23,3,3,12
24,3,4,16
25,3,5,19
26,3,6,29
27,3,7,58
28,4,1,50
29,4,2,15
30,4,3,13
31,4,4,7
32,4,5,12
33,4,6,16
34,4,7,40
35,5,1,32
36,5,2,17
37,5,3,9
38,5,4,11
39,5,5,7
40,5,6,10
41,5,7,32
42,6,1,19
43,6,2,20
44,6,3,20
45,6,4,11
46,6,5,22
47,6,6,19
48,6,7,26
49,7,1,17
50,7,2,13
51,7,3,17
52,7,4,16
53,7,5,10
54,7,6,19
55,7,7,24
56,8,1,11
57,8,2,13
58,8,3,10
59,8,4,9
60,8,5,12
61,8,6,8
62,8,7,12
63,9,1,10
64,9,2,8
65,9,3,15
66,9,4,10
67,9,5,9
68,9,6,7
69,9,7,14
70,10,1,10
71,10,2,9
72,10,3,7
73,10,4,9
74,10,5,7
75,10,6,11
76,10,7,12
77,11,1,14
78,11,2,8
79,11,3,6
80,11,4,10
81,11,5,9
82,11,6,8
83,11,7,13
84,12,1,23
85,12,2,14
86,12,3,9
87,12,4,8
88,12,5,9
89,12,6,14
90,12,7,17
91,13,1,14
92,13,2,12
93,13,3,6
94,13,4,16
95,13,5,8
96,13,6,13
97,13,7,14
98,14,1,10
99,14,2,22
100,14,3,24
101,14,4,7
102,14,5,15
103,14,6,14
104,14,7,24
105,15,1,23
106,15,2,16
107,15,3,11
108,15,4,13
109,15,5,9
110,15,6,18
111,15,7,19
112,16,1,16
113,16,2,13
114,16,3,19
115,16,4,21
116,16,5,16
117,16,6,18
118,16,7,26
119,17,1,21
120,17,2,20
121,17,3,22
122,17,4,26
123,17,5,13
124,17,6,18
125,17,7,20
126,18,1,18
127,18,2,26
128,18,3,15
129,18,4,21
130,18,5,20
131,18,6,20
132,18,7,25
133,19,1,23
134,19,2,13
135,19,3,21
136,19,4,15
137,19,5,18
138,19,6,19
139,19,7,30
140,20,1,19
141,20,2,17
142,20,3,26
143,20,4,15
144,20,5,27
145,20,6,20
146,20,7,23
147,21,1,25
148,21,2,23
149,21,3,20
150,21,4,16
151,21,5,24
152,21,6,26
153,21,7,28
154,22,1,31
155,22,2,20
156,22,3,22
157,22,4,16
158,22,5,20
159,22,6,31
160,22,7,31
161,23,1,19
162,23,2,19
163,23,3,17
164,23,4,12
165,23,5,26
166,23,6,37
167,23,7,48
168,99,1,6
169,99,2,5
170,99,3,3
171,99,4,2
172,99,5,3
173,99,6,5
174,99,7,7
