,acchr,dayofweek,size
0,0,1,18
1,0,2,11
2,0,3,9
3,0,4,11
4,0,5,12
5,0,6,9
6,0,7,27
7,1,1,21
8,1,2,12
9,1,3,11
10,1,4,9
11,1,5,9
12,1,6,11
13,1,7,20
14,2,1,17
15,2,2,9
16,2,3,5
17,2,4,7
18,2,5,6
19,2,6,12
20,2,7,18
21,3,1,13
22,3,2,4
23,3,3,6
24,3,4,7
25,3,5,8
26,3,6,20
27,3,7,13
28,4,1,8
29,4,2,11
30,4,3,14
31,4,4,6
32,4,5,13
33,4,6,18
34,4,7,13
35,5,1,10
36,5,2,26
37,5,3,15
38,5,4,24
39,5,5,21
40,5,6,19
41,5,7,16
42,6,1,11
43,6,2,44
44,6,3,35
45,6,4,36
46,6,5,34
47,6,6,30
48,6,7,14
49,7,1,20
50,7,2,34
51,7,3,39
52,7,4,30
53,7,5,32
54,7,6,29
55,7,7,26
56,8,1,17
57,8,2,35
58,8,3,24
59,8,4,26
60,8,5,31
61,8,6,32
62,8,7,19
63,9,1,22
64,9,2,27
65,9,3,30
66,9,4,20
67,9,5,28
68,9,6,36
69,9,7,30
70,10,1,28
71,10,2,24
72,10,3,29
73,10,4,21
74,10,5,29
75,10,6,38
76,10,7,37
77,11,1,24
78,11,2,48
79,11,3,35
80,11,4,51
81,11,5,30
82,11,6,34
83,11,7,37
84,12,1,61
85,12,2,44
86,12,3,35
87,12,4,31
88,12,5,45
89,12,6,31
90,12,7,58
91,13,1,57
92,13,2,20
93,13,3,35
94,13,4,39
95,13,5,37
96,13,6,45
97,13,7,48
98,14,1,33
99,14,2,55
100,14,3,57
101,14,4,35
102,14,5,46
103,14,6,49
104,14,7,58
105,15,1,38
106,15,2,35
107,15,3,41
108,15,4,46
109,15,5,36
110,15,6,43
111,15,7,46
112,16,1,37
113,16,2,43
114,16,3,43
115,16,4,56
116,16,5,43
117,16,6,34
118,16,7,46
119,17,1,37
120,17,2,37
121,17,3,47
122,17,4,49
123,17,5,35
124,17,6,46
125,17,7,43
126,18,1,34
127,18,2,37
128,18,3,40
129,18,4,38
130,18,5,39
131,18,6,37
132,18,7,49
133,19,1,29
134,19,2,33
135,19,3,21
136,19,4,15
137,19,5,23
138,19,6,26
139,19,7,25
140,20,1,23
141,20,2,27
142,20,3,29
143,20,4,23
144,20,5,22
145,20,6,30
146,20,7,26
147,21,1,23
148,21,2,32
149,21,3,18
150,21,4,14
151,21,5,30
152,21,6,27
153,21,7,26
154,22,1,18
155,22,2,18
156,22,3,12
157,22,4,23
158,22,5,22
159,22,6,29
160,22,7,26
161,23,1,12
162,23,2,20
163,23,3,16
164,23,4,13
165,23,5,12
166,23,6,18
167,23,7,21
168,99,1,1
169,99,2,3
170,99,3,4
171,99,4,5
172,99,5,1
173,99,6,5
174,99,7,1
