,acchr,dayofweek,size
0,0,1,13
1,0,2,9
2,0,3,6
3,0,4,5
4,0,5,7
5,0,6,8
6,0,7,11
7,1,1,8
8,1,2,1
9,1,3,6
10,1,4,7
11,1,5,4
12,1,6,7
13,1,7,7
14,2,1,11
15,2,2,5
16,2,3,3
17,2,4,5
18,2,5,1
19,2,6,6
20,2,7,10
21,3,1,6
22,3,2,3
23,3,3,3
24,3,4,4
25,3,5,6
26,3,6,15
27,3,7,7
28,4,1,5
29,4,2,4
30,4,3,3
31,4,4,2
32,4,5,5
33,4,6,9
34,4,7,4
35,5,1,5
36,5,2,11
37,5,3,18
38,5,4,18
39,5,5,13
40,5,6,13
41,5,7,10
42,6,1,4
43,6,2,36
44,6,3,37
45,6,4,27
46,6,5,30
47,6,6,28
48,6,7,4
49,7,1,7
50,7,2,24
51,7,3,29
52,7,4,31
53,7,5,30
54,7,6,23
55,7,7,14
56,8,1,10
57,8,2,18
58,8,3,14
59,8,4,19
60,8,5,19
61,8,6,12
62,8,7,14
63,9,1,12
64,9,2,19
65,9,3,26
66,9,4,16
67,9,5,16
68,9,6,28
69,9,7,21
70,10,1,17
71,10,2,21
72,10,3,23
73,10,4,20
74,10,5,18
75,10,6,27
76,10,7,22
77,11,1,14
78,11,2,34
79,11,3,24
80,11,4,27
81,11,5,21
82,11,6,28
83,11,7,26
84,12,1,34
85,12,2,29
86,12,3,33
87,12,4,17
88,12,5,29
89,12,6,24
90,12,7,40
91,13,1,36
92,13,2,18
93,13,3,24
94,13,4,32
95,13,5,32
96,13,6,34
97,13,7,23
98,14,1,21
99,14,2,31
100,14,3,42
101,14,4,34
102,14,5,33
103,14,6,41
104,14,7,29
105,15,1,28
106,15,2,22
107,15,3,34
108,15,4,33
109,15,5,35
110,15,6,30
111,15,7,32
112,16,1,23
113,16,2,27
114,16,3,32
115,16,4,38
116,16,5,31
117,16,6,26
118,16,7,33
119,17,1,23
120,17,2,27
121,17,3,38
122,17,4,33
123,17,5,28
124,17,6,42
125,17,7,30
126,18,1,16
127,18,2,31
128,18,3,30
129,18,4,25
130,18,5,27
131,18,6,20
132,18,7,32
133,19,1,13
134,19,2,20
135,19,3,14
136,19,4,9
137,19,5,10
138,19,6,21
139,19,7,11
140,20,1,14
141,20,2,17
142,20,3,15
143,20,4,18
144,20,5,12
145,20,6,19
146,20,7,16
147,21,1,16
148,21,2,15
149,21,3,10
150,21,4,13
151,21,5,21
152,21,6,21
153,21,7,13
154,22,1,11
155,22,2,10
156,22,3,5
157,22,4,13
158,22,5,11
159,22,6,20
160,22,7,15
161,23,1,2
162,23,2,9
163,23,3,8
164,23,4,7
165,23,5,9
166,23,6,9
167,23,7,16
168,99,3,1
169,99,6,1
