,acchr,dayofweek,size
0,0,1,133
1,0,2,57
2,0,3,60
3,0,4,52
4,0,5,73
5,0,6,79
6,0,7,147
7,1,1,166
8,1,2,75
9,1,3,46
10,1,4,64
11,1,5,54
12,1,6,86
13,1,7,173
14,2,1,201
15,2,2,51
16,2,3,37
17,2,4,50
18,2,5,65
19,2,6,107
20,2,7,216
21,3,1,126
22,3,2,32
23,3,3,33
24,3,4,35
25,3,5,45
26,3,6,64
27,3,7,116
28,4,1,102
29,4,2,43
30,4,3,35
31,4,4,26
32,4,5,37
33,4,6,57
34,4,7,88
35,5,1,66
36,5,2,55
37,5,3,45
38,5,4,53
39,5,5,45
40,5,6,55
41,5,7,78
42,6,1,57
43,6,2,85
44,6,3,102
45,6,4,75
46,6,5,75
47,6,6,80
48,6,7,83
49,7,1,52
50,7,2,75
51,7,3,70
52,7,4,86
53,7,5,73
54,7,6,76
55,7,7,66
56,8,1,46
57,8,2,73
58,8,3,60
59,8,4,57
60,8,5,75
61,8,6,61
62,8,7,51
63,9,1,51
64,9,2,65
65,9,3,67
66,9,4,44
67,9,5,57
68,9,6,68
69,9,7,67
70,10,1,51
71,10,2,56
72,10,3,57
73,10,4,66
74,10,5,65
75,10,6,75
76,10,7,71
77,11,1,56
78,11,2,81
79,11,3,75
80,11,4,84
81,11,5,61
82,11,6,66
83,11,7,75
84,12,1,119
85,12,2,86
86,12,3,67
87,12,4,61
88,12,5,90
89,12,6,77
90,12,7,114
91,13,1,107
92,13,2,66
93,13,3,75
94,13,4,96
95,13,5,92
96,13,6,93
97,13,7,109
98,14,1,80
99,14,2,107
100,14,3,118
101,14,4,99
102,14,5,108
103,14,6,103
104,14,7,122
105,15,1,115
106,15,2,90
107,15,3,98
108,15,4,106
109,15,5,86
110,15,6,118
111,15,7,115
112,16,1,114
113,16,2,105
114,16,3,107
115,16,4,128
116,16,5,103
117,16,6,100
118,16,7,122
119,17,1,94
120,17,2,102
121,17,3,106
122,17,4,122
123,17,5,112
124,17,6,119
125,17,7,136
126,18,1,101
127,18,2,94
128,18,3,104
129,18,4,86
130,18,5,102
131,18,6,98
132,18,7,162
133,19,1,115
134,19,2,74
135,19,3,86
136,19,4,77
137,19,5,84
138,19,6,94
139,19,7,135
140,20,1,96
141,20,2,84
142,20,3,86
143,20,4,93
144,20,5,97
145,20,6,109
146,20,7,112
147,21,1,104
148,21,2,87
149,21,3,80
150,21,4,87
151,21,5,99
152,21,6,116
153,21,7,128
154,22,1,86
155,22,2,68
156,22,3,64
157,22,4,83
158,22,5,82
159,22,6,119
160,22,7,117
161,23,1,63
162,23,2,59
163,23,3,71
164,23,4,45
165,23,5,83
166,23,6,125
167,23,7,125
168,99,1,22
169,99,2,15
170,99,3,13
171,99,4,15
172,99,5,13
173,99,6,25
174,99,7,21
