,acchr,dayofweek,size
0,0,1,33
1,0,2,10
2,0,3,10
3,0,4,22
4,0,5,15
5,0,6,24
6,0,7,54
7,1,1,42
8,1,2,12
9,1,3,10
10,1,4,10
11,1,5,16
12,1,6,26
13,1,7,39
14,2,1,68
15,2,2,10
16,2,3,16
17,2,4,12
18,2,5,12
19,2,6,33
20,2,7,68
21,3,1,38
22,3,2,13
23,3,3,11
24,3,4,10
25,3,5,20
26,3,6,4
27,3,7,36
28,4,1,26
29,4,2,6
30,4,3,2
31,4,4,8
32,4,5,12
33,4,6,20
34,4,7,32
35,5,1,26
36,5,2,8
37,5,3,8
38,5,4,6
39,5,5,14
40,5,6,6
41,5,7,22
42,6,1,10
43,6,2,6
44,6,3,22
45,6,4,10
46,6,5,16
47,6,6,18
48,6,7,20
49,7,1,22
50,7,2,14
51,7,3,12
52,7,4,18
53,7,5,18
54,7,6,10
55,7,7,6
56,8,1,10
57,8,2,16
58,8,3,8
59,8,4,16
60,8,5,4
61,8,6,24
62,8,7,24
63,9,1,16
64,9,2,14
65,9,3,4
66,9,4,14
67,9,5,6
68,9,6,18
69,9,7,6
70,10,1,14
71,10,2,14
72,10,3,11
73,10,4,12
74,10,5,18
75,10,6,4
76,10,7,14
77,11,1,26
78,11,2,20
79,11,3,27
80,11,4,34
81,11,5,14
82,11,6,22
83,11,7,24
84,12,1,28
85,12,2,16
86,12,3,20
87,12,4,18
88,12,5,30
89,12,6,26
90,12,7,24
91,13,1,18
92,13,2,28
93,13,3,24
94,13,4,26
95,13,5,32
96,13,6,30
97,13,7,24
98,14,1,26
99,14,2,30
100,14,3,22
101,14,4,10
102,14,5,30
103,14,6,31
104,14,7,31
105,15,1,32
106,15,2,20
107,15,3,38
108,15,4,31
109,15,5,19
110,15,6,28
111,15,7,22
112,16,1,44
113,16,2,18
114,16,3,22
115,16,4,34
116,16,5,44
117,16,6,20
118,16,7,34
119,17,1,46
120,17,2,20
121,17,3,24
122,17,4,24
123,17,5,20
124,17,6,37
125,17,7,34
126,18,1,24
127,18,2,24
128,18,3,14
129,18,4,20
130,18,5,24
131,18,6,34
132,18,7,42
133,19,1,18
134,19,2,14
135,19,3,20
136,19,4,2
137,19,5,20
138,19,6,25
139,19,7,34
140,20,1,30
141,20,2,14
142,20,3,28
143,20,4,20
144,20,5,16
145,20,6,24
146,20,7,30
147,21,1,22
148,21,2,16
149,21,3,26
150,21,4,22
151,21,5,22
152,21,6,32
153,21,7,30
154,22,1,24
155,22,2,20
156,22,3,14
157,22,4,16
158,22,5,22
159,22,6,28
160,22,7,38
161,23,1,20
162,23,2,12
163,23,3,2
164,23,4,12
165,23,5,22
166,23,6,32
167,23,7,56
168,99,1,6
169,99,2,6
170,99,5,2
171,99,7,8
