,acchr,dayofweek,size
0,0,1,64
1,0,2,27
2,0,3,21
3,0,4,23
4,0,5,36
5,0,6,35
6,0,7,76
7,1,1,90
8,1,2,38
9,1,3,19
10,1,4,35
11,1,5,27
12,1,6,48
13,1,7,98
14,2,1,129
15,2,2,36
16,2,3,27
17,2,4,29
18,2,5,31
19,2,6,61
20,2,7,137
21,3,1,84
22,3,2,12
23,3,3,15
24,3,4,23
25,3,5,24
26,3,6,35
27,3,7,77
28,4,1,64
29,4,2,25
30,4,3,18
31,4,4,11
32,4,5,17
33,4,6,23
34,4,7,56
35,5,1,47
36,5,2,22
37,5,3,16
38,5,4,15
39,5,5,13
40,5,6,13
41,5,7,38
42,6,1,28
43,6,2,25
44,6,3,27
45,6,4,16
46,6,5,32
47,6,6,26
48,6,7,32
49,7,1,26
50,7,2,24
51,7,3,25
52,7,4,20
53,7,5,16
54,7,6,30
55,7,7,34
56,8,1,15
57,8,2,19
58,8,3,20
59,8,4,13
60,8,5,18
61,8,6,23
62,8,7,19
63,9,1,16
64,9,2,11
65,9,3,19
66,9,4,14
67,9,5,18
68,9,6,12
69,9,7,18
70,10,1,18
71,10,2,17
72,10,3,12
73,10,4,12
74,10,5,14
75,10,6,16
76,10,7,16
77,11,1,20
78,11,2,14
79,11,3,11
80,11,4,20
81,11,5,10
82,11,6,18
83,11,7,20
84,12,1,29
85,12,2,20
86,12,3,17
87,12,4,13
88,12,5,21
89,12,6,19
90,12,7,23
91,13,1,16
92,13,2,18
93,13,3,14
94,13,4,20
95,13,5,14
96,13,6,17
97,13,7,21
98,14,1,16
99,14,2,29
100,14,3,28
101,14,4,18
102,14,5,25
103,14,6,22
104,14,7,32
105,15,1,32
106,15,2,24
107,15,3,19
108,15,4,24
109,15,5,15
110,15,6,34
111,15,7,30
112,16,1,29
113,16,2,25
114,16,3,30
115,16,4,32
116,16,5,26
117,16,6,22
118,16,7,37
119,17,1,32
120,17,2,30
121,17,3,34
122,17,4,37
123,17,5,18
124,17,6,30
125,17,7,27
126,18,1,26
127,18,2,33
128,18,3,24
129,18,4,25
130,18,5,27
131,18,6,24
132,18,7,35
133,19,1,29
134,19,2,24
135,19,3,28
136,19,4,19
137,19,5,22
138,19,6,29
139,19,7,40
140,20,1,28
141,20,2,22
142,20,3,35
143,20,4,23
144,20,5,34
145,20,6,33
146,20,7,32
147,21,1,28
148,21,2,31
149,21,3,29
150,21,4,26
151,21,5,31
152,21,6,33
153,21,7,39
154,22,1,37
155,22,2,28
156,22,3,27
157,22,4,26
158,22,5,36
159,22,6,45
160,22,7,40
161,23,1,22
162,23,2,24
163,23,3,22
164,23,4,18
165,23,5,36
166,23,6,55
167,23,7,68
168,99,1,9
169,99,2,5
170,99,3,4
171,99,4,2
172,99,5,3
173,99,6,6
174,99,7,11
