,acchr,dayofweek,size
0,0,1,10
1,0,2,4
2,0,3,3
3,0,4,6
4,0,5,8
5,0,6,5
6,0,7,9
7,1,1,7
8,1,2,3
9,1,3,7
10,1,4,4
11,1,5,5
12,1,6,7
13,1,7,6
14,2,1,8
15,2,2,3
16,2,3,2
17,2,4,3
18,2,5,1
19,2,6,5
20,2,7,4
21,3,1,9
22,3,2,4
23,3,3,5
24,3,4,4
25,3,5,6
26,3,6,9
27,3,7,6
28,4,1,7
29,4,2,8
30,4,3,4
31,4,4,3
32,4,5,9
33,4,6,8
34,4,7,6
35,5,1,5
36,5,2,13
37,5,3,10
38,5,4,9
39,5,5,12
40,5,6,11
41,5,7,9
42,6,1,5
43,6,2,29
44,6,3,24
45,6,4,25
46,6,5,20
47,6,6,25
48,6,7,12
49,7,1,12
50,7,2,21
51,7,3,24
52,7,4,26
53,7,5,22
54,7,6,18
55,7,7,13
56,8,1,18
57,8,2,25
58,8,3,21
59,8,4,16
60,8,5,30
61,8,6,34
62,8,7,20
63,9,1,23
64,9,2,26
65,9,3,19
66,9,4,21
67,9,5,25
68,9,6,34
69,9,7,25
70,10,1,29
71,10,2,29
72,10,3,32
73,10,4,26
74,10,5,28
75,10,6,40
76,10,7,29
77,11,1,23
78,11,2,49
79,11,3,38
80,11,4,50
81,11,5,30
82,11,6,40
83,11,7,30
84,12,1,49
85,12,2,44
86,12,3,32
87,12,4,33
88,12,5,42
89,12,6,35
90,12,7,49
91,13,1,34
92,13,2,26
93,13,3,36
94,13,4,35
95,13,5,49
96,13,6,58
97,13,7,38
98,14,1,32
99,14,2,44
100,14,3,37
101,14,4,39
102,14,5,44
103,14,6,42
104,14,7,38
105,15,1,30
106,15,2,34
107,15,3,41
108,15,4,40
109,15,5,31
110,15,6,42
111,15,7,41
112,16,1,36
113,16,2,42
114,16,3,34
115,16,4,48
116,16,5,46
117,16,6,37
118,16,7,37
119,17,1,24
120,17,2,27
121,17,3,37
122,17,4,36
123,17,5,29
124,17,6,36
125,17,7,31
126,18,1,24
127,18,2,18
128,18,3,28
129,18,4,20
130,18,5,26
131,18,6,31
132,18,7,41
133,19,1,18
134,19,2,30
135,19,3,17
136,19,4,7
137,19,5,14
138,19,6,18
139,19,7,16
140,20,1,11
141,20,2,15
142,20,3,13
143,20,4,17
144,20,5,10
145,20,6,17
146,20,7,19
147,21,1,13
148,21,2,17
149,21,3,16
150,21,4,11
151,21,5,16
152,21,6,21
153,21,7,18
154,22,1,4
155,22,2,9
156,22,3,4
157,22,4,11
158,22,5,6
159,22,6,16
160,22,7,22
161,23,1,3
162,23,2,7
163,23,3,12
164,23,4,8
165,23,5,6
166,23,6,10
167,23,7,8
168,99,1,1
169,99,3,2
170,99,4,3
171,99,5,1
172,99,6,2
