,acchr,dayofweek,size
0,0,1,8
1,0,2,5
2,0,3,2
3,0,4,7
4,0,5,8
5,0,6,3
6,0,7,9
7,1,1,8
8,1,2,2
9,1,3,8
10,1,4,5
11,1,5,5
12,1,6,4
13,1,7,6
14,2,1,10
15,2,2,3
16,2,3,2
17,2,4,4
18,2,5,1
19,2,6,6
20,2,7,6
21,3,1,6
22,3,2,4
23,3,3,6
24,3,4,6
25,3,5,7
26,3,6,7
27,3,7,8
28,4,1,5
29,4,2,10
30,4,3,7
31,4,4,5
32,4,5,11
33,4,6,10
34,4,7,7
35,5,1,5
36,5,2,16
37,5,3,17
38,5,4,11
39,5,5,17
40,5,6,14
41,5,7,14
42,6,1,5
43,6,2,32
44,6,3,35
45,6,4,29
46,6,5,25
47,6,6,26
48,6,7,15
49,7,1,15
50,7,2,28
51,7,3,30
52,7,4,29
53,7,5,23
54,7,6,22
55,7,7,18
56,8,1,13
57,8,2,22
58,8,3,17
59,8,4,19
60,8,5,32
61,8,6,28
62,8,7,19
63,9,1,17
64,9,2,28
65,9,3,24
66,9,4,17
67,9,5,22
68,9,6,35
69,9,7,22
70,10,1,20
71,10,2,25
72,10,3,26
73,10,4,33
74,10,5,29
75,10,6,26
76,10,7,32
77,11,1,22
78,11,2,43
79,11,3,28
80,11,4,49
81,11,5,30
82,11,6,32
83,11,7,29
84,12,1,46
85,12,2,38
86,12,3,30
87,12,4,27
88,12,5,37
89,12,6,26
90,12,7,46
91,13,1,38
92,13,2,24
93,13,3,35
94,13,4,35
95,13,5,36
96,13,6,48
97,13,7,36
98,14,1,31
99,14,2,33
100,14,3,38
101,14,4,43
102,14,5,43
103,14,6,42
104,14,7,41
105,15,1,32
106,15,2,28
107,15,3,38
108,15,4,34
109,15,5,29
110,15,6,35
111,15,7,36
112,16,1,26
113,16,2,38
114,16,3,37
115,16,4,49
116,16,5,40
117,16,6,27
118,16,7,33
119,17,1,23
120,17,2,26
121,17,3,39
122,17,4,33
123,17,5,28
124,17,6,34
125,17,7,32
126,18,1,25
127,18,2,19
128,18,3,28
129,18,4,20
130,18,5,24
131,18,6,25
132,18,7,36
133,19,1,16
134,19,2,27
135,19,3,13
136,19,4,6
137,19,5,15
138,19,6,21
139,19,7,21
140,20,1,17
141,20,2,15
142,20,3,11
143,20,4,17
144,20,5,9
145,20,6,16
146,20,7,16
147,21,1,14
148,21,2,14
149,21,3,17
150,21,4,13
151,21,5,16
152,21,6,19
153,21,7,16
154,22,1,5
155,22,2,11
156,22,3,7
157,22,4,11
158,22,5,10
159,22,6,21
160,22,7,20
161,23,1,4
162,23,2,6
163,23,3,10
164,23,4,9
165,23,5,5
166,23,6,8
167,23,7,6
168,99,1,1
169,99,3,3
170,99,4,3
171,99,5,1
172,99,6,5
