,acchr,dayofweek,size
0,0,1,35
1,0,2,22
2,0,3,21
3,0,4,20
4,0,5,20
5,0,6,22
6,0,7,43
7,1,1,34
8,1,2,25
9,1,3,18
10,1,4,22
11,1,5,16
12,1,6,21
13,1,7,29
14,2,1,35
15,2,2,18
16,2,3,9
17,2,4,12
18,2,5,12
19,2,6,20
20,2,7,32
21,3,1,28
22,3,2,7
23,3,3,12
24,3,4,17
25,3,5,19
26,3,6,27
27,3,7,25
28,4,1,20
29,4,2,23
30,4,3,22
31,4,4,14
32,4,5,18
33,4,6,31
34,4,7,27
35,5,1,23
36,5,2,40
37,5,3,42
38,5,4,42
39,5,5,34
40,5,6,41
41,5,7,33
42,6,1,23
43,6,2,74
44,6,3,74
45,6,4,68
46,6,5,75
47,6,6,61
48,6,7,34
49,7,1,35
50,7,2,72
51,7,3,72
52,7,4,77
53,7,5,75
54,7,6,73
55,7,7,48
56,8,1,43
57,8,2,75
58,8,3,51
59,8,4,58
60,8,5,70
61,8,6,75
62,8,7,46
63,9,1,51
64,9,2,60
65,9,3,63
66,9,4,52
67,9,5,55
68,9,6,68
69,9,7,53
70,10,1,61
71,10,2,65
72,10,3,61
73,10,4,61
74,10,5,65
75,10,6,79
76,10,7,70
77,11,1,52
78,11,2,92
79,11,3,89
80,11,4,98
81,11,5,61
82,11,6,70
83,11,7,77
84,12,1,96
85,12,2,85
86,12,3,77
87,12,4,57
88,12,5,90
89,12,6,73
90,12,7,92
91,13,1,86
92,13,2,73
93,13,3,85
94,13,4,86
95,13,5,94
96,13,6,102
97,13,7,89
98,14,1,68
99,14,2,108
100,14,3,100
101,14,4,87
102,14,5,92
103,14,6,102
104,14,7,100
105,15,1,83
106,15,2,90
107,15,3,101
108,15,4,93
109,15,5,76
110,15,6,99
111,15,7,94
112,16,1,85
113,16,2,89
114,16,3,94
115,16,4,116
116,16,5,106
117,16,6,80
118,16,7,87
119,17,1,75
120,17,2,77
121,17,3,96
122,17,4,87
123,17,5,90
124,17,6,99
125,17,7,84
126,18,1,58
127,18,2,68
128,18,3,79
129,18,4,70
130,18,5,68
131,18,6,71
132,18,7,90
133,19,1,49
134,19,2,65
135,19,3,42
136,19,4,32
137,19,5,47
138,19,6,62
139,19,7,51
140,20,1,54
141,20,2,48
142,20,3,58
143,20,4,48
144,20,5,42
145,20,6,57
146,20,7,51
147,21,1,36
148,21,2,52
149,21,3,39
150,21,4,40
151,21,5,52
152,21,6,50
153,21,7,42
154,22,1,26
155,22,2,36
156,22,3,26
157,22,4,33
158,22,5,44
159,22,6,60
160,22,7,48
161,23,1,17
162,23,2,29
163,23,3,22
164,23,4,22
165,23,5,25
166,23,6,35
167,23,7,46
168,99,1,6
169,99,2,3
170,99,3,7
171,99,4,7
172,99,5,1
173,99,6,10
174,99,7,4
