,acchr,dayofweek,size
0,0,1,98
1,0,2,29
2,0,3,36
3,0,4,30
4,0,5,43
5,0,6,54
6,0,7,95
7,1,1,92
8,1,2,36
9,1,3,25
10,1,4,34
11,1,5,37
12,1,6,54
13,1,7,126
14,2,1,148
15,2,2,31
16,2,3,26
17,2,4,27
18,2,5,49
19,2,6,66
20,2,7,162
21,3,1,82
22,3,2,18
23,3,3,12
24,3,4,16
25,3,5,29
26,3,6,31
27,3,7,86
28,4,1,61
29,4,2,15
30,4,3,9
31,4,4,10
32,4,5,10
33,4,6,24
34,4,7,55
35,5,1,38
36,5,2,9
37,5,3,5
38,5,4,10
39,5,5,11
40,5,6,10
41,5,7,39
42,6,1,25
43,6,2,6
44,6,3,9
45,6,4,5
46,6,5,6
47,6,6,14
48,6,7,43
49,7,1,19
50,7,2,3
51,7,3,6
52,7,4,8
53,7,5,10
54,7,6,14
55,7,7,14
56,8,1,10
57,8,2,4
58,8,3,6
59,8,4,4
60,8,5,6
61,8,6,6
62,8,7,10
63,9,1,9
64,9,2,5
65,9,3,5
66,9,4,6
67,9,5,2
68,9,6,7
69,9,7,6
70,10,1,6
71,10,2,2
72,10,3,5
73,10,4,7
74,10,5,1
75,10,6,6
76,10,7,12
77,11,1,4
78,11,2,5
79,11,3,10
80,11,4,5
81,11,5,3
82,11,6,5
83,11,7,6
84,12,1,12
85,12,2,9
86,12,3,5
87,12,4,4
88,12,5,10
89,12,6,11
90,12,7,9
91,13,1,17
92,13,2,6
93,13,3,8
94,13,4,9
95,13,5,16
96,13,6,15
97,13,7,19
98,14,1,17
99,14,2,15
100,14,3,14
101,14,4,17
102,14,5,15
103,14,6,17
104,14,7,24
105,15,1,27
106,15,2,19
107,15,3,15
108,15,4,15
109,15,5,9
110,15,6,14
111,15,7,31
112,16,1,34
113,16,2,17
114,16,3,16
115,16,4,19
116,16,5,10
117,16,6,26
118,16,7,37
119,17,1,31
120,17,2,23
121,17,3,21
122,17,4,18
123,17,5,29
124,17,6,29
125,17,7,51
126,18,1,37
127,18,2,30
128,18,3,19
129,18,4,17
130,18,5,26
131,18,6,40
132,18,7,58
133,19,1,58
134,19,2,23
135,19,3,35
136,19,4,36
137,19,5,29
138,19,6,35
139,19,7,79
140,20,1,44
141,20,2,27
142,20,3,33
143,20,4,43
144,20,5,37
145,20,6,54
146,20,7,62
147,21,1,50
148,21,2,41
149,21,3,31
150,21,4,46
151,21,5,30
152,21,6,70
153,21,7,79
154,22,1,48
155,22,2,32
156,22,3,34
157,22,4,38
158,22,5,41
159,22,6,64
160,22,7,67
161,23,1,29
162,23,2,33
163,23,3,39
164,23,4,18
165,23,5,54
166,23,6,80
167,23,7,89
168,99,1,13
169,99,2,6
170,99,3,4
171,99,4,5
172,99,5,4
173,99,6,9
174,99,7,11
