,acchr,dayofweek,size
0,0,1,111
1,0,2,36
2,0,3,43
3,0,4,31
4,0,5,49
5,0,6,68
6,0,7,106
7,1,1,122
8,1,2,49
9,1,3,28
10,1,4,42
11,1,5,44
12,1,6,72
13,1,7,144
14,2,1,167
15,2,2,38
16,2,3,27
17,2,4,38
18,2,5,56
19,2,6,79
20,2,7,188
21,3,1,99
22,3,2,22
23,3,3,15
24,3,4,23
25,3,5,31
26,3,6,36
27,3,7,98
28,4,1,81
29,4,2,21
30,4,3,10
31,4,4,11
32,4,5,15
33,4,6,26
34,4,7,61
35,5,1,49
36,5,2,12
37,5,3,9
38,5,4,12
39,5,5,10
40,5,6,19
41,5,7,45
42,6,1,35
43,6,2,11
44,6,3,12
45,6,4,10
46,6,5,7
47,6,6,16
48,6,7,52
49,7,1,22
50,7,2,6
51,7,3,9
52,7,4,10
53,7,5,9
54,7,6,17
55,7,7,26
56,8,1,13
57,8,2,4
58,8,3,8
59,8,4,5
60,8,5,9
61,8,6,5
62,8,7,15
63,9,1,10
64,9,2,8
65,9,3,6
66,9,4,8
67,9,5,2
68,9,6,10
69,9,7,8
70,10,1,5
71,10,2,3
72,10,3,4
73,10,4,6
74,10,5,3
75,10,6,8
76,10,7,14
77,11,1,5
78,11,2,4
79,11,3,13
80,11,4,8
81,11,5,2
82,11,6,6
83,11,7,8
84,12,1,15
85,12,2,11
86,12,3,8
87,12,4,5
88,12,5,12
89,12,6,11
90,12,7,14
91,13,1,18
92,13,2,6
93,13,3,11
94,13,4,11
95,13,5,16
96,13,6,16
97,13,7,19
98,14,1,18
99,14,2,19
100,14,3,18
101,14,4,18
102,14,5,15
103,14,6,17
104,14,7,27
105,15,1,35
106,15,2,22
107,15,3,19
108,15,4,18
109,15,5,13
110,15,6,24
111,15,7,37
112,16,1,42
113,16,2,20
114,16,3,22
115,16,4,27
116,16,5,12
117,16,6,26
118,16,7,44
119,17,1,33
120,17,2,32
121,17,3,25
122,17,4,19
123,17,5,33
124,17,6,35
125,17,7,54
126,18,1,42
127,18,2,33
128,18,3,27
129,18,4,21
130,18,5,31
131,18,6,43
132,18,7,68
133,19,1,72
134,19,2,31
135,19,3,42
136,19,4,40
137,19,5,38
138,19,6,39
139,19,7,83
140,20,1,50
141,20,2,39
142,20,3,32
143,20,4,51
144,20,5,51
145,20,6,66
146,20,7,63
147,21,1,60
148,21,2,48
149,21,3,35
150,21,4,52
151,21,5,42
152,21,6,74
153,21,7,81
154,22,1,51
155,22,2,38
156,22,3,38
157,22,4,47
158,22,5,43
159,22,6,70
160,22,7,74
161,23,1,36
162,23,2,37
163,23,3,49
164,23,4,20
165,23,5,67
166,23,6,89
167,23,7,97
168,99,1,18
169,99,2,9
170,99,3,5
171,99,4,6
172,99,5,8
173,99,6,14
174,99,7,16
