,acchr,dayofweek,size
0,0,1,23
1,0,2,11
2,0,3,10
3,0,4,12
4,0,5,11
5,0,6,13
6,0,7,23
7,1,1,22
8,1,2,12
9,1,3,7
10,1,4,8
11,1,5,8
12,1,6,10
13,1,7,16
14,2,1,14
15,2,2,13
16,2,3,3
17,2,4,9
18,2,5,7
19,2,6,8
20,2,7,15
21,3,1,9
22,3,2,3
23,3,3,4
24,3,4,8
25,3,5,8
26,3,6,15
27,3,7,10
28,4,1,7
29,4,2,10
30,4,3,15
31,4,4,10
32,4,5,9
33,4,6,21
34,4,7,14
35,5,1,11
36,5,2,19
37,5,3,18
38,5,4,19
39,5,5,15
40,5,6,25
41,5,7,17
42,6,1,14
43,6,2,41
44,6,3,33
45,6,4,26
46,6,5,36
47,6,6,34
48,6,7,16
49,7,1,18
50,7,2,32
51,7,3,37
52,7,4,33
53,7,5,36
54,7,6,36
55,7,7,27
56,8,1,21
57,8,2,44
58,8,3,26
59,8,4,30
60,8,5,36
61,8,6,34
62,8,7,19
63,9,1,29
64,9,2,27
65,9,3,31
66,9,4,27
67,9,5,29
68,9,6,38
69,9,7,28
70,10,1,26
71,10,2,29
72,10,3,34
73,10,4,25
74,10,5,31
75,10,6,41
76,10,7,30
77,11,1,25
78,11,2,41
79,11,3,44
80,11,4,47
81,11,5,29
82,11,6,33
83,11,7,31
84,12,1,45
85,12,2,44
86,12,3,31
87,12,4,34
88,12,5,46
89,12,6,29
90,12,7,38
91,13,1,44
92,13,2,31
93,13,3,34
94,13,4,41
95,13,5,34
96,13,6,46
97,13,7,51
98,14,1,26
99,14,2,54
100,14,3,55
101,14,4,48
102,14,5,37
103,14,6,57
104,14,7,41
105,15,1,40
106,15,2,35
107,15,3,44
108,15,4,47
109,15,5,30
110,15,6,45
111,15,7,47
112,16,1,37
113,16,2,49
114,16,3,52
115,16,4,48
116,16,5,48
117,16,6,39
118,16,7,38
119,17,1,34
120,17,2,30
121,17,3,37
122,17,4,36
123,17,5,44
124,17,6,50
125,17,7,41
126,18,1,22
127,18,2,30
128,18,3,34
129,18,4,38
130,18,5,41
131,18,6,28
132,18,7,41
133,19,1,29
134,19,2,28
135,19,3,15
136,19,4,15
137,19,5,25
138,19,6,29
139,19,7,24
140,20,1,19
141,20,2,25
142,20,3,22
143,20,4,19
144,20,5,24
145,20,6,25
146,20,7,24
147,21,1,14
148,21,2,25
149,21,3,17
150,21,4,14
151,21,5,22
152,21,6,22
153,21,7,20
154,22,1,17
155,22,2,17
156,22,3,14
157,22,4,18
158,22,5,19
159,22,6,25
160,22,7,21
161,23,1,8
162,23,2,16
163,23,3,13
164,23,4,9
165,23,5,15
166,23,6,18
167,23,7,17
168,99,1,4
169,99,2,1
170,99,3,3
171,99,4,4
172,99,6,8
173,99,7,3
