,acchr,dayofweek,size
0,0,1,104
1,0,2,43
2,0,3,53
3,0,4,52
4,0,5,63
5,0,6,72
6,0,7,122
7,1,1,130
8,1,2,62
9,1,3,31
10,1,4,53
11,1,5,47
12,1,6,69
13,1,7,136
14,2,1,149
15,2,2,56
16,2,3,29
17,2,4,38
18,2,5,54
19,2,6,87
20,2,7,169
21,3,1,101
22,3,2,25
23,3,3,23
24,3,4,28
25,3,5,43
26,3,6,47
27,3,7,92
28,4,1,78
29,4,2,31
30,4,3,28
31,4,4,23
32,4,5,26
33,4,6,51
34,4,7,79
35,5,1,60
36,5,2,37
37,5,3,38
38,5,4,35
39,5,5,35
40,5,6,45
41,5,7,56
42,6,1,48
43,6,2,62
44,6,3,68
45,6,4,44
46,6,5,62
47,6,6,61
48,6,7,65
49,7,1,45
50,7,2,62
51,7,3,64
52,7,4,69
53,7,5,70
54,7,6,62
55,7,7,49
56,8,1,35
57,8,2,70
58,8,3,61
59,8,4,53
60,8,5,60
61,8,6,67
62,8,7,47
63,9,1,44
64,9,2,52
65,9,3,57
66,9,4,43
67,9,5,43
68,9,6,55
69,9,7,50
70,10,1,46
71,10,2,48
72,10,3,52
73,10,4,44
74,10,5,56
75,10,6,60
76,10,7,54
77,11,1,60
78,11,2,54
79,11,3,76
80,11,4,73
81,11,5,52
82,11,6,58
83,11,7,61
84,12,1,87
85,12,2,73
86,12,3,57
87,12,4,61
88,12,5,79
89,12,6,69
90,12,7,78
91,13,1,81
92,13,2,67
93,13,3,64
94,13,4,71
95,13,5,76
96,13,6,86
97,13,7,95
98,14,1,61
99,14,2,95
100,14,3,100
101,14,4,90
102,14,5,76
103,14,6,106
104,14,7,81
105,15,1,92
106,15,2,75
107,15,3,89
108,15,4,97
109,15,5,54
110,15,6,101
111,15,7,98
112,16,1,95
113,16,2,93
114,16,3,94
115,16,4,97
116,16,5,93
117,16,6,83
118,16,7,92
119,17,1,87
120,17,2,85
121,17,3,76
122,17,4,83
123,17,5,87
124,17,6,117
125,17,7,105
126,18,1,76
127,18,2,78
128,18,3,71
129,18,4,70
130,18,5,93
131,18,6,79
132,18,7,120
133,19,1,85
134,19,2,60
135,19,3,62
136,19,4,57
137,19,5,69
138,19,6,70
139,19,7,112
140,20,1,71
141,20,2,68
142,20,3,60
143,20,4,61
144,20,5,78
145,20,6,80
146,20,7,100
147,21,1,61
148,21,2,67
149,21,3,68
150,21,4,66
151,21,5,73
152,21,6,87
153,21,7,95
154,22,1,65
155,22,2,54
156,22,3,54
157,22,4,67
158,22,5,59
159,22,6,95
160,22,7,91
161,23,1,51
162,23,2,48
163,23,3,51
164,23,4,40
165,23,5,72
166,23,6,96
167,23,7,108
168,99,1,22
169,99,2,12
170,99,3,10
171,99,4,11
172,99,5,8
173,99,6,19
174,99,7,20
