,acchr,dayofweek,size
0,0,1,22
1,0,2,11
2,0,3,10
3,0,4,11
4,0,5,11
5,0,6,12
6,0,7,19
7,1,1,11
8,1,2,5
9,1,3,7
10,1,4,10
11,1,5,6
12,1,6,11
13,1,7,14
14,2,1,19
15,2,2,7
16,2,3,5
17,2,4,6
18,2,5,2
19,2,6,11
20,2,7,15
21,3,1,14
22,3,2,4
23,3,3,5
24,3,4,7
25,3,5,11
26,3,6,17
27,3,7,12
28,4,1,8
29,4,2,7
30,4,3,7
31,4,4,3
32,4,5,7
33,4,6,12
34,4,7,11
35,5,1,12
36,5,2,14
37,5,3,30
38,5,4,20
39,5,5,17
40,5,6,19
41,5,7,14
42,6,1,6
43,6,2,39
44,6,3,48
45,6,4,36
46,6,5,42
47,6,6,38
48,6,7,10
49,7,1,12
50,7,2,39
51,7,3,45
52,7,4,47
53,7,5,54
54,7,6,43
55,7,7,16
56,8,1,20
57,8,2,39
58,8,3,28
59,8,4,33
60,8,5,33
61,8,6,44
62,8,7,29
63,9,1,26
64,9,2,30
65,9,3,38
66,9,4,35
67,9,5,28
68,9,6,37
69,9,7,32
70,10,1,38
71,10,2,40
72,10,3,37
73,10,4,37
74,10,5,37
75,10,6,49
76,10,7,37
77,11,1,27
78,11,2,55
79,11,3,54
80,11,4,52
81,11,5,34
82,11,6,51
83,11,7,48
84,12,1,52
85,12,2,47
86,12,3,53
87,12,4,27
88,12,5,55
89,12,6,48
90,12,7,57
91,13,1,49
92,13,2,45
93,13,3,47
94,13,4,52
95,13,5,61
96,13,6,64
97,13,7,42
98,14,1,34
99,14,2,57
100,14,3,57
101,14,4,54
102,14,5,52
103,14,6,69
104,14,7,47
105,15,1,42
106,15,2,55
107,15,3,63
108,15,4,56
109,15,5,54
110,15,6,61
111,15,7,50
112,16,1,46
113,16,2,48
114,16,3,55
115,16,4,65
116,16,5,63
117,16,6,49
118,16,7,50
119,17,1,44
120,17,2,49
121,17,3,63
122,17,4,49
123,17,5,56
124,17,6,70
125,17,7,41
126,18,1,24
127,18,2,42
128,18,3,49
129,18,4,42
130,18,5,43
131,18,6,43
132,18,7,49
133,19,1,22
134,19,2,37
135,19,3,21
136,19,4,15
137,19,5,24
138,19,6,38
139,19,7,25
140,20,1,26
141,20,2,25
142,20,3,32
143,20,4,30
144,20,5,19
145,20,6,35
146,20,7,28
147,21,1,21
148,21,2,23
149,21,3,17
150,21,4,21
151,21,5,29
152,21,6,32
153,21,7,17
154,22,1,13
155,22,2,18
156,22,3,8
157,22,4,16
158,22,5,21
159,22,6,32
160,22,7,27
161,23,1,3
162,23,2,11
163,23,3,10
164,23,4,13
165,23,5,15
166,23,6,18
167,23,7,22
168,99,3,1
169,99,6,1
170,99,7,2
