,acchr,dayofweek,size
0,0,1,185
1,0,2,75
2,0,3,81
3,0,4,73
4,0,5,94
5,0,6,120
6,0,7,195
7,1,1,200
8,1,2,95
9,1,3,55
10,1,4,84
11,1,5,81
12,1,6,114
13,1,7,224
14,2,1,261
15,2,2,75
16,2,3,52
17,2,4,59
18,2,5,85
19,2,6,142
20,2,7,282
21,3,1,172
22,3,2,48
23,3,3,42
24,3,4,48
25,3,5,65
26,3,6,76
27,3,7,160
28,4,1,134
29,4,2,58
30,4,3,43
31,4,4,33
32,4,5,50
33,4,6,75
34,4,7,121
35,5,1,101
36,5,2,69
37,5,3,65
38,5,4,71
39,5,5,62
40,5,6,75
41,5,7,99
42,6,1,78
43,6,2,104
44,6,3,129
45,6,4,104
46,6,5,113
47,6,6,110
48,6,7,111
49,7,1,78
50,7,2,116
51,7,3,109
52,7,4,128
53,7,5,122
54,7,6,116
55,7,7,90
56,8,1,71
57,8,2,108
58,8,3,98
59,8,4,93
60,8,5,112
61,8,6,119
62,8,7,87
63,9,1,87
64,9,2,97
65,9,3,100
66,9,4,74
67,9,5,86
68,9,6,109
69,9,7,90
70,10,1,93
71,10,2,92
72,10,3,95
73,10,4,100
74,10,5,107
75,10,6,119
76,10,7,108
77,11,1,93
78,11,2,126
79,11,3,135
80,11,4,130
81,11,5,94
82,11,6,116
83,11,7,130
84,12,1,165
85,12,2,133
86,12,3,118
87,12,4,94
88,12,5,141
89,12,6,135
90,12,7,162
91,13,1,148
92,13,2,120
93,13,3,126
94,13,4,140
95,13,5,158
96,13,6,157
97,13,7,161
98,14,1,129
99,14,2,166
100,14,3,162
101,14,4,150
102,14,5,161
103,14,6,161
104,14,7,168
105,15,1,157
106,15,2,152
107,15,3,173
108,15,4,169
109,15,5,132
110,15,6,182
111,15,7,170
112,16,1,178
113,16,2,155
114,16,3,164
115,16,4,189
116,16,5,172
117,16,6,160
118,16,7,172
119,17,1,154
120,17,2,160
121,17,3,164
122,17,4,167
123,17,5,167
124,17,6,186
125,17,7,181
126,18,1,139
127,18,2,135
128,18,3,142
129,18,4,121
130,18,5,138
131,18,6,149
132,18,7,215
133,19,1,142
134,19,2,113
135,19,3,119
136,19,4,100
137,19,5,118
138,19,6,130
139,19,7,182
140,20,1,136
141,20,2,113
142,20,3,120
143,20,4,129
144,20,5,126
145,20,6,152
146,20,7,159
147,21,1,123
148,21,2,122
149,21,3,111
150,21,4,114
151,21,5,129
152,21,6,159
153,21,7,170
154,22,1,109
155,22,2,94
156,22,3,85
157,22,4,105
158,22,5,115
159,22,6,167
160,22,7,161
161,23,1,81
162,23,2,78
163,23,3,86
164,23,4,62
165,23,5,113
166,23,6,171
167,23,7,189
168,99,1,32
169,99,2,18
170,99,3,15
171,99,4,17
172,99,5,13
173,99,6,26
174,99,7,36
